key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Number,Icon,Stats,Description,LocationKey,Location,RequiredForQuest,PreviousQuest,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
offset,22,8,0,4,23,20,12,16,24,24,24,24,24,24,24,24,25,25,25,25
Int32,UInt8,UInt32,String,String,UInt8,UInt16,UInt32,UInt32,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,PackedBool2,PackedBool3
0,0,0,"","",0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,25,72201,"<hex:024804F201F803><hex:024904F201F903>Typus: <hex:0249020103><hex:0248020103>Magie<hex:02100103><hex:024804F201F803><hex:024904F201F903>Element: <hex:0249020103><hex:0248020103>Wind<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang: <hex:0249020103><hex:0248020103>★★★★<hex:02100103>","Typhons Spezialwaffe.<hex:02100103>Ein kräftiger Nieser, der fächerförmig vor dem Wirkenden alle Gegner erfasst. Neben dem starken Windstoß zieht auch der Ekel die Getroffenen nicht unerheblich in Leidenschaft.",4,81,0,0,True,False,False,False,False,False,False,False,False,False,False,False
2,26,72202,"<hex:024804F201F803><hex:024904F201F903>Typus: <hex:0249020103><hex:0248020103>Physisch/Schlag<hex:02100103><hex:024804F201F803><hex:024904F201F903>Element: <hex:0249020103><hex:0248020103>Neutral<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang: <hex:0249020103><hex:0248020103>★★★★<hex:02100103>","Ultros' Spezialattacke.<hex:02100103>Ein wahrlich niederschmetternder Angriff, dessen Wirkung von seinen Opfern als „erdrückend“ beschrieben wird.",4,81,0,0,True,False,False,False,False,False,False,False,False,False,True,False
3,1,72203,"<hex:024804F201F803><hex:024904F201F903>Typus: <hex:0249020103><hex:0248020103>Magie<hex:02100103><hex:024804F201F803><hex:024904F201F903>Element: <hex:0249020103><hex:0248020103>Wasser<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang: <hex:0249020103><hex:0248020103>★<hex:02100103>","Angriffszauber der Kraken.<hex:02100103>Schießt mit Hochdruck einen harten Wasserstrahl auf den Gegner. Sammelt den in der Luft enthaltenen wasserbasierten Äther und kann deshalb auch an trockenen Orten eingesetzt werden.",3,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
4,9,72204,"<hex:024804F201F803><hex:024904F201F903>Typus: <hex:0249020103><hex:0248020103>Magie<hex:02100103><hex:024804F201F803><hex:024904F201F903>Element: <hex:0249020103><hex:0248020103>Neutral<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang: <hex:0249020103><hex:0248020103>★★<hex:02100103>","Natürliches Talent der Sirenen.<hex:02100103>Ein betörender Gesang, der sich unweigerlich in das Innere seiner Opfer bohrt und so starke - wenn auch eingebildete - Schmerzen hervorruft, dass sie körperliche Schäden hinterlassen.",4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
5,6,72205,"<hex:024804F201F803><hex:024904F201F903>Typus: <hex:0249020103><hex:0248020103>Magie<hex:02100103><hex:024804F201F803><hex:024904F201F903>Element: <hex:0249020103><hex:0248020103>Blitz<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang: <hex:0249020103><hex:0248020103>★★★★<hex:02100103>","Ein technologiebasierter Zauber der Allager.<hex:02100103>Der Stromschlag mit Flächenwirkung wird durch eine Ansammlung von Blitzäther erzeugt, kann aber aufgrund einer komplizierten Verstrickungsmagie auch von unbeseelten Maschinen ausgeführt werden.",4,93,0,0,True,False,False,False,True,False,False,False,False,False,False,False
6,28,72206,"<hex:024804F201F803><hex:024904F201F903>Typus: <hex:0249020103><hex:0248020103>Magie<hex:02100103><hex:024804F201F803><hex:024904F201F903>Element: <hex:0249020103><hex:0248020103>Neutral<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang: <hex:0249020103><hex:0248020103>★★★<hex:02100103>","Hinterhältiger Angriff der Morbol.<hex:02100103>Wind oder Erde sollen einen großen Anteil an dieser müffeligen Flächenattacke haben, aber auch die anderen Elemente, in ihrer verdorbensten Form, müssen eine Rolle spielen. Kein Element alleine kann so stinken.",1,54,0,0,True,False,True,False,True,True,True,False,False,False,True,False
