key,0,1,2,3
#,,,,
offset,4,8,12,0
Int32,Int32,Int32,UInt8,String
0,1,1,0,"未設定"
1,1,53,1,"<hex:0248020203><hex:0249023603>Farbe 1<hex:0249020103><hex:0248020103>"
2,1,54,3,"<hex:0248020203><hex:0249023703>Farbe 3<hex:0249020103><hex:0248020103>"
3,1,707,2,"<hex:0248020203><hex:024904F202C303>Farbe 2<hex:0249020103><hex:0248020103>"
4,1,706,4,"<hex:0248020203><hex:024904F202C203>Farbe 4<hex:0249020103><hex:0248020103>"
5,1,710,5,"<hex:0248020203><hex:024904F202C603>Farbe 5<hex:0249020103><hex:0248020103>"
6,1,570,6,"<hex:0248020203><hex:024904F2023A03>Farbe 6<hex:0249020103><hex:0248020103>"
7,1,709,7,"<hex:0248020203><hex:024904F202C503>Farbe 7<hex:0249020103><hex:0248020103>"
8,1,708,8,"<hex:0248020203><hex:024904F202C403>Farbe 8<hex:0249020103><hex:0248020103>"
9,1,704,9,"<hex:0248020203><hex:024904F202C003>Farbe 9<hex:0249020103><hex:0248020103>"
10,1,705,10,"<hex:0248020203><hex:024904F202C103>Farbe 10<hex:0249020103><hex:0248020103>"
11,1,703,11,"<hex:0248020203><hex:024904F202BF03>Farbe 11<hex:0249020103><hex:0248020103>"
12,1,700,12,"<hex:0248020203><hex:024904F202BC03>Farbe 12<hex:0249020103><hex:0248020103>"
13,1,701,13,"<hex:0248020203><hex:024904F202BD03>Farbe 13<hex:0249020103><hex:0248020103>"
14,1,702,14,"<hex:0248020203><hex:024904F202BE03>Farbe 14<hex:0249020103><hex:0248020103>"
15,0,0,0,""
16,0,0,0,""
17,0,0,0,""
18,0,0,0,""
19,0,0,0,""
20,0,0,0,""
