key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5],Talk[6],Talk[7]
offset,11,23,35,47,59,8,20,32,44,56,0,12,24,36,48,9,21,33,45,57,10,22,34,46,58,4,16,28,40,52,60,64,68,72,76,80,84,88
Int32,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int32,Int32,Int32,Int32,Int32,String,String,String,String,String,String,String,String
0,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0","0","0"
1,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,"Seid gegrüßt, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>. Ich bin für das Ausstellen von Freibriefen zuständig.","Verzeiht, <hex:02081AE905FF0B>meine Dame<hex:FF0A>mein Herr<hex:03>, aber ich bin nicht dazu autorisiert, Freibriefe an Neulinge wie Euch auszustellen.","Die Euch zugedachte Aufgabe ist von äußerster Wichtigkeit. Möge die Matrone Euch hold sein.","In Vorbereitung","Und hiiiier ist Eure Belohnung!","Ihr seid noch keiner Staatlichen Ge<hex:02160103>sell<hex:02160103>schaft beigetreten.","Ihr habt noch nicht genug Ansehen in Eurer Staatlichen Ge<hex:02160103>sell<hex:02160103>schaft erlangt.","Ihr habt das gesuchte Ziel erledigt."
2,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Wenn du auf der Suche nach einem Freibrief bist, habe ich genau das Richtige für dich.","Meinen Auf<hex:02160103>zeich<hex:02160103>nun<hex:02160103>gen entnehme ich, dass du erst kürzlich in Eorzea eingetroffen bist. Es tut mir leid, aber ich kann dir keinen Freibrief anvertrauen, ehe du nicht dein Können unter Beweis gestellt und in der Aben<hex:02160103>teurer<hex:02160103>gilde <hex:020920E802FF09>Baderons<hex:FF09>Miounnes<hex:FF08>Momodis<hex:03> Erlaubnis bekommen hast.","Viel Glück, und mögen die Gebieter mit dir sein.","Meinen Auf<hex:02160103>zeich<hex:02160103>nun<hex:02160103>gen entnehme ich, dass du erst kürzlich in Eorzea eingetroffen bist. Es tut mir leid, aber ich kann dir keinen Freibrief anvertrauen, ehe du nicht dein Können unter Beweis gestellt und in der Aben<hex:02160103>teurer<hex:02160103>gilde <hex:020920E802FF09>Baderons<hex:FF09>Miounnes<hex:FF08>Momodis<hex:03> Erlaubnis bekommen hast.","Lass mich mal nachsehen ... Aha. Unsere Beobachter bestätigen, dass du alle Ziele des Freibriefes innerhalb der erlaubten Zeit erledigt hast. Gut gemacht, <hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>! Hier ist deine Belohnung.","0","0","Und außerdem hast du noch die Zeit gefunden, ein gesuchtes Ziel zu erledigen. Bravo, hier ist das Kopfgeld."
3,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Die Bürger Gridanias brauchen dich, <hex:020820E905FF0F>meine Freundin<hex:FF0C>mein Freund<hex:03>. Es gibt Einiges zu tun, falls du Interesse hast. ","Ich habe keine Arbeit für dich, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>. Verfeinere deine Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten und besuche mich später wieder. <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> kann dir sicherlich dabei helfen.","Ich hoffe, du kommst unversehrt von deiner Aufgabe zurück.","Ich habe keine Arbeit für dich, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>. Verfeinere deine Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten und besuche mich später wieder, wenn du bewiesen hast, dass du es mit den Kreaturen in dieser Gegend aufnehmen kannst.","Deine Leistung wurde von den örtlichen Beobachtern anerkannt. Diese Belohnung hast du dir reichlich verdient.","0","0","Genauso wie das Kopfgeld für das gesuchte Ziel, das du nebenbei noch ausgeschaltet hast. Gute Arbeit!"
4,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Du scheinst mir geistig und körperlich auf der Höhe zu sein. Hättest du Interesse an einem Freibrief?","Ich spüre eine gewisse Schwäche in deinem Körper und Geist. In diesem Zustand kann ich dir leider keinen Freibrief zuweisen. Vielleicht hat <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> eine Aufgabe, an der du wachsen kannst.","Die Gebieter sind stets wachsam, <hex:020820E905FF0F>meine Freundin<hex:FF0C>mein Freund<hex:03>. Beweis ihnen, dass du der dir zugedachten Pflichten würdig bist.","Ich spüre eine gewisse Schwäche in deinem Körper und Geist. In diesem Zustand kann ich dir leider keinen Freibrief zuweisen. Du siehst aus, als würdest du vor einem Baumhörnchen Reißaus nehmen. So kann ich dich nicht auf die Bestien in diesen Wäldern loslassen.","Du bist bereits zurück? Nun, dann willst du bestimmt deine Belohnung einfordern.","0","0","Keine Sorge. An die Belohnung für die gesuchte Kreatur, die du erschlagen hast, habe ich auch gedacht."
5,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Die Bewohner des Waldes der Einkehr benötigen deine Hilfe, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>.","Die Bewohner des Waldes der Einkehr sind immer auf der Suche nach willigen Helfern. Leider scheinst du mir noch ein wenig zu grün hinter den Ohren zu sein. Frage mal <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03>, <hex:020911E802FF03>er<hex:FF04>sie<hex:FF04>sie<hex:03> hat sicher etwas Passendes für dich.","Die Euch zugedachte Aufgabe ist von äußerster Wichtigkeit. Möge die Matrone Euch hold sein.","Die Bewohner des Waldes der Einkehr sind immer auf der Suche nach willigen Helfern. Leider scheinst du mir noch ein wenig zu grün hinter den Ohren zu sein. Frage mal <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03>, <hex:020911E802FF03>er<hex:FF04>sie<hex:FF04>sie<hex:03> hat sicher etwas Passendes für dich.","Gut gemacht, <hex:02081DE905FF0D>Abenteurerin<hex:FF0B>Abenteurer<hex:03>. Unsere Beobachter waren von deinen Fertigkeiten beeindruckt. Hier ist deine Belohnung.","0","0","Ich habe auch dafür gesorgt, dass das Kopfgeld für das gesuchte Ziel darin enthalten ist."
6,False,False,False,False,False,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,"Herbei, herbei! Erstklassige Freibriefe für jeden Geschmack!  ","Du? Ah, das tut mir leid, <hex:02081BE905FF0A>mein Kind<hex:FF0C>mein Freund<hex:03>, aber so hoffnungsvoll du auch aussiehst, für einen Neuling wie dich hab ich noch nichts. Oder willst du, dass <hex:02091DE802FF08>Baderon<hex:FF08>Miounne<hex:FF07>Momodi<hex:03> mich kaltstellt?","Na, dann viel Erfolg!","Willkommen! Bei uns gibt es immer Arbeit für diejenigen, die keine Gefahren scheuen. Du kennst nicht zufällig jemanden, der geübt im Kampf oder in der Zauberkunst wäre? Geübter als du, meine ich. Einem Neuling wie dir kann ich keinesfalls einen Auftrag überlassen.","Ausgezeichnet. Ich habe den Bericht der Beobachter empfangen und deine Belohnung bereitgelegt. Bitte sehr.","0","0","Die Belohnung kann sich sehen lassen, was? Darin ist ja auch das Kopfgeld für das gesuchte Ziel enthalten, das du erschlagen hast."
