key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
#,Name,Category,,Description,DutyType,RequiredExVersion,,IsGoldSaucer,IsInDutyFinder,OpenRule,IsPvP,RequiredLevel,SyncedFromLevel,ItemLevelRequired,AppliesHighestAverageDutyItemLevel,ItemLevelSync,Image,ContentRouletteRoleBonus,RewardTomeA,RewardTomeB,RewardTomeC,,,,SortKey,ClassJobCategory,ContentMemberType,,QueueMaxPlayers,CompletionArrayIndex,,ContentType,,TimeLimit,TimeLimitMax,AllowConsumableItems,AllowPhoenixDown,AllowReplacement,RatedMatch,Rated,LootModeType,InstanceContent,,,,,IsRegistrationAllowedFromAnyDataCenter,,PenaltyTimestampArrayIndex
offset,0,4,8,12,16,54,20,72,72,55,72,56,57,40,72,42,24,58,44,46,48,28,50,32,59,60,61,62,63,71,72,64,65,66,67,72,72,72,73,73,68,52,73,69,73,73,73,36,70
Int32,String,String,String,String,String,UInt8,UInt32,PackedBool0,PackedBool1,UInt8,PackedBool2,UInt8,UInt8,UInt16,PackedBool3,UInt16,UInt32,UInt8,UInt16,UInt16,UInt16,UInt32,UInt16,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,Int8,PackedBool4,UInt8,UInt8,UInt8,UInt8,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,UInt8,UInt16,PackedBool2,UInt8,PackedBool3,PackedBool4,PackedBool5,Int32,UInt8
0,"","","","","",0,0,False,False,1,False,0,0,0,False,0,0,0,0,0,0,0,0,0,0,108,0,0,0,-1,False,0,0,0,0,True,False,True,False,False,0,0,False,0,False,True,True,0,0
1,"Zufallsinhalt: Stufensteigerung","Stufensteigerung","","Aus den freigeschalteten Dungeons und Prüfungen für Leichte Trupps wird ein Inhalt zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.<hex:02100103><hex:02100103>※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.<hex:02100103>※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.<hex:02100103>※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr zurückgesetzt.<hex:02100103>※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.<hex:02100103>※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons und Prüfungen für Leichte Trupps",0,0,False,True,1,False,16,16,0,False,0,112034,1,0,100,20,0,0,0,4,142,2,0,0,0,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
2,"Zufallsinhalt: Hohe Stufen","Hohe Stufen","","Aus den freigeschalteten Dungeons für Leichte Trupps für die Stufen 50, 60, 70, 80 und 90 wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.<hex:02100103><hex:02100103>※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.<hex:02100103>※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr zurückgesetzt.<hex:02100103>※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.<hex:02100103>※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons (St. 50/60/70/80/90) für Leichte Trupps",0,0,False,True,1,False,50,50,45,False,0,112035,2,100,120,0,0,0,0,3,142,2,0,0,1,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
3,"Zufallsinhalt: Hauptszenario","Hauptszenario","","Aus den freigeschalteten Dungeons des Hauptszenarios wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.<hex:02100103><hex:02100103>※ Videosequenzen der Dungeons können nicht übersprungen werden.<hex:02100103>※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.<hex:02100103>※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr zurückgesetzt.<hex:02100103>※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.<hex:02100103>※ Bei Teilnahme als Teilgruppe wird kein Bonus für gefragte Rollen gewährt.","Dungeons für Volle Trupps",0,0,False,True,1,False,50,50,42,False,0,112036,3,350,100,50,0,0,0,6,142,2,0,0,2,True,1,0,60,120,True,True,True,False,False,2,0,False,0,False,True,True,0,0
4,"Zufallsinhalt: Gildengeheiß","Gildengeheiß","","Aus den freigeschalteten Gildengeheißen wird eines zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.<hex:02100103><hex:02100103>※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.<hex:02100103>※ Die Höhe des Staatstaler-Bonus richtet sich nach der Klassen- bzw. Jobstufe.<hex:02100103>※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr zurückgesetzt.<hex:02100103>※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.<hex:02100103>※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.<hex:02100103>※ Für bereits vollständige Vierer-Gruppen werden nur Inhalte für Vierer-Gruppen ausgewählt. Hierbei ist jede Zusammensetzung erlaubt.<hex:02100103>※ In manchen Inhalten können Phönixfedern nicht verwendet werden.","Gildengeheiße",0,0,False,True,1,False,10,10,0,False,0,112037,4,0,0,0,0,0,0,7,142,3,0,0,3,True,1,0,30,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
5,"Zufallsinhalt: Experte","Experte","","Aus den freigeschalteten Experten-Dungeons wird einer zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.<hex:02100103><hex:02100103>※ Die Höhe der Routine- und Gil-Sondervergütung richtet sich nach der Klassen- bzw. Jobstufe und entschädigt für die Differenz, die man für einen der Stufe angemessenen Inhalt erhalten hätte.<hex:02100103>※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr zurückgesetzt.<hex:02100103>※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.<hex:02100103>※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Experten-Dungeons für Leichte Trupps",5,0,False,True,2,False,100,100,750,False,0,112057,5,0,60,40,0,0,0,1,142,2,0,0,4,True,1,0,90,0,True,True,True,False,False,2,0,False,0,False,True,True,0,0
6,"Zufallsinhalt: Prüfung","Prüfung","","Aus den freigeschalteten Prüfungen für Volle Trupps wird eine zufällig ausgewählt. Bei erfolgreichem Abschluss winkt eine Sondervergütung.<hex:02100103><hex:02100103>※ Die Sondervergütung für Zufallsinhalte kann einmal pro Tag erhalten werden. Dieser Status wird täglich um <hex:0206020103><hex:020821DBFF1D><hex:020919DB02030405060708090A0B0C0D0E0F10111213141516171803><hex:0103>:00 Uhr zurückgesetzt.<hex:02100103>※ Der Bonus für gefragte Rollen ist immer erhältlich und bezieht sich auf die Rolle, die zum Zeitpunkt der Registrierung gefragt ist.<hex:02100103>※ Bei Teilnahme als bestehende Gruppe wird kein Bonus für gefragte Rollen gewährt.","Prüfungen für Volle Trupps",0,0,False,True,1,False,50,50,90,False,0,112056,6,0,60,15,0,0,0,5,142,3,0,0,5,True,1,0,60,0,True,False,True,False,False,2,0,False,0,False,True,True,0,0
