key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,Model,Scale,InactiveIdle0,InactiveIdle1,InactiveBattle,InactiveWandering,Behavior,Special,,,WanderingWait,Priority,,,,,,Enemy,Battle,Roulette,Icon,Order,IdleAnimation,,Cost,HP,,SkillAngle,SkillCost,,,MinionRace
offset,0,8,4,9,10,11,12,13,16,32,33,34,35,36,37,38,39,40,41,18,48,48,48,48,48,20,48,48,22,24,48,42,43,26,44,28,45,46,30,47
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4,UInt16,PackedBool5,PackedBool6,UInt16,UInt16,PackedBool7,UInt8,UInt8,UInt16,UInt8,UInt16,UInt8,UInt8,UInt16,UInt8
0,"",0,"",0,0,1,0,0,0,100,0,0,0,0,0,0,0,0,8,0,False,False,False,False,False,0,False,True,0,0,False,0,10,100,0,0,20,0,0,0
1,"Kirschbomber",4,"Kirschbomber",2,0,1,0,0,427,100,30,0,0,0,2,0,0,0,8,1,True,False,True,False,False,0,False,True,4403,1001,True,0,10,390,5,360,30,1,600,2
2,"Marionette Nr. 001",3,"Marionetten Nr. 001",1,0,1,1,0,419,100,30,0,0,0,1,0,0,0,8,200,False,True,False,False,False,0,False,True,4401,10001,True,0,10,410,37,0,20,1,620,3
3,"Chocobo-Küken",4,"Chocobo-Küken",1,0,1,2,0,423,100,30,0,30,0,2,0,0,0,8,3,True,False,True,False,True,0,False,True,4402,1,True,0,15,410,23,30,20,1,601,1
4,"Cait Sith-Puppe",3,"Cait Sith-Puppen",1,0,1,1,0,430,100,30,0,0,0,1,0,0,0,8,201,False,True,False,False,False,0,False,True,4404,10006,True,0,20,400,25,360,20,1,625,3
5,"Baby-Behemoth",3,"Baby-Behemoth",1,0,1,0,0,428,100,30,0,0,0,2,0,0,0,8,5,True,False,True,False,True,0,False,True,4405,1002,True,90,15,430,1,30,20,1,601,2
6,"Marionette Nr. 003L",3,"Marionetten Nr. 003L",1,0,1,1,0,420,100,30,0,0,0,1,0,0,0,8,200,False,True,False,False,False,0,False,True,4406,10002,True,0,10,365,14,30,20,1,607,3
7,"Marionette Nr. 003G",3,"Marionetten Nr. 003G",1,0,1,1,0,421,100,30,0,0,0,1,0,0,0,8,200,False,True,False,False,False,0,False,True,4407,10003,True,0,10,280,25,360,20,1,625,3
8,"Marionette Nr. 003U",3,"Marionetten Nr. 003U",1,0,1,1,0,422,100,30,0,0,0,1,0,0,0,8,200,False,True,False,False,False,0,False,True,4408,10004,True,0,10,420,13,120,20,1,631,3
9,"Mahlstrom-Küken",4,"Mahlstrom-Küken",1,0,1,2,0,424,100,30,0,30,0,2,0,0,0,8,3,True,False,True,False,True,0,False,True,4409,2,True,0,10,315,19,30,30,1,601,1
10,"Bruderschafts-Küken",4,"Bruderschafts-Küken",1,0,1,2,0,425,100,30,0,30,0,2,0,0,0,8,3,True,False,True,False,True,0,False,True,4410,3,True,0,10,350,30,360,20,1,623,1
11,"Legions-Küken",4,"Legions-Küken",1,0,1,2,0,426,100,30,0,30,0,2,0,0,0,8,3,True,False,True,False,True,0,False,True,4411,4,True,0,10,320,26,120,20,1,622,1
12,"Morbol-Knolle",3,"Morbol-Knollen",1,0,1,1,0,429,100,30,0,0,0,2,0,0,0,8,6,True,False,True,False,False,0,False,True,4412,1003,True,0,30,560,20,120,20,1,602,2
13,"klein[a] Ratte",3,"klein[a] Ratten",0,0,1,1,0,431,100,30,0,0,0,2,0,0,0,8,7,True,False,False,False,True,0,False,True,4413,1004,True,0,10,400,14,120,20,1,622,1
14,"Mini-Pilz",2,"Mini-Pilze",2,0,1,0,0,432,100,30,0,0,0,2,0,0,0,8,8,True,False,False,True,False,0,False,True,4414,1005,True,0,10,395,4,120,20,1,602,2
15,"Stechmücken-Larve",3,"Stechmücken-Larve",2,0,1,1,0,433,100,30,0,0,0,2,0,0,0,8,9,True,False,True,True,False,0,False,True,4415,1006,True,130,10,420,9,0,20,1,620,1
16,"blau[a] Vögelchen",4,"blau[a] Vögelchen",1,0,1,2,0,434,80,30,0,0,0,2,3,0,0,8,10,True,False,True,False,True,0,False,True,4416,5001,True,100,15,460,1,120,20,1,605,1
17,"Rehkitz",2,"Rehkitze",2,0,1,2,0,435,100,20,10,0,30,2,0,0,0,8,11,True,False,False,False,True,0,False,True,4417,1007,True,0,15,400,22,360,20,2,632,1
18,"Baby-Imp",4,"Baby-Imps",1,0,1,0,0,436,100,20,10,0,0,2,0,0,0,8,12,True,False,False,False,True,0,False,True,4418,1008,True,0,20,380,1,120,20,2,608,2
19,"Mini-Coeurl",3,"Mini-Coeurl",1,0,1,0,0,437,85,10,10,0,0,2,0,0,0,8,13,True,False,True,False,True,35,True,True,4452,1009,True,0,10,365,1,30,30,3,603,1
20,"schwarz[a] Coeurl",3,"schwarz[a] Coeurl",1,0,1,0,0,438,75,10,10,0,0,2,0,0,0,8,13,True,False,True,False,True,35,True,True,4514,1010,True,0,15,380,31,0,30,3,620,1
21,"Hildibrand-Puppe",4,"Hildibrand-Puppen",1,0,1,1,0,882,100,10,0,0,0,1,0,0,0,8,268,False,True,False,False,False,0,False,True,4515,9014,True,0,30,400,16,360,60,2,630,3
