key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article,,Name,Icon,Action,StackSize,Category,Quest,CastTime,CastTimeline,Timeline
offset,0,12,4,13,14,15,16,17,18,8,24,26,28,29,20,30,31,32
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,PackedBool0,String,UInt16,UInt16,UInt8,UInt8,UInt32,UInt8,UInt8,UInt8
2000000,"",0,"",0,0,1,0,0,False,"",0,0,1,1,0,0,0,0
2000001,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000002,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000003,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000004,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000005,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000006,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000007,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000008,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000009,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000010,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000011,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000012,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000013,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000014,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000015,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000016,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000017,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000018,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000019,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000020,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000021,"hölzern[a] Haarschmuck",4,"hölzern[a] Haarschmuckstücke",2,0,1,0,0,False,"Hölzerner Haarschmuck",22623,1,1,1,0,3,0,0
2000022,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000023,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000024,"nigelnagelneu[a] Werkzeugkiste",3,"nigelnagelneu[a] Werkzeugkisten",1,0,1,1,0,False,"Nigelnagelneue Werkzeugkiste",21002,1,1,1,65563,3,0,0
2000025,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000026,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000027,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000028,"Azeyma-Rose",3,"Azeyma-Rosen",1,0,1,1,0,False,"Azeyma-Rose",25919,1,1,1,65562,3,0,0
2000029,"Metallbeschlag",4,"Metallbeschläge",2,0,1,0,0,False,"Metallbeschlag",21007,1,1,1,65568,3,0,0
2000030,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000031,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000032,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000033,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000034,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000035,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000036,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000037,"",0,"",0,0,0,0,0,False,"",0,0,0,0,0,0,0,0
2000038,"Feuerbonbon",4,"Feuerbonbons",1,0,1,2,0,False,"Feuerbonbon",22624,1,1,1,66704,3,0,0
2000039,"Windbonbon",4,"Windbonbons",1,0,1,2,0,False,"Windbonbon",22625,1,1,1,66704,3,0,0
2000040,"Erdbonbon",4,"Erdbonbons",1,0,1,2,0,False,"Erdbonbon",22626,1,1,1,66704,3,0,0
