key,0
#,String
offset,0
Int32,String
0,""
1,"Eidbalken"
2,"Mit der Fähigkeit <hex:024804F201F603><hex:024904F201F703>Schild-Eid<hex:0249020103><hex:0248020103> begibst du dich in die Rolle des noblen Beschützers, der seine Gefährten wie kein anderer vor Gefahren zu schützen weiß. Ist diese Verteidigungshaltung aktiv, wird sie dir als spezielles Symbol angezeigt<hex:021D0103>- das sogenannte Eidwappen. Spreche den Schild-Eid immer dann, wenn es die Aufmerksamkeit deiner Widersacher auf dir zu halten gilt!"
3,"Die Erklärung zum Job-Balken kannst du jederzeit über „Kommandos & Eigenschaften“ einsehen."
4,"Eidbalken"
5,"Mit der Eigenschaft <hex:024804F201F603><hex:024904F201F703>Eidmeister<hex:0249020103><hex:0248020103> steht dir zusätzlich zum Eidwappen nun auch der Eidbalken zur Verfügung. Mit jeder erfolgreichen Auto-Attacke füllt er sich auf, also trainiere deinen Schwertarm gut!<hex:02100103>Mit deiner angesammelten Eidenergie kannst du die mächtigen Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten <hex:024804F201F603><hex:024904F201F703>Schiltron<hex:0249020103><hex:0248020103>, <hex:024804F201F603><hex:024904F201F703>Deckung<hex:0249020103><hex:0248020103> (Stufe 45) und <hex:024804F201F603><hex:024904F201F703>Intervention<hex:0249020103><hex:0248020103> (Stufe 62) ausführen, um das Schlachtfeld vollends zu dominieren!"
6,"Urkraftbalken"
7,"Mit dem Erlernen der Fähigkeit <hex:024804F201F603><hex:024904F201F703>Verteidiger<hex:0249020103><hex:0248020103> wirst du zu einem schier unbesiegbaren Schutzwall, der die Attacken seiner Feinde stoisch wegzustecken vermag. Ist diese Verteidigungshaltung aktiv, wird sie dir als spezielles Symbol angezeigt. Werde immer dann zum Verteidiger, wenn es die Aufmerksamkeit deiner Widersacher auf dir zu halten gilt!"
8,"Urkraftbalken"
