key,0,1,2,3,4
#,Objective,Requirement,BonusMultiplier,Image,Order
offset,0,4,12,8,14
Int32,String,String,UInt16,UInt32,UInt8
0,"","",100,0,0
1,"Silberfischer","Bedingung: 2.500 Punkte erreicht.",110,65901,4
2,"Goldfischer","Bedingung: 5.000 Punkte erreicht.",120,65902,5
3,"Seltener Fang","Bedingung: Einen ★★★★-Fisch gefangen.",110,65903,6
4,"Legendärer Fang","Bedingung: Einen ★★★★★-Fisch gefangen.",120,65904,7
5,"Blitzfischer","Bedingung: In der Phantomströmung 15 Fische gefangen.",110,65905,8
6,"König der Fischer","Bedingung: In der Phantomströmung 35 Fische gefangen.",120,65906,9
7,"Reicher Fang: Galadion-Bucht","Bedingung: In der Galadion-Bucht als Gruppe 10 Fischarten gefangen.",110,65907,10
8,"Reicher Fang: Südliche Straße von Merlthor","Bedingung: In der südlichen Straße von Merlthor als Gruppe 10 Fischarten gefangen.",110,65908,13
9,"Reicher Fang: Nördliche Straße von Merlthor","Bedingung: In der nördlichen Straße von Merlthor als Gruppe 10 Fischarten gefangen.",110,65909,19
10,"Reicher Fang: Rhotano-See","Bedingung: In der Rhotano-See als Gruppe 10 Fischarten gefangen.",110,65910,22
11,"Legendäre Fangmannschaft","Bedingung: Als Gruppe 4 ★★★★★-Fische gefangen.",150,65911,31
12,"Llymlaen-Gesegneter","Bedingung: Phantomströmung selbst ausgelöst.",110,65912,32
13,"Oktopussreiter","Bedingung: Als Gruppe 150 Oktopusse gefangen.",120,65913,33
14,"Haijäger","Bedingung: Als Gruppe 200 Haie gefangen.",130,65914,34
15,"Quallenfänger","Bedingung: Als Gruppe 150 Quallen gefangen.",120,65915,35
16,"Seepferdchenbändiger","Bedingung: Als Gruppe 100 Seepferdchen gefangen.",110,65916,36
17,"Hochseefischer-Anfänger","Bedingung: Eine Schiffsmission bei einer großen Fahrt abgeschlossen.",105,65923,1
18,"Hochseefischer-Enthusiast","Bedingung: Zwei Schiffsmissionen bei einer großen Fahrt abgeschlossen.",110,65924,2
19,"Hochseefischer-Fanatiker","Bedingung: Drei Schiffsmissionen bei einer großen Fahrt abgeschlossen.",120,65925,3
20,"Ballonfänger","Bedingung: Als Gruppe 250 Kugelfische gefangen.",130,65917,37
21,"Krabbenschiffsbesatzung","Bedingung: Als Gruppe 250 Krabben gefangen.",130,65918,38
22,"Manta! Manta!","Bedingung: 25 Mantas gefangen.",120,65919,39
23,"Reicher Fang: Galadion-Bucht","Bedingung: In der Galadion-Bucht als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).
",110,65907,11
24,"Reicher Fang: Galadion-Bucht","Bedingung: In der Galadion-Bucht als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).
",110,65907,12
25,"Reicher Fang: Südliche Straße von Merlthor","Bedingung: In der südlichen Straße von Merlthor als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65908,14
26,"Reicher Fang: Südliche Straße von Merlthor","Bedingung: In der südlichen Straße von Merlthor als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65908,15
27,"Reicher Fang: Nördliche Straße von Merlthor","Bedingung: In der nördlichen Straße von Merlthor als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65909,20
28,"Reicher Fang: Nördliche Straße von Merlthor","Bedingung: In der nördlichen Straße von Merlthor als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65909,21
29,"Reicher Fang: Rhotano-See","Bedingung: In der Rhotano-See als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65910,23
30,"Reicher Fang: Rhotano-See","Bedingung: In der Rhotano-See als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65910,24
31,"Reicher Fang: Cieldaläen","Bedingung: Auf den Cieldaläen als Gruppe 10 Fischarten gefangen.",110,65920,16
32,"Reicher Fang: Cieldaläen","Bedingung: Auf den Cieldaläen als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65920,17
33,"Reicher Fang: Cieldaläen","Bedingung: Auf den Cieldaläen als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65920,18
34,"Reicher Fang: Schwerblütiges Meer","Bedingung: Im Schwerblütigen Meer als Gruppe 10 Fischarten gefangen.",110,65921,25
35,"Reicher Fang: Schwerblütiges Meer","Bedingung: Im Schwerblütigen Meer als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65921,26
36,"Reicher Fang: Schwerblütiges Meer","Bedingung: Im Schwerblütigen Meer als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65921,27
37,"Reicher Fang: Rothlyt-Meerbusen","Bedingung: Im Rothlyt-Meerbusen als Gruppe 10 Fischarten gefangen.",110,65922,28
38,"Reicher Fang: Rothlyt-Meerbusen","Bedingung: Im Rothlyt-Meerbusen als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65922,29
39,"Reicher Fang: Rothlyt-Meerbusen","Bedingung: Im Rothlyt-Meerbusen als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65922,30
40,"Muschelmeister","Bedingung: Als Gruppe mehr als 350 Schalentiere gefangen.",130,65930,55
41,"Tintenfischfanatiker","Bedingung: Als Gruppe mehr als 400 Kopffüßer gefangen.",130,65931,56
42,"Garnelengenießer","Bedingung: Mehr als 50 Garnelen gefangen.",120,65932,57
43,"Reicher Fang: Sirenen-See","Bedingung: In der Sirenen-See als Gruppe 10 Fischarten gefangen.",110,65926,43
44,"Reicher Fang: Sirenen-See","Bedingung: In der Sirenen-See als Gruppe 9 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65926,44
45,"Reicher Fang: Sirenen-See","Bedingung: In der Sirenen-See als Gruppe 8 Fischarten gefangen (erforderliche Anzahl hängt von Gruppengröße ab).",110,65926,45
46,"Reicher Fang: Kugane-Gewässer","Bedingung: In den Kugane-Gewässern als Gruppe 10 Fischarten gefangen.",110,65927,46
