key,0,1,2
#,Image,Name,Text
offset,8,0,4
Int32,UInt32,String,String
0,0,"",""
1,0,"",""
2,0,"",""
3,0,"",""
4,0,"",""
5,0,"",""
6,0,"",""
7,0,"",""
8,0,"",""
9,0,"",""
10,0,"",""
11,86902,"So funktioniert's (1/2)","Bringe den Gegenstand an sein Ziel, bevor die Zeit abläuft!<hex:02100103>Du erhältst den Status „Transport“. Die Zahl unter dem Symbol in der Statusleiste zeigt an, wie viel Zeit dir noch verbleibt.<hex:02100103>Vorsicht: Wenn du Angriffe erleidest, verkürzt sich die Zeit! Also gehe Gefahren aus dem Weg.<hex:02100103>Während des Transports stehen bestimmte Kommandos nicht zur Verfügung."
12,86903,"So funktioniert's (2/2)","Wenn die Zeit abläuft oder du das Areal verlässt, verlierst du den Status „Transport“ und die Aufgabe ist gescheitert. Kehre zum Ausgangspunkt zurück und versuche es erneut!"
13,86904,"So funktioniert's (1/2)","Transparenz schützt dich vor neugierigen Blicken! So kannst du dein Ziel in aller Heimlichkeit erreichen.<hex:02100103>Du erhältst den Status „Transparenz“. Die Zahl unter dem Symbol in der Statusleiste zeigt an, wie lange die Transparenz noch anhält.<hex:02100103>Während Transparenz stehen bestimmte Kommandos nicht zur Verfügung."
14,86905,"So funktioniert's (2/2)","Wenn die Zeit abläuft oder du das Areal verlässt, verlierst du den Status „Transparenz“ und die Aufgabe ist gescheitert. Kehre zum Ausgangspunkt zurück und versuche es erneut!"
15,86906,"So funktioniert's (1/4)","Manche Auftragsabschnitte schließt du in Begleitung von NPCs ab. Ihr erkundet die Umgebung zusammen, also achte darauf, dass ihr euch nicht zu weit voneinander entfernt!"
16,86906,"So funktioniert's (2/4)","Solange du im gleichen Areal bleibst, kannst du Transport und Stadtätheryten benutzen, ohne die Begleitung zu unterbrechen. Das Gleiche gilt auch für das Schwimmen oder Tauchen, aber dabei kann es vorkommen, dass der NPC vor<hex:02160103>über<hex:02160103>gehend nicht angezeigt wird."
17,86907,"So funktioniert's (3/4)","Während der Begleitung kannst du jederzeit mit dem NPC sprechen. Außerdem kannst du auf sogenannte „Dialogpunkte“ stoßen. Sprich dort mit dem NPC, um zusätzliche Informationen zu erhalten. Die Dialogpunkte werden auf der Minikarte angezeigt."
18,86908,"So funktioniert's (4/4)","Die Begleitung endet, wenn du das Areal verlässt. Außerdem kann sie über die Dialogoption „Begleitung beenden“ des NPCs beendet werden. Kehre zum Ausgangspunkt zurück und sprich mit dem NPC, um die Begleitung wieder aufzunehmen."
19,86909,"So funktioniert's (1/1)","Der NPC führt dich an dein Ziel, also folge ihm.<hex:02100103>Vorsicht: Wenn du dich zu weit entfernst, scheitert die Aufgabe! Kehre zum Ausgangspunkt zurück und sprich mit dem NPC, um dich erneut führen zu lassen."
20,86910,"So funktioniert's (1/3)","Folge dem NPC - aber heimlich! Wenn der NPC dich sieht oder sich zu weit entfernt, scheitert die Aufgabe. Kehre in diesem Fall zum Ausgangspunkt zurück und versuche es erneut."
21,86911,"So funktioniert's (2/3)","Sei besonders vorsichtig, wenn der NPC sich umdreht. Ein Symbol warnt dich kurz vorher, also reagiere schnell und versteck dich!"
22,86912,"So funktioniert's (3/3)","Halte genau den richtigen Abstand zu dem NPC. Entferne dich nicht zu weit, aber achte darauf, nicht in den angezeigten Kreis zu geraten<hex:021D0103>- sonst wirst du entdeckt!"
23,86913,"So funktioniert's (1/2)","Dein normales Ich kommt so nicht weiter<hex:021D0103>- was hilft, ist eine Ver<hex:02160103>wand<hex:02160103>lung!<hex:02100103>Du erhältst den Status „Ver<hex:02160103>wand<hex:02160103>lung“ mit einer festgelegten Wirkungsdauer. Während Ver<hex:02160103>wand<hex:02160103>lung stehen bestimmte Kommandos nicht zur Verfügung."
24,86914,"So funktioniert's (2/2)","Kehre während der Ver<hex:02160103>wand<hex:02160103>lung zum Ausgangspunkt zurück, um die Wirkungsdauer zu verlängern. Wenn die angezeigte Zeit abläuft oder du den Wir<hex:02160103>kungs<hex:02160103>be<hex:02160103>reich verlässt, verlierst du den Status „Ver<hex:02160103>wand<hex:02160103>lung“ und die Aufgabe ist gescheitert. Kehre in diesem Fall zum Ausgangspunkt zurück und versuche es erneut."
25,86915,"So funktioniert's (1/2)","Manche Auftragsabschnitte erfordern es, dass du für vor<hex:02160103>über<hex:02160103>gehend dein Aussehen veränderst. Du erhältst dann für bestimmte Zeit den Status „Verkleidet“."
26,86916,"So funktioniert's (2/2)","Kehre in Verkleidung zum Ausgangspunkt zurück, um die Wirkungsdauer zu verlängern. Wenn die Zeit abläuft oder du das Areal verlässt, verlierst du den Status „Verkleidet“ und die Aufgabe ist gescheitert. Kehre in diesem Fall zum Ausgangspunkt zurück und versuche es erneut."
27,86917,"So funktioniert's (1/2)","Begleite den NPC sicher ans Ziel! Wenn du dich zu weit entfernst oder der NPC angegriffen wird, bleibt er stehen. Also beschütze ihn und bezwinge alle Angreifer!"
28,86918,"So funktioniert's (2/2)","Wenn die Lebenspunkte des NPCs auf 0 sinken, ist die Aufgabe gescheitert. Das Gleiche gilt, wenn du dich zu weit entfernst oder das Areal verlässt. Kehre zum Ausgangspunkt zurück und versuche es erneut!"
29,0,"",""
30,0,"",""
31,0,"",""
32,0,"",""
33,0,"",""
34,0,"",""
35,0,"",""
36,0,"",""
37,0,"",""
38,0,"",""
39,0,"",""
40,0,"",""
41,0,"",""
42,0,"",""
43,0,"",""
