key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106
#,LGBTargetMarker,,,,,,,,,,,VFXFire,VFXHit,VFXMiss,VFXAdditional,,,SnipeData[0].DataEventNPC,SnipeData[1].DataEventNPC,SnipeData[2].DataEventNPC,SnipeData[3].DataEventNPC,SnipeData[4].DataEventNPC,SnipeData[5].DataEventNPC,SnipeData[6].DataEventNPC,SnipeData[7].DataEventNPC,SnipeData[0].Unknown0,SnipeData[1].Unknown0,SnipeData[2].Unknown0,SnipeData[3].Unknown0,SnipeData[4].Unknown0,SnipeData[5].Unknown0,SnipeData[6].Unknown0,SnipeData[7].Unknown0,SnipeData[0].Unknown1,SnipeData[1].Unknown1,SnipeData[2].Unknown1,SnipeData[3].Unknown1,SnipeData[4].Unknown1,SnipeData[5].Unknown1,SnipeData[6].Unknown1,SnipeData[7].Unknown1,SnipeData[0].Unknown4,SnipeData[1].Unknown4,SnipeData[2].Unknown4,SnipeData[3].Unknown4,SnipeData[4].Unknown4,SnipeData[5].Unknown4,SnipeData[6].Unknown4,SnipeData[7].Unknown4,SnipeData[0].Unknown2,SnipeData[1].Unknown2,SnipeData[2].Unknown2,SnipeData[3].Unknown2,SnipeData[4].Unknown2,SnipeData[5].Unknown2,SnipeData[6].Unknown2,SnipeData[7].Unknown2,SnipeData[0].Unknown3,SnipeData[1].Unknown3,SnipeData[2].Unknown3,SnipeData[3].Unknown3,SnipeData[4].Unknown3,SnipeData[5].Unknown3,SnipeData[6].Unknown3,SnipeData[7].Unknown3,SnipeData[0].Unknown5,SnipeData[1].Unknown5,SnipeData[2].Unknown5,SnipeData[3].Unknown5,SnipeData[4].Unknown5,SnipeData[5].Unknown5,SnipeData[6].Unknown5,SnipeData[7].Unknown5,EventNPC[0],EventNPC[1],EventNPC[2],EventNPC[3],EventNPC[4],EventNPC[5],EventNPC[6],EventNPC[7],,,,,,,,,,,,,Objective0,Hint0,Objective1,Hint1,,,,,,,,ActionText,,
offset,260,264,277,270,271,272,273,274,266,275,276,244,248,252,256,268,277,0,16,32,48,64,80,96,112,4,20,36,52,68,84,100,116,6,22,38,54,70,86,102,118,12,28,44,60,76,92,108,124,8,24,40,56,72,88,104,120,10,26,42,58,74,90,106,122,13,29,45,61,77,93,109,125,128,132,136,140,144,148,152,156,164,172,180,188,166,174,182,190,160,168,176,184,192,196,200,204,208,212,216,220,224,228,232,236,240,241
Int32,UInt32,UInt16,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt8,UInt8,String,String,String,String,UInt16,PackedBool1,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,String,String,String,String,String,String,String,String,String,String,String,String,UInt8,UInt8
1,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
2,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
3,0,0,False,0,0,0,0,0,0,0,0,"","","","",0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","","","","","","","","","",0,0
4,6913467,0,False,0,8,5,20,20,8300,0,20,"ev_snipe_clic0f","","","",0,False,6913443,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1200,0,0,0,0,0,0,0,2200,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,6913444,6913445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Beobachte den Dhalmel!","Die Beobachtung am lebenden<hex:02100103>Objekt ist für die Herstellung<hex:02100103>eines Tierpräparats unverzichtbar.<hex:02100103>Sieh dir den Dhalmel von<hex:02100103>Kopf bis Fuß gründlich an,<hex:02100103>um dir seine anatomischen Details einzuprägen.","","Den großen Dhalmel von Kopf bis Fuß betrachten","","","","","","","","Beobachten",15,15
5,6958636,0,False,0,20,14,35,35,900,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6958463,6958464,6958465,6958466,0,0,0,0,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Triff alle Ziele!","Ermittle die Effektivität des<hex:02100103>Blasrohrs, indem du versuchst,<hex:02100103>alle Ziele zu treffen.","","Die Zielscheiben treffen","","","","","","","","Betäubungspfeil verschießen",35,26
6,6969729,0,False,0,30,17,20,20,13200,0,20,"ev_snipe_clic0f","","","",0,False,6969739,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1500,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Suche den Strand ab!","Der Späher hat dir erzählt,<hex:02100103>dass jemand reglos am Strand<hex:02100103>liegt. Sieh nach, ob du diese<hex:02100103>Behauptung bestätigen kannst.","","Die reglose Person am Strand finden","","","","","","","","Bestätigen",15,15
7,6971567,0,False,0,25,3,95,95,2600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6971552,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Betäube den Foper!","Visiere den Foper an<hex:02100103>und betäube ihn mit einem Pfeil<hex:02100103>aus dem Blasrohr.","","Foper mit Betäubungspfeil treffen","","","","","","","","Betäubungspfeil verschießen",35,26
8,6977220,0,False,0,5,9,14,16,7600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6977195,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5600,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Betäube den garleischen Soldaten!","Visiere den garleischen Soldaten an<hex:02100103>und betäube ihn mit einem Pfeil<hex:02100103>aus dem Blasrohr.","","Soldat mit Betäubungspfeil treffen","","","","","","","","Betäubungspfeil verschießen",35,26
9,6977227,0,False,0,15,2,11,24,7600,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6977196,7010933,7010934,7010935,7010936,0,0,0,23,23,24,23,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,5000,6600,5000,6000,20000,20000,20000,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Betäube die garleischen Soldaten!","Visiere die garleischen Soldaten an<hex:02100103>und betäube sie mit Pfeilen<hex:02100103>aus dem Blasrohr.","","Soldaten mit Betäubungspfeilen treffen","","","","","","","","Betäubungspfeil verschießen",35,26
10,6977228,0,False,0,3,4,8,5,6700,2,20,"ev_snipe0cf","ev_snipe_hit0f","ev_snipe_mis0f","",0,False,6977197,6977198,0,0,0,0,0,0,25,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3100,2100,20000,20000,20000,20000,20000,20000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Betäube die garleischen Soldaten!","Das Tor von Castrum Fluminis wird<hex:02100103>von garleischen Soldaten bewacht.<hex:02100103>Betäube sie mit Pfeilen aus dem Blasrohr.","","Soldaten mit Betäubungspfeilen treffen","","","","","","","","Betäubungspfeil verschießen",35,26
11,7021040,0,False,0,8,7,15,23,9500,0,20,"ev_snipe_clic0f","","","",0,False,6949952,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3600,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Verfolge den Verräter!","Finde den Shinobi, der des<hex:02100103>Verrats verdächtigt wird, und<hex:02100103>beobachte seine Aktionen.","","Den Shinobi observieren","","","","","","","","Beobachten",15,15
12,7021041,0,False,0,8,11,19,30,7700,0,20,"ev_snipe_clic0f","","","",0,False,6949953,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,20000,20000,20000,20000,20000,20000,20000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Verfolge den Verräter!","Finde den Shinobi, der des<hex:02100103>Verrats verdächtigt wird, und<hex:02100103>beobachte seine Aktionen.","","Den Shinobi observieren","","","","","","","","Beobachten",15,15
