key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,Pet,,,,,Action,LocationKey,Location,,,,,,,,,,,,,,,,,,,
offset,16,24,25,26,12,20,27,22,0,4,8,33,34,35,36,37,38,39,40,41,42,43,28,29,30,31,32
Int32,Int32,UInt8,UInt8,UInt8,UInt32,UInt16,UInt8,UInt16,String,String,String,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,UInt8,UInt8,UInt8,UInt8,UInt8
0,0,0,0,1,0,0,0,0,"","","",False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0
1,47,1,42,3,242001,45187,0,0,"Ursprünglich aus Ilsabard stammendes Raubtier. Einst war der Fleischfresser in Landis weit verbreitet, doch die Garlear dezimierten den Bestand so heftig, dass die Tiere heute beinahe als Fabelwesen gelten. Artgenossen behandeln einander liebevoll.","Physischer Hiebschaden","Auf Gegner: 6-mal physischer Hiebschaden",False,False,False,False,False,False,False,False,False,False,False,100,91,100,79,100
2,48,1,35,3,242002,48643,1,54,"Global verbreitetes Nagetier mit ausgeprägten Schneidezähnen. Eigentlich ein Schädling, der Gärten und Speicher verwüstet, doch das Volk verehrt den Nager als Boten der Göttin Nophica. Häufig als Motiv in Gemälden und Schnitzereien zu sehen.","Magischer Feuerschaden","Auf Verbündete: Hast",False,False,False,False,False,False,False,False,False,False,False,91,100,91,91,91
3,49,1,21,4,242003,45188,1,30,"Schafe wurden während der großen Eiszeit domestiziert und sind durch generationenlange Züchtung rund und flauschig geworden. Als Nutztier vollkommen etabliert und auf freiem Feld nur als entlaufenes Hoftier anzutreffen, samt klingendem Glöckchen.","Physischer Schlagschaden","Auf Gegner: Schlaf / Auf Verbündete: Schlaf-Resistenz +",False,False,False,False,False,False,False,True,False,False,False,82,82,82,82,82
4,50,5,45,2,242004,48648,1,30,"Ein Landfisch, der sich mithilfe einer gashaltigen Schwebeblase und großen Flossen fortbewegt. Bevorzugt die Nähe von Gewässern und fängt mit seinem langgestreckten Maul herkömmliche Fische. Stark ortsgebunden und verlässt sein Revier niemals.","Magischer Wasserschaden","Auf Verbündete: Magische Verwundbarkeit - / Paralyse-Resistenz +",False,False,False,False,False,False,False,False,False,False,False,100,100,100,100,100
5,52,1,18,3,242005,49696,1,57,"In Waldgebieten hausender Affe. Der Opo-Opo ist sozial veranlagt und bildet Kolonien von mehreren Dutzend Tieren mit einem Alphatier als Mittelpunkt. Äußerst intelligent und eine Plage für Bauern, aber zähmbar und dann ein zuverlässiger Kumpane.","Physischer Schlagschaden","Auf Feind: Elementneutraler Schaden / Paralyse",False,False,True,False,False,False,False,False,False,False,False,97,97,97,97,76
6,53,3,5,2,242006,48647,1,31,"Aus Mazlaya stammender, flugunfähiger Vogel. Das Brustfleisch ist schmackhaft, aber da der Dodo giftige Sekrete versprüht, müssen Züchter seine Giftdrüsen entfernen. Im Zuge seiner Verbreitung haben sich unterschiedliche Gefiederfarben ausgebildet.","Magischer Erdschaden / Blind","Auf Verbündete: Erdresistenz + / Blind-Resistenz",False,False,False,False,True,False,False,False,False,False,False,91,91,100,100,100
