key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Name,,ModelKey,AnimationStart,AnimationEnd,AnimationIdle,AnimationPlay01,AnimationPlay02,UnlockLink,Instrument,Icon,Transient,PerformGroup
offset,16,36,8,28,30,32,0,2,20,4,24,34,35
Int32,String,PackedBool0,UInt64,UInt16,UInt16,UInt16,UInt16,UInt16,Int32,String,Int32,UInt8,UInt8
0,"",False,0,0,0,0,0,0,0,"",0,0,0
1,"047harp",False,4295033529,6552,6554,6553,6555,6557,0,"Harfe",751,1,0
2,"001grandpiano",False,4295033529,6552,6554,6553,6555,6557,0,"Klavier",752,2,0
3,"026steelguitar",False,4295033529,6552,6554,6553,6555,6557,0,"Laute",753,3,0
4,"046pizzicato",False,4295033529,6552,6554,6553,6555,6557,0,"Zupffidel",754,4,0
5,"074flute",True,4295033525,6263,6265,6264,6266,6268,0,"Flöte",755,5,0
6,"069oboe",True,4295033525,6263,6265,6264,6266,6268,0,"Oboe",757,6,0
7,"072clarinet",True,4295033525,6263,6265,6264,6266,6268,0,"Klarinette",759,7,0
8,"073piccolo",True,4295033525,6263,6265,6264,6266,6268,0,"Piccoloflöte",758,8,0
9,"076panflute",True,4295033525,6263,6265,6264,6266,6268,0,"Panflöte",756,9,0
10,"048timpani",False,4295033528,6281,6283,6282,6284,6286,0,"Timpani",760,10,0
11,"097bongo",False,4295033528,6281,6283,6282,6284,6286,0,"Bongo",761,11,0
12,"098bd",False,4295033528,6281,6283,6282,6284,6286,0,"Große Trommel",762,12,0
13,"099snare",False,4295033528,6281,6283,6282,6284,6286,0,"Kleine Trommel",763,13,0
14,"100cymbal",False,4295033528,6281,6283,6282,6284,6286,0,"Becken",764,14,0
15,"057trumpet",True,4295033524,7337,7339,7338,7340,7342,0,"Trompete",765,15,0
16,"058trombone",True,4295033524,7337,7339,7338,7340,7342,0,"Posaune",766,16,0
17,"059tuba",True,4295033524,7337,7339,7338,7340,7342,0,"Tuba",767,17,0
18,"061frenchhorn",True,4295033524,7337,7339,7338,7340,7342,0,"Horn",768,18,0
19,"066altosax",True,4295033524,7337,7339,7338,7340,7342,0,"Saxophon",769,19,0
20,"041violin",True,4295033523,7411,7413,7412,7414,7416,0,"Geige",770,20,0
21,"042viola",True,4295033523,7411,7413,7412,7414,7416,0,"Bratsche",771,21,0
22,"043cello",True,4295033523,7411,7413,7412,7414,7416,0,"Cello",772,22,0
23,"044contrabass",True,4295033523,7411,7413,7412,7414,7416,0,"Kontrabass",773,23,0
24,"030driveguitar",True,4295033522,8022,8024,8023,8025,8027,0,"E-Gitarre: Verzerrt",774,24,1
25,"028cleanguitar",True,4295033522,8022,8024,8023,8025,8027,0,"E-Gitarre: Unverzerrt",775,25,1
26,"029muteguitar",False,4295033522,8022,8024,8023,8036,8038,0,"E-Gitarre: Gedämpft",776,26,1
27,"031powerguitar",True,4295033522,8029,8031,8030,8032,8034,0,"E-Gitarre: Powerchords",777,27,1
28,"032FXguitar",False,4295033522,8022,8024,8023,8040,8042,0,"E-Gitarre: Speziell",778,28,1
