key,0,1,2,3,4,5,6,7,8,9,10
#,Quest,,UITab,Category,,QuestRedoUISmall,QuestRedoUILarge,QuestRedoUIWide,ChapterName,ChapterPart,Transient
offset,12,16,32,33,34,20,24,28,0,4,8
Int32,UInt32,UInt32,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,String,String,String
0,0,0,0,0,0,0,0,0,"","",""
1,66060,0,1,30,1,114766,114166,114466,"A Realm Reborn - Kapitel 1","Kapitel 1","Eorzea, der Kontinent, von dem es heißt, dass er von den Göttern geliebt wird. Hier beginnt die Reise <hex:020833E905FF17>einer einzelnen Heldin<hex:FF17>eines einzelnen Helden<hex:03>. Vom Urkristall als <hex:020817E905FF0A>Kriegerin<hex:FF08>Krieger<hex:03> des Lichts berufen, zieht <hex:02080CE905FF04>sie<hex:FF03>er<hex:03> hinaus, um das weite Land zu erkunden. Lüstet es <hex:02080DE905FF04>sie<hex:FF04>ihn<hex:03> nach Macht oder nach Ruhm? Oder ist es einfach nur die Sehnsucht nach dem Abenteuer? Mit der Zeit wird es sich zeigen, was <hex:02080EE905FF04>ihr<hex:FF05>sein<hex:03> Herz wirklich bewegt."
2,66060,0,1,30,2,114767,114167,114467,"A Realm Reborn - Kapitel 2","Kapitel 2","Nachdem <hex:02081FE905FF0E>die Kriegerin<hex:FF0C>der Krieger<hex:03> des Lichts eine Weile durch die Welt Eorzeas gereist ist und dabei die drei Stadt<hex:02160103>staaten besucht hat, wird <hex:02080DE905FF04>ihr<hex:FF04>ihm<hex:03> langsam bewusst, dass das Land vor gewaltigen Heraus<hex:02160103>forde<hex:02160103>rungen steht. Auf <hex:020812E905FF06>ihren<hex:FF07>seinen<hex:03> Reisen begegnet <hex:02080CE905FF04>sie<hex:FF03>er<hex:03> dem Mitglied einer geheimen Vereinigung, dem „Bund der Morgenröte“. Sie scheinen die Antwort auf einige der dringendsten Fragen zu haben: Was ist diese mysteriöse „Kraft des Transzendierens“? Und was hat es mit diesem Phantom auf sich, dem <hex:02080CE905FF04>sie<hex:FF03>er<hex:03> begegnet ist?"
3,66060,0,1,30,3,114768,114168,114468,"A Realm Reborn - Kapitel 3","Kapitel 3","Der Primae Ifrit war eine Bedrohung für die Sicherheit ganz Eorzeas, die nun Dank <hex:020826E905FF11>der Abenteurerin<hex:FF10>des Abenteurers<hex:03> gebannt ist. Wie es sich herausstellt, walten hinter dem Auftauchen dieses Ungeheuers üble Kräfte, in Gestalt der Boten der Finsternis: den Ascians. Und es ist die Bestimmung <hex:020820E905FF0E>der Kriegerin<hex:FF0D>des Kriegers<hex:03> des Lichts, ihre Pläne zu durchkreuzen. Das Ziel ist klar: der Ascian Lahabrea muss gestoppt werden."
4,66060,0,1,30,4,114769,114169,114469,"A Realm Reborn - Kapitel 4","Kapitel 4","Mit der Unterstützung des Heeres der Helden konnte der Primae Titan bezwungen werden. Y'shtola verspürte während des heftigen Kampfes die Präsenz einer verborgenen Entität. Und in der Tat, das Garleische Kaiserreich scheint im Bunde mit den Ascians zu stehen. Gemeinsam mit <hex:02081FE905FF0E>der Kriegerin<hex:FF0C>dem Krieger<hex:03> des Lichts geht es zurück ins Hauptquartier des Bundes, um einen Plan auszuarbeiten, doch es kommt anders<hex:021D0103>..."
5,66996,0,1,30,5,114770,114170,114470,"7. Ära des Lichts - Kapitel 1","7. Ära - Kapitel 1","Die Exegeten haben die erbitterte Schlacht um das Castrum Meridianum für sich entschieden. Die Welt kann nun endgültig die finstere Zeit der Siebten Katastrophe hinter sich lassen und einer besseren Zukunft entgegenblicken. Auch für den Bund der Morgenröte, der Eorzea vor einem dunklen Schicksal bewahrte, bedeutet dies ein großer Schritt zur Erfüllung seiner Ziele. Doch schon tut sich eine neue Bedrohung auf, die das Können der Exegeten auf die Probe stellen wird."
6,65964,0,1,30,6,114771,114171,114471,"7. Ära des Lichts - Kapitel 2","7. Ära - Kapitel 2","Auch wenn nun die Siebte Ära des Lichts angebrochen ist, Eorzea ächzt im Angesicht der zahllosen Bedrohungen, die sich auftun. Die Wilden Stämme und die Primae, das Verschwinden der Insel Val, allen Ortes das unendliche Leid der Entwurzelten und nun auch noch Häretiker in Coerthas. Die von Alphinaud ins Leben gerufenen „Kristallstreiter“ können allein nicht all der Probleme, die sich in Eorzea auftun, Herr werden. "
