key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Name,NameShort,NameFemale,Description,NameEnglish,LevelMax,JobIndex,LevelUnlock[0],Action[0],LevelUnlock[1],Action[1],LevelUnlock[2],Action[2],LevelUnlock[3],Action[3],LevelUnlock[4],Action[4]
offset,0,4,8,12,16,40,41,42,20,43,24,44,28,45,32,46,36
Int32,String,String,String,String,String,UInt8,UInt8,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32
0,"Phantom-Freiberufler","Ph-Freiberufler","Phantom-Freiberuflerin","In dieser Erinnerung stecken die bescheidenen Anfänge bis zum glorreichen Ende eines alten Abenteurers. Außerdem lauter Kniffe, die beim Erkunden äußerst nützlich sind.","Phantom Freelancer",0,16,5,41650,10,41651,15,46606,0,0,0,0
1,"Phantom-Ritter","Ph-Ritter","Phantom-Ritterin","Treue und Ehre prägen diese alte Erinnerung eines noblen Ritters. Mit ihr lassen sich Mitstreiter vielseitig schützen und vor Schaden bewahren.","Phantom Knight",6,1,1,41588,2,41589,3,41590,6,41591,0,0
2,"Phantom-Berserker","Ph-Berserker","Phantom-Berserkerin","Erinnerungen an Zorn und Mut prägen diesen einstigen Berserker. Seine Techniken zahlen sich durch hohes Risiko mit entsprechend hoher Belohnung aus.","Phantom Berserker",3,5,1,41592,2,41594,0,0,0,0,0,0
3,"Phantom-Mönch","Ph-Mönch","Phantom-Mönchin","Übung und Meditation sind das, was in der Erinnerung dieses Mönchs stecken. Man wird kaum einen geschickteren Angreifer als diesen edlen Krieger finden.","Phantom Monk",6,2,1,41595,2,41596,3,41597,5,41598,0,0
4,"Phantom-Jäger","Ph-Jäger","Phantom-Jägerin","Mit Stolz und Leidenschaft schoss dieser Jäger seine Pfeile, wie diese alte Erinnerung verrät. Mit ihr macht man sich die vielseitigen Talente verschiedener Tiere zu Eigen.","Phantom Ranger",6,6,1,41599,2,41600,4,41601,6,41602,0,0
5,"Phantom-Samurai","Ph-Samurai","Phantom-Samurai","Der Weg des Samurai ist von einem starken Geist geprägt, wie diese Erinnerung deutlich macht. Sie lehrt, Feinde mit einem einzigen Streich zu besiegen.","Phantom Samurai",5,4,1,41603,2,41604,3,41605,4,41606,0,0
6,"Phantom-Barde","Ph-Barde","Phantom-Bardin","Poesie, Gesang und die Liebe zur Kunst finden sich in der Erinnerung dieses alten Barden. Mit genau dieser Kunst können Gefährten vielseitig unterstützt werden.","Phantom Bard",4,11,1,41608,2,41609,3,41607,4,41610,0,0
7,"Phantom-Geomant","Ph-Geomant","Phantom-Geomantin","Das Wissen der Naturgesetze und ein logischer Geist prägen diese geomantische Erinnerung. Sie lehrt, sich das Wetter optimal zunutze zu machen.","Phantom Geomancer",5,10,1,41611,2,41612,3,41619,4,41620,0,0
8,"Phantom-Zeitmagier","Ph-Zeitmagier","Phantom-Zeitmagierin","In dieser Erinnerung schlummert das Wissen um die Gesetze der Zeit und wie diese zu beugen sind. Der Zeitmagier unterstützt Gefährten auf vielfältige und kreative Weise.","Phantom Time Mage",5,8,1,41621,2,41623,3,41624,4,41622,5,41625
9,"Phantom-Grenadier","Ph-Grenadier","Phantom-Grenadierin","Komplexe Taktiken und schwere Ballistik zeichnen die Erinnerung dieses alten Grenadiers. Seine Geschosse unterstützen seinen Trupp mit allerlei Effekten.","Phantom Cannoneer",6,14,1,41626,2,41627,3,41628,4,41629,6,41630
10,"Phantom-Alchemist","Ph-Alchemist","Phantom-Alchemistin","Die Erinnerung dieses alten Alchemisten besteht aus dem geschickten Mischen allerlei Tinkturen. Ihre potente Heilkraft ist ein mächtiges Werkzeug im Kampf.","Phantom Chemist",4,9,1,41631,2,41633,3,41634,4,41635,0,0
11,"Phantom-Seher","Ph-Seher","Phantom-Seherin","In den Erinnerungen dieses alten Sehers finden sich Inspiration und Prophezeiung. Eine mystische Macht, die selbst die Wogen der Zeit leiten kann.","Phantom Oracle",5,13,1,41636,2,41641,3,41642,4,41643,5,41644
12,"Phantom-Dieb","Ph-Dieb","Phantom-Diebin","Geschick, Mut und allerlei Kniffe finden sich in der Erinnerung dieses Diebes. Sie liefert unverzichtbare Techniken zum Überleben und Erkunden in so gut wie jeder Umgebung.","Phantom Thief",6,3,1,41646,2,41645,3,41647,4,41648,5,41649
13,"Phantom-Paladin","Ph-Paladin","Phantom-Paladin","Diese Erinnerung eines alten Paladins ist gefüllt von dessen Streben nach Wissen. Die in ihr enthaltenen magischen Künste erlauben es, alltägliche Waffen mit mächtigen Magien zu verstärken.","Phantom Mystic Knight",4,7,1,46591,2,46590,3,46592,4,46593,0,0
14,"Phantom-Gladiator","Ph-Gladiator","Phantom-Gladiatorin","Ein unbeugsamer Wille ziert diese Erinnerung eines kampferfahrenen Gladiators. Offensive und defensive Techniken verschmelzen in ihr zu einer lückenlosen Kampfkunst.","Phantom Gladiator",4,15,1,46594,2,46595,3,46596,4,46597,0,0
15,"Phantom-Tänzer","Ph-Tänzer","Phantom-Tänzerin","Beschwingt und voller Stolz ist diese Erinnerung eines leidenschaftlichen Tänzers, dessen Schrittfolgen sich auch im Kampf als überaus nützlich erweisen.","Phantom Dancer",4,12,1,46598,2,46603,3,46604,4,46605,0,0
