key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
#,,,DefaultTalkParams[0].Unknown1,DefaultTalkParams[1].Unknown1,DefaultTalkParams[2].Unknown1,DefaultTalkParams[0].ActionTimelinePose,DefaultTalkParams[1].ActionTimelinePose,DefaultTalkParams[2].ActionTimelinePose,DefaultTalkParams[0].Unknown2,DefaultTalkParams[1].Unknown2,DefaultTalkParams[2].Unknown2,DefaultTalkParams[0].Unknown0,DefaultTalkParams[1].Unknown0,DefaultTalkParams[2].Unknown0,DefaultTalkParams[0].Unknown3,DefaultTalkParams[1].Unknown3,DefaultTalkParams[2].Unknown3,DefaultTalkParams[0].Unknown4,DefaultTalkParams[1].Unknown4,DefaultTalkParams[2].Unknown4,Text[0],Text[1],Text[2]
offset,36,40,4,12,20,0,8,16,5,13,21,2,10,18,6,14,22,7,15,23,24,28,32
Int32,UInt32,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,PackedBool0,PackedBool0,PackedBool0,String,String,String
589824,0,1,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"0","0","0"
589825,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589827,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589828,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"0","0","0"
589829,0,1,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"0","0","0"
589830,0,1,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"0","0","0"
589831,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589832,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589833,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589834,0,1,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"0","0","0"
589835,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589836,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589837,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589838,0,1,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589839,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589840,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589841,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589842,0,1,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589843,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589844,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Verzeihung, aber ich bin gerade beschäftigt. Gedulde dich bitte einen Moment.","Du bist neu hier, nicht wahr? Dann gehe in Miounnes Hexenstübchen und schreibe dich dort bei der Aben<hex:02160103>teurer<hex:02160103>gilde ein.","0"
589845,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Als Neuling solltest du als Erstes zur Aben<hex:02160103>teurer<hex:02160103>gilde in Miounnes Hexenstübchen gehen und dich bei Miounne melden!","Solange du auf gridanischem Boden weilst, hast du dich an die Anweisungen des Klageregiments zu halten. Verstanden?","0"
589846,0,1,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Noch <hex:020826E905FF12>eine Abenteurerin<hex:FF0F>ein Abenteurer<hex:03>? Langsam wird es voll in Gridania.","Natürlich bin ich dankbar, dass ihr uns zu Hilfe eilt, aber die vielen Fremden machen mich trotzdem nervös.","0"
589847,0,1,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Gridania ist eine heilige Stadt des Waldes, die unter dem Schutz der Gebieter steht. Übe dich in Demut und respektiere die Natur!","0","0"
