key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,Countability,Pronoun,Article,NameRank,
offset,0,16,4,17,18,19,20,21,8,12
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String
0,"",0,"",0,0,0,0,0,"",""
1,"Dritte Novizin",3,"Dritte Novizinnen",1,0,1,1,0,"Novizin","Dritte Novizin"
2,"Zweite Novizin",3,"Zweite Novizinnen",1,0,1,1,0,"Novizin","Zweite Novizin"
3,"Erste Novizin",3,"Erste Novizinnen",1,0,1,1,0,"Novizin","Erste Novizin"
4,"Erleuchtete Novizin",3,"Erleuchtete Novizinnen",1,0,1,1,0,"Novizin","Erleuchtete Novizin"
5,"Dritte Schlangenjüngerin",3,"Dritte Schlangenjüngerinnen",1,0,1,1,0,"Schlangenjüngerin","Dritte Schlangenjüngerin"
6,"Zweite Schlangenjüngerin",3,"Zweite Schlangenjüngerinnen",1,0,1,1,0,"Schlangenjüngerin","Zweite Schlangenjüngerin"
7,"Erste Schlangenjüngerin",3,"Erste Schlangenjüngerinnen",1,0,1,1,0,"Schlangenjüngerin","Erste Schlangenjüngerin"
8,"Erleuchtete Schlangenjüngerin",3,"Erleuchtete Schlangenjüngerinnen",1,0,1,1,0,"Schlangenjüngerin","Erleuchtete Schlangenjüngerin"
9,"Zweite Schlangenpriesterin",3,"Zweite Schlangenpriesterinnen",1,0,1,1,0,"Schlangenpriesterin","Zweite Schlangenpriesterin"
10,"Erste Schlangenpriesterin",3,"Erste Schlangenpriesterinnen",1,0,1,1,0,"Schlangenpriesterin","Erste Schlangenpriesterin"
11,"Erleuchtete Schlangenpriesterin",3,"Erleuchtete Schlangenpriesterinnen",1,0,1,1,0,"Schlangenpriesterin","Erleuchtete Schlangenpriesterin"
12,"Zweite Priorin",3,"Zweite Priorinnen",1,0,1,1,0,"Priorin","Zweite Priorin"
13,"Erste Priorin",3,"Erste Priorinnen",1,0,1,1,0,"Priorin","Erste Priorin"
14,"Erleuchtete Priorin",3,"Erleuchtete Priorinnen",1,0,1,1,0,"Priorin","Erleuchtete Priorin"
15,"Einäugige Seherin",3,"Einäugige Seherinnen",1,0,1,1,0,"Seherin","Einäugige Seherin"
16,"Zweiäugige Seherin",3,"Zweiäugige Seherinnen",1,0,1,1,0,"Seherin","Zweiäugige Seherin"
17,"Dreiäugige Seherin",3,"Dreiäugige Seherinnen",1,0,1,1,0,"Seherin","Dreiäugige Seherin"
18,"Auge der Schlange",3,"Augen der Schlange",1,0,1,2,0,"Auge der Schlange","Auge der Schlange"
19,"Saatseherin",3,"Saatseherinnen",1,0,1,1,0,"Saatseherin","Saatseherin"
