key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
#,PacketIndex,Name,Description,OrderPriority,OneHandWeaponPercent,OffHandPercent,HeadPercent,ChestPercent,HandsPercent,WaistPercent,LegsPercent,FeetPercent,EarringPercent,NecklacePercent,BraceletPercent,RingPercent,TwoHandWeaponPercent,UnderArmorPercent,ChestHeadPercent,ChestHeadLegsFeetPercent,,LegsFeetPercent,HeadChestHandsLegsFeetPercent,ChestLegsGlovesPercent,ChestLegsFeetPercent,,,MeldParam[0],MeldParam[1],MeldParam[2],MeldParam[3],MeldParam[4],MeldParam[5],MeldParam[6],MeldParam[7],MeldParam[8],MeldParam[9],MeldParam[10],MeldParam[11],MeldParam[12],
offset,68,0,4,54,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,40,42,44,46,48,50,52,55,56,57,58,59,60,61,62,63,64,65,66,67,69
Int32,Int8,String,String,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,PackedBool0
0,-1,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
1,0,"Stärke","Stärke: Beeinflusst die Höhe des physischen Schadens, den die Waffen der Gladiatoren, Marodeure, Revolver<hex:02160103>klingen, Faustkämpfer, Pikeniere, Druiden, Thaumaturgen, Hermetiker, Dunkelritter, Samurai, Rotmagier, Piktomaten, Blaumagier, Astrologen, Schnitter und Weisen austeilen.",12,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,100,100,100,70,70,70,100,70,100,100,70,70,False
2,1,"Geschick","Geschick: Beeinflusst die Höhe des physischen Schadens, den die Waffen von Waldläufern, Vipern, Schurken, Maschinisten und Tänzern austeilen.",13,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,100,70,70,100,70,100,70,100,100,False
3,2,"Konstitution","Konstitution: Beeinflusst die Höhe der maximalen Lebenspunkte (LP).",14,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,100,100,100,100,90,90,100,90,100,100,100,100,False
4,3,"Intelligenz","Intelligenz: Beeinflusst die Stärke der Offensivmagie von Angreifern.",15,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,70,100,70,70,100,100,70,70,70,False
5,4,"Willenskraft","Willenskraft: Beeinflusst die Stärke der Heilmagie und die Stärke der Offensivmagie von Heilern.",16,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,70,70,100,70,100,100,70,70,70,False
6,5,"Frömmigkeit","Frömmigkeit: Beeinflusst die Ge<hex:02160103>schwindig<hex:02160103>keit, mit der Magiepunkte (MP) automatisch wieder<hex:02160103>her<hex:02160103>gestellt werden. Nur anwendbar auf Heiler in Kampfsituationen.",25,100,40,85,135,85,0,135,85,67,67,67,67,140,70,220,440,0,220,525,355,355,220,270,90,70,70,70,70,70,100,70,70,100,70,70,70,False
7,6,"LP","",48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
8,7,"MP","",49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
9,8,"TP","",50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
10,9,"SP","",35,20,20,20,20,20,0,20,40,250,250,250,130,20,20,40,80,0,40,100,60,60,40,40,100,100,100,100,100,100,100,100,100,100,100,100,100,False
11,10,"HP","",32,20,20,30,20,30,30,30,30,250,250,250,130,20,20,50,110,0,60,140,80,80,50,50,100,100,100,100,100,100,100,100,100,100,100,100,100,False
12,-1,"Phys. Basiswert","",1,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,50,100,100,100,False
13,-1,"Mag. Basiswert","",2,1000,0,0,0,0,0,0,0,0,0,0,0,1000,500,0,0,0,0,0,0,0,0,0,50,50,50,50,50,100,100,50,100,30,50,50,50,False
14,11,"Verzögerung","",52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
15,-1,"Zusatzeffekt: ","",51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
16,-1,"Anzahl der Attacken: ","",53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,False
