key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
offset,0,8,4,9,10,11,12,13
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8
0,"",0,"",0,0,1,0,0
1,"Lagerstätte",3,"Lagerstätten",1,0,1,1,0
2,"Steinbruch",4,"Steinbrüche",2,0,1,0,0
3,"Nutzbaum",4,"Nutzbäume",2,0,1,0,0
4,"üppig[a] Vegetation",3,"üppig[a] Vegetationen",1,0,1,1,0
5,"unbekannt[a] Lagerstätte",3,"unbekannt[a] Lagerstätten",1,0,1,1,0
6,"unbekannt[a] Steinbruch",4,"unbekannt[a] Steinbrüche",2,0,1,0,0
7,"unbekannt[a] Nutzbaum",4,"unbekannt[a] Nutzbäume",2,0,1,0,0
8,"unbekannt[a] Vegetation",3,"unbekannt[a] Vegetationen",1,0,1,1,0
9,"vergänglich[a] Lagerstätte",3,"vergänglich[a] Lagerstätten",1,0,1,1,0
10,"vergänglich[a] Steinbruch",4,"vergänglich[a] Steinbrüche",2,0,1,0,0
11,"vergänglich[a] Nutzbaum",4,"vergänglich[a] Nutzbäume",2,0,1,0,0
12,"vergänglich[a] Vegetation",3,"vergänglich[a] Vegetationen",1,0,1,1,0
13,"legendär[a] Lagerstätte",3,"legendär[a] Lagerstätten",1,0,1,1,0
14,"legendär[a] Steinbruch",4,"legendär[a] Steinbrüche",2,0,1,0,0
15,"legendär[a] Nutzbaum",4,"legendär[a] Nutzbäume",2,0,1,0,0
16,"legendär[a] Vegetation",3,"legendär[a] Vegetationen",1,0,1,1,0
17,"verborgen[a] Lagerstätte",3,"verborgen[a] Lagerstätten",1,0,1,1,0
18,"verborgen[a] Steinbruch",4,"verborgen[a] Steinbrüche",2,0,1,0,0
19,"verborgen[a] Nutzbaum",4,"verborgen[a] Nutzbäume",2,0,1,0,0
20,"verborgen[a] Vegetation",3,"verborgen[a] Vegetationen",1,0,1,1,0
21,"Speerfischgrund",4,"Speerfischgründe",2,0,1,0,0
22,"Wasserwirbel",4,"Wasserwirbel",2,0,1,0,0
23,"verhüllt[a] Lagerstätte",3,"verhüllt[a] Lagerstätten",1,0,1,1,0
24,"verhüllt[a] Steinbruch",4,"verhüllt[a] Steinbrüche",2,0,1,0,0
25,"verhüllt[a] Nutzbaum",4,"verhüllt[a] Nutzbäume",2,0,1,0,0
26,"verhüllt[a] Vegetation",3,"verhüllt[a] Vegetationen",1,0,1,1,0
