key,0,1,2,3,4,5,6,7
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,,Pronoun,Article
offset,0,8,4,9,10,11,12,13
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8
2000000,"",0,"",0,0,1,0,0
2000001,"透明君※α未使用",0,"",0,0,1,0,0
2000002,"草むらテスト※α未使用",0,"",0,0,1,0,0
2000003,"クエストツールテスト※α未使用",0,"",0,0,1,0,0
2000004,"クエストツールテスト２※α未使用",0,"",0,0,1,0,0
2000005,"",0,"",0,0,0,0,0
2000006,"草むら※α未使用",0,"",0,0,1,0,0
2000007,"草むら※α未使用",0,"",0,0,1,0,0
2000008,"Hagebaum",4,"Hagebäume",2,0,1,0,0
2000009,"Zielort",4,"Zielorte",2,0,1,0,0
2000010,"Anolis-Ei",2,"Anolis-Eier",2,0,1,2,0
2000011,"Anolis-Ei",2,"Anolis-Eier",2,0,1,2,0
2000012,"Anolis-Ei",2,"Anolis-Eier",2,0,1,2,0
2000013,"Anolis-Ei",2,"Anolis-Eier",2,0,1,2,0
2000014,"Anolis-Ei",2,"Anolis-Eier",2,0,1,2,0
2000015,"parfümiert[a] Brief",4,"parfümiert[a] Briefe",2,0,1,0,0
2000016,"zerfressen[a] Baum",4,"zerfressen[a] Bäume",2,0,1,0,0
2000017,"zerfressen[a] Baum",4,"zerfressen[a] Bäume",2,0,1,0,0
2000018,"zerfressen[a] Baum",4,"zerfressen[a] Bäume",2,0,1,0,0
2000019,"hölzern[a] Haarschmuck",4,"hölzern[a] Haarschmuckstücke",2,0,1,0,0
2000020,"Bündel[p] verstreuten Wildgemüses",4,"Bündel[p] verstreuten Wildgemüses",2,0,1,2,0
2000021,"Bündel[p] verstreuten Wildgemüses",4,"Bündel[p] verstreuten Wildgemüses",2,0,1,2,0
2000022,"Bündel[p] verstreuten Wildgemüses",4,"Bündel[p] verstreuten Wildgemüses",2,0,1,2,0
2000023,"Bündel[p] verstreuten Wildgemüses",4,"Bündel[p] verstreuten Wildgemüses",2,0,1,2,0
2000024,"Bündel[p] verstreuten Wildgemüses",4,"Bündel[p] verstreuten Wildgemüses",2,0,1,2,0
2000025,"Bündel[p] verstreuten Wildgemüses",4,"Bündel[p] verstreuten Wildgemüses",2,0,1,2,0
2000026,"Samen[p] der Azeyma-Rose",4,"Samen[p] der Azeyma-Rose",1,0,1,0,0
2000027,"Samen[p] der Azeyma-Rose",4,"Samen[p] der Azeyma-Rose",1,0,1,0,0
2000028,"Samen[p] der Azeyma-Rose",4,"Samen[p] der Azeyma-Rose",1,0,1,0,0
2000029,"Samen[p] der Azeyma-Rose",4,"Samen[p] der Azeyma-Rose",1,0,1,0,0
2000030,"Samen[p] der Azeyma-Rose",4,"Samen[p] der Azeyma-Rose",1,0,1,0,0
2000031,"Samen[p] der Azeyma-Rose",4,"Samen[p] der Azeyma-Rose",1,0,1,0,0
2000032,"",0,"",0,0,1,0,0
2000033,"埋門",0,"",0,0,1,0,0
2000034,"",0,"",0,0,1,0,0
2000035,"",0,"",0,0,1,0,0
2000036,"",0,"",0,0,0,0,0
2000037,"Toto-Rak-Barriere",3,"Toto-Rak-Barrieren",1,0,1,1,0
2000038,"Toto-Rak-Teleporter",4,"Toto-Rak-Teleporter",2,0,1,0,0
2000039,"Magitek-Photozelle",3,"Magitek-Photozellen",1,0,1,1,0
2000040,"",0,"",0,0,1,0,0
2000041,"",0,"",0,0,1,0,0
2000042,"Zielort",4,"Zielorte",2,0,1,0,0
2000043,"feucht[a] Grube",3,"feucht[a] Gruben",1,0,1,1,0
2000044,"feucht[a] Grube",3,"feucht[a] Gruben",1,0,1,1,0
2000045,"feucht[a] Grube",3,"feucht[a] Gruben",1,0,1,1,0
2000046,"Ausgang",4,"Ausgänge",2,0,1,0,0
2000047,"",0,"",0,0,1,0,0
2000048,"Omega-Transportvorrichtung",3,"Omega-Transportvorrichtungen",1,0,1,1,0
2000049,"",0,"",0,0,0,0,0
2000050,"",0,"",0,0,0,0,0
2000051,"",0,"",0,0,1,0,0
2000052,"",0,"",0,0,1,0,0
2000053,"warm[a] Ei",2,"warm[a] Eier",2,0,1,2,0
2000054,"",0,"",0,0,1,0,0
2000055,"Kleinod[p] des Ketzers",4,"Kleinodien[p] des Ketzers",1,0,1,2,0
2000056,"Kleinod[p] des Ketzers",4,"Kleinodien[p] des Ketzers",1,0,1,2,0
2000057,"Kleinod[p] des Ketzers",4,"Kleinodien[p] des Ketzers",1,0,1,2,0
2000058,"magisch[a] Barriere",3,"magisch[a] Barrieren",1,0,1,1,0
2000059,"magisch[a] Barriere",3,"magisch[a] Barrieren",1,0,1,1,0
2000060,"magisch[a] Barriere",3,"magisch[a] Barrieren",1,0,1,1,0
2000061,"Sphärolith[p] des Ketzers",4,"Sphärolithen[p] des Ketzers",1,0,1,0,0
2000062,"Sphärolith[p] des Ketzers",4,"Sphärolithen[p] des Ketzers",1,0,1,0,0
2000063,"Sphärolith[p] des Ketzers",4,"Sphärolithen[p] des Ketzers",1,0,1,0,0
2000064,"Kokon",4,"Kokons",1,0,1,0,0
2000065,"Steinbrücke",3,"Steinbrücken",1,0,1,1,0
2000066,"Ausgang",4,"Ausgänge",2,0,1,0,0
2000067,"Sphärolith[p] des Ketzers",4,"Sphärolithen[p] des Ketzers",1,0,1,0,0
2000068,"",0,"",0,0,1,0,0
2000069,"",0,"",0,0,1,0,0
2000070,"Duftlampe",3,"Duftlampen",1,0,1,1,0
2000071,"Duftlampe",3,"Duftlampen",1,0,1,1,0
2000072,"Krämerklingel",3,"Krämerklingeln",1,0,1,1,0
2000073,"Marktbrett",4,"Marktbretter",2,0,1,2,0
2000074,"",0,"",0,0,0,0,0
2000075,"Zielort",4,"Zielorte",2,0,1,0,0
2000076,"Zielort",4,"Zielorte",2,0,1,0,0
2000077,"Zielort",4,"Zielorte",2,0,1,0,0
2000078,"Zielort",4,"Zielorte",2,0,1,0,0
2000079,"",0,"",0,0,0,0,0
2000080,"",0,"",0,0,0,0,0
2000081,"",0,"",0,0,0,0,0
2000082,"",0,"",0,0,0,0,0
2000083,"",0,"",0,0,0,0,0
2000084,"",0,"",0,0,0,0,0
2000085,"",0,"",0,0,0,0,0
2000086,"",0,"",0,0,0,0,0
2000087,"Ausgang",4,"Ausgänge",2,0,1,0,0
2000088,"gemacht[a] Bett",4,"gemacht[a] Betten",1,0,1,2,0
2000089,"zertrampelt[a] Pfad",4,"zertrampelt[a] Pfade",2,0,1,0,0
2000090,"",0,"",0,0,0,0,0
2000091,"",0,"",0,0,0,0,0
2000092,"",0,"",0,0,0,0,0
2000093,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
2000094,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
2000095,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
2000096,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
2000097,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
2000098,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
2000099,"verwaschen[a] Notiz",3,"verwaschen[a] Notizen",1,0,1,1,0
