key,0
#,Text
offset,0
Int32,String
0,""
1,"Tataru"
2,"Tataru Taru"
3,"Bund der Morgenröte<hex:02100103>Schatzmeisterin"
4,"Die Lalafell Tataru ist eine vielseitige und talentierte Organisatorin, die ohne viel Aufhebens aber dafür mit umso mehr Charme den Bund der Morgenröte am Laufen hält. Darüber hinaus verfügt Tataru über ein gutes Händchen in Sachen Finanzen und gebietet daher als offizielle Schatzmeisterin über die Gilschatulle des Bundes.<hex:02100103><hex:02100103>Tataru wurde zwar in eine wohlhabende Händlerfamilie in Ul'dah geboren, musste aber in jungen Jahren deren finanziellen Ruin miterleben. Sie lernte daher früh, welche Last ein Leben ohne Gil bedeutet, und so begab sie sich bereits im Alter von zwölf Jahren in die Lehre bei einem Juwelier, um mit ihrem mageren Verdienst den Unterhalt ihrer Familie zu sichern. Dort lernte sie auch Minfilia kennen, die für gewöhnlich die rohen Edelsteine bei dem Juwelier veräußerte, welche sie bei der Prospektion von Erzadern entdeckte. So kam es schließlich, dass Tataru als Schatzmeisterin beim Pfad der Zwölf, der Vorgängerorganisation des Bundes, angeheuert wurde.<hex:02100103><hex:02100103>Tataru war es wichtig, nicht für den Profit zu arbeiten, sondern ihre Talente für das Gemeinwohl einzusetzen. So diente sie als Rezeptionistin im Sonnenwind und nutzte ihre Erfahrung und ihr Ver<hex:02160103>hand<hex:02160103>lungs<hex:02160103>ge<hex:02160103>schick, um neue Mitglieder für die Organisation zu rekrutieren. Sie hatte somit maßgeblich Anteil daran, jene zu finden, die über die seltene Gabe der Kraft des Transzendierens verfügen.<hex:02100103><hex:02100103>Nach der Siebten Katastrophe schloss sich der Pfad der Zwölf mit Louisoix Leveilleurs Exegeten zusammen und der Bund der Morgenröte war geboren. Tataru fungierte nun in der neuen Gruppierung als Schatzmeisterin und Rezeptionistin zugleich.<hex:02100103>Als der Bund der Morgenröte im Zuge der politischen Unruhen in Ul'dah zu zerfallen drohte, begab sich Tataru gemeinsam mit Alphinaud und <hex:020835E905FF19>der Kriegerin des Lichts<hex:FF17>dem Krieger des Lichts<hex:03> nach Ishgard, um die angeschlagene Organisation wieder<hex:02160103>auf<hex:02160103>zu<hex:02160103>bauen. Sie leistete zudem einen großen Beitrag für den Widerstand gegen das Garleische Kaiserreich im Fernen Osten und half dabei, eine wichtige Kooperation mit der Ostaldenard-Handelsgesellschaft in Kugane aufzubauen.<hex:02100103><hex:02100103>Tataru war sich lange nur allzu bewusst, dass sie den anderen Mitgliedern des Bundes im Kampf nicht zur Seite stehen konnte, und so versuchte sie sich als Hermetikerin<hex:021D0103>- eine Kunst, die ihr als Mathematikerin noch am ehesten liegen sollte, so ihr Kalkül. Doch schon bald entfloh ihr selbst beschworenes Karfunkel, und so stellte sich schnell heraus, dass auch dies nicht ihre wahre Berufung war. Anstatt sich entmutigen zu lassen, entschloss sie sich, ihr Talent auf andere Gebiete zu erweitern, sei es der Bergbau, die Kunst der Weber oder allerlei andere Handwerke. Sie wurde schon bald so gut, dass sie damit begann, die Mitglieder des Bundes mit handgefertigter Ausrüstung zu versorgen. Für ihr neuestes Projekt eröffnete sie in Alt-Sharlayan „Tatarus Wohlstandsmanufaktur“, ein Geschäft, das exquisite Ausrüstung feilbietet. <hex:02100103><hex:02100103>Tataru ist ein unscheinbares Genie mit einer schier endlosen Zahl an Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten und zweifelsohne das Rückgrat des Bundes der Morgenröte."
5,"Der Bund der Morgenröte"
6,"Der Bund der Morgenröte"
7,"Ein ursprünglich geheimer Bund, der nach der Siebten Katastrophe aus einem Zusammenschluss von Louisoix Leveilleurs Exegeten und Minfilia Wardes Pfad der Zwölf entstanden war. <hex:02100103><hex:02100103>Die Ziele des Bundes der Morgenröte waren vielfältiger Natur: Der Kampf gegen die erstarkenden Primae, Widerstand gegen die Tyrannei des Garleischen Kaiserreichs und der Kampf gegen die Ascians, die aus dem Schatten der Geschichte heraus das Schicksal Eorzeas zu beeinflussen suchten. Dabei stand auch immer im Mittelpunkt, Frieden und Eintracht zwischen den Völkern Eorzeas zu fördern. <hex:02100103>Eine wichtige Strategie der Organisation und wesentlicher Kern ihrer Schlagkraft war die gezielte Aufnahme von Heldinnen und Helden, die über die Kraft des Transzendierens verfügen, darunter auch <hex:020835E905FF19>die Kriegerin des Lichts<hex:FF17>der Krieger des Lichts<hex:03>. <hex:02100103><hex:02100103>Der Bund spielte eine zentrale Rolle bei der Unschädlichmachung der Primae Eorzeas und bekämpfte erfolgreich die XIV. Legion des Garleischen Kaiserreiches. Mit fortschreitendem Erfolg legte der Bund den Mantel des Geheimen ab und versuchte sich im Aufbau einer noch größeren, umfassenderen Organisation, den „Kristallstreitern“. Im Zuge des Putschversuches in Ul'dah und dem damit verbundenen Anschlag auf die Sultana Nanamo entpuppten sich einige der neuen Mitglieder der Kristallstreiter als kriminelle Kollaborateure. Die Organisation konnte zwar später ihren Namen reinwaschen, der Vorfall besiegelte aber dennoch ihren Zerfall. Der Bund selbst existierte weiter und hatte später großen Anteil an der Befreiung Ala Mhigos und Domas vom Joch des Kaiserreiches.<hex:02100103><hex:02100103>Auf dem Höhepunkt seines Wirkens war der Bund der Morgenröte maßgeblich an der Verhinderung der Apokalypse und der Errettung des gesamten Gestirns beteiligt, und vermochte die Auslöschung aller Existenz durch die Endsängerin zu vereiteln. Nach Erreichen all seiner hehren Ziele verkündete der Bund offiziell seine Auflösung, wirkt nun aber wieder<hex:021D0103>- wie in seinen Anfängen<hex:021D0103>- im Verborgenen."
8,"Die Letzten Tage"
9,"Die Letzten Tage"
