key,0,1,2,3,4
#,Background,Frame,Decoration,SortKey,Name
offset,4,6,8,10,0
Int32,UInt16,UInt16,UInt16,UInt16,String
0,0,0,0,0,"Benutzerdefiniert"
1,1,1,1,2,"Einfach"
2,2,3,1,3,"Modern"
3,10,10,1,4,"Klassisches Portrait"
4,7,10,1,5,"Eindrucksvolles Portrait"
5,3,11,8,6,"Prachtvoll"
6,8,1,1,1,"Äther"
7,7,7,1,7,"Archiv"
8,4,9,5,8,"Verteidiger"
9,6,9,7,9,"Heiler"
10,5,9,6,10,"Angreifer"
11,52,12,12,2050,"Paladin (normal)"
12,53,13,13,2051,"Krieger (normal)"
13,54,14,14,2052,"Dunkelritter (normal)"
14,55,15,15,2053,"Revolverklinge (normal)"
15,56,16,16,2054,"Weißmagier (normal)"
16,57,17,17,2055,"Gelehrter (normal)"
17,58,18,18,2056,"Astrologe (normal)"
18,59,19,19,2057,"Weiser (normal)"
19,60,20,20,2058,"Mönch (normal)"
20,61,21,21,2059,"Dragoon (normal)"
21,62,22,22,2060,"Ninja (normal)"
22,63,23,23,2061,"Samurai (normal)"
23,64,24,24,2062,"Schnitter (normal)"
24,65,25,25,2065,"Barde (normal)"
25,66,26,26,2066,"Maschinist (normal)"
26,67,27,27,2067,"Tänzer (normal)"
27,68,28,28,2068,"Schwarzmagier (normal)"
28,69,29,29,2069,"Beschwörer (normal)"
29,70,30,30,2070,"Rotmagier (normal)"
30,11,12,12,2150,"Paladin (dynamisch)"
31,12,13,13,2151,"Krieger (dynamisch)"
32,13,14,14,2152,"Dunkelritter (dynamisch)"
33,14,15,15,2153,"Revolverklinge (dynamisch)"
34,15,16,16,2154,"Weißmagier (dynamisch)"
35,16,17,17,2155,"Gelehrter (dynamisch)"
36,17,18,18,2156,"Astrologe (dynamisch)"
37,18,19,19,2157,"Weiser (dynamisch)"
38,19,20,20,2158,"Mönch (dynamisch)"
39,20,21,21,2159,"Dragoon (dynamisch)"
40,21,22,22,2160,"Ninja (dynamisch)"
41,22,23,23,2161,"Samurai (dynamisch)"
42,23,24,24,2162,"Schnitter (dynamisch)"
43,24,25,25,2165,"Barde (dynamisch)"
44,25,26,26,2166,"Maschinist (dynamisch)"
