key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
#,Item1,Item2,PlaceName,,Objective1,PopRange0,RequiredAmount1,,,Objective2,PopRange1,RequiredAmount2,,,Objective3,PopRange2,,,,,Image,,,,,
offset,20,24,60,62,64,28,70,40,73,66,32,71,44,74,68,36,72,48,75,52,56,0,4,8,12,16
Int32,UInt32,UInt32,UInt16,UInt16,UInt16,UInt32,UInt8,UInt32,UInt8,UInt16,UInt32,UInt8,UInt32,UInt8,UInt16,UInt32,UInt8,UInt32,UInt8,UInt32,UInt32,String,String,String,String,String
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
5,0,0,0,0,10,0,0,0,0,11,0,0,0,0,12,0,0,0,0,6710323,111102,"Expedition Baumhörnchen","Das Auftauchen des Fehlenden Juwels verursachte gewaltige Umwälzungen des ätherischen Elementargleichgewichts, welche das Gelände des gesamten Diadems veränderte. Das Haus Haillenarte bittet interessierte Aben<hex:02160103>teurer<hex:02160103>gruppen, bei der Neuevaluierung und Kartografierung der vorhandenen Rohstoffe zu assistieren. Nehmt dazu nach eigenem Ermessen Proben der hiesigen Gesteins-, Pflanzen- und Fischvorkommen. Die Proben selbst dürfen die Sammler als Teil ihrer Belohnung behalten.<hex:02100103><hex:02100103>※ Fülle den Bewertungsbalken durch das Abschließen von Sammel-FATEs und anderen Aktionen!","Hier Kontrollzentrale Haillenarte. Die Expedition zur Probengewinnung wurde erfolgreich abgeschlossen. Ich wiederhole: Expedition abgeschlossen.","Das Haus dankt der Besatzung des Luftschiffs für die geleisteten Dienste. Kehrt zur <hex:021A020203>Bounty<hex:021A020103> zurück, um eure Belohnung in Empfang zu nehmen.","Es steht euch frei, eure Expedition des gesamten Diadems auf eigene Faust fortzusetzen. Benutzt die Ätherfissuren und das Portal, wie es euch beliebt. Viel Erfolg!"
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"","","","",""
