key,0,1,2,3,4,5,6,7,8,9,10,11
#,Spot[0],Time[0],Spot[1],Time[1],Spot[2],Time[2],Image,,,Instance,,Name
offset,4,36,8,37,12,38,16,20,24,28,32,0
Int32,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,String
0,0,0,0,0,0,0,0,0,0,0,0,""
1,2,1,1,2,3,3,63172,0,0,721,0,"Nördliche Straße von Merlthor"
2,2,2,1,3,3,1,63172,0,0,730,0,"Nördliche Straße von Merlthor"
3,2,3,1,1,3,2,63172,0,0,731,0,"Nördliche Straße von Merlthor"
4,1,1,2,2,4,3,63171,0,0,732,0,"Rhotano-See"
5,1,2,2,3,4,1,63171,0,0,733,0,"Rhotano-See"
6,1,3,2,1,4,2,63171,0,0,734,0,"Rhotano-See"
7,5,1,3,2,6,3,63173,0,0,770,0,"Schwerblütiges Meer"
8,5,2,3,3,6,1,63173,0,0,771,0,"Schwerblütiges Meer"
9,5,3,3,1,6,2,63173,0,0,772,0,"Schwerblütiges Meer"
10,5,1,4,2,7,3,63174,0,0,773,0,"Rothlyt-Meerbusen"
11,5,2,4,3,7,1,63174,0,0,774,0,"Rothlyt-Meerbusen"
12,5,3,4,1,7,2,63174,0,0,775,0,"Rothlyt-Meerbusen"
13,8,1,9,2,11,3,63175,63176,11,952,68089,"Einzig"
14,8,2,9,3,11,1,63175,63176,11,953,68089,"Einzig"
15,8,3,9,1,11,2,63175,63176,11,954,68089,"Einzig"
16,8,1,9,2,10,3,63177,63178,11,955,68089,"Rubinsee"
17,8,2,9,3,10,1,63177,63178,11,956,68089,"Rubinsee"
18,8,3,9,1,10,2,63177,63178,11,957,68089,"Rubinsee"
19,12,1,8,2,13,3,63179,0,0,1098,70000,"Thavnair"
20,12,2,8,3,13,1,63179,0,0,1099,70000,"Thavnair"
21,12,3,8,1,13,2,63179,0,0,1100,70000,"Thavnair"
