key,0
#,Text
offset,0
Int32,String
0,""
1,"■Qualifikation■<hex:02100103>Weiche den Hinder-<hex:02100103>nissen aus und erreiche das Ziel!<hex:02100103><hex:02100103>■Rundenende■<hex:02100103>Sobald sich genügend Spieler qualifiziert haben."
2,"■Qualifikation■<hex:02100103>Weiche den Hinder-<hex:02100103>nissen aus und erreiche das Ziel!<hex:02100103><hex:02100103>■Rundenende■<hex:02100103>Sobald sich genügend Spieler qualifiziert haben."
3,"■Qualifikation■<hex:02100103>Weiche Typhons Wirbelnieser aus,<hex:02100103>ohne zu fallen!<hex:02100103><hex:02100103>■Rundenende■<hex:02100103>Sobald sich genügend Spieler qualifiziert haben."
4,"■Qualifikation■<hex:02100103>Transportiere drei Kristalle zum angegebenen Ort!<hex:02100103><hex:02100103>■Rundenende■<hex:02100103>Sobald sich genügend Spieler qualifiziert haben."
5,"■Siegbedingung■<hex:02100103>Erreiche als Erster die Krone an der Spitze!<hex:02100103><hex:02100103>■Rundenende■<hex:02100103>Sobald der erste Spieler das Ziel erreicht."
6,"Weiche den Hindernissen aus<hex:02100103>und erreiche das Ziel!"
7,"Weiche den Hindernissen aus<hex:02100103>und erreiche das Ziel!"
8,"Weiche Typhons Wirbelnieser<hex:02100103>aus, ohne zu fallen!"
9,"Transportiere drei Kristalle<hex:02100103>zum angegebenen Ort!"
10,"Erreiche als Erster die Krone an der Spitze!"
11,"Erreiche die Ziellinie!"
12,"Erreiche die Ziellinie!"
13,"Falle nicht runter!"
14,"Transportiere die Kristalle!"
15,"Hol dir die Krone!"
16,"Warte auf Spieler"
17,"Qualifiziert"
18,"Ausgeschieden"
19,""
20,""
21,""
22,""
23,""
24,""
25,""
26,""
27,""
28,""
29,""
30,""
