key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,,Name,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset,164,0,4,8,12,16,20,24,28,32,36,60,204,200,64,68,72,168,76,80,172,202,176,180,184,188,84,88,92,96,100,104,108,192,196,112,40,44,48,52,56,116,120,124,128,132,136,140,144,148,152,156,160
Int32,Int32,String,String,String,String,String,String,String,String,String,String,UInt32,UInt8,UInt16,UInt32,UInt32,UInt32,Int32,UInt32,UInt32,Int32,UInt16,Int32,Int32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"Befehl: Korrumpierte Riesenkristalle zersplittern","Ein temporärer Fehler in der Ökokontrolle des Zentralkristalls hat zu Riesenkristallaufkommen in der Nähe der Schreienden Krümel geführt. Erkorene Projektmitglieder haben sich um die rasche Zersplitterung der Kristalle und das Auflesen als Rohstoff zu kümmern.","Nutze die Funktionen deines Sternenläufers, um die Riesenkristalle zu zersplittern.","","","Zersplittere mithilfe des Kosmobohrers korrumpierte Kristalle und bringe die Splitter zum Feldsucher zur Analyse.","","","Einsatzbefehl „Korrumpierte Riesenkristalle zersplittern“ ausgerufen.<hex:02100103>An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.<hex:02100103>Bodenunterstützung bitte unverzüglich zum Einsatzort.",368,5,0,11502159,10921203,11482845,60493,10921201,11482848,60492,600,20172,20171,60809,63889,11759496,6,7,8,0,7,8,1420,1422,1,4259842,4259843,4259844,4259845,4259846,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300
2,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"Befehl: Schädliche Fungi terminieren","In der Nähe der Pilzstube konnte ein gewaltiges Aufkommen sporenausstoßender Chlorophos-Fungi gesichtet werden. Erkorene Projektmitglieder haben sich unverzüglich um die rasche Eliminierung der Fungi zu kümmern.","Nutze die Funktionen deines Sternenebners, um die Chlorophos-Fungi zu eliminieren.","","","Verbrenne mithilfe des Kosmobrenners die kleinen Fungi und bring ihre Asche zum Feldsucher zur Analyse.","","","Einsatzbefehl „Schädliche Fungi terminieren“ ausgerufen.<hex:02100103>An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.<hex:02100103>Bodenunterstützung bitte unverzüglich zum Einsatzort.",378,5,0,11508987,11170532,11508985,60493,11170531,11508986,60492,600,20173,20171,60809,63889,11759498,9,10,11,0,7,8,1420,1422,5,4259862,4259863,4259864,4259865,4259866,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305
6,3,"Befehl: Phaennit abbauen","Im Boden der Glassteinküste wurden Ablagerungen von „Phaennit“ entdeckt. Dieses abgekühlte Vulkanglas ist für uns äußerst wünschenswert, weshalb wir es mithilfe der Sternenläufer bergen werden. Die dafür benötigte Energie lässt sich zu bestimmten Zeiten aus der Umgebung einsaugen.","Verwende den Schleppstrahl, um Phaennit aus den Treibsandgruben zu bergen.<hex:02100103>Es werden 10 Ladungen Ionenenergie benötigt, um den Schleppstrahl einzusetzen.","","","Nutze den Kosmobohrer, um Phaennit freizulegen, und bringe das gesammelte Glas zu einem Feldsucher.","","","Einsatzbefehl „Phaennit abbauen“ ausgerufen.<hex:02100103>An alle Piloten: Einsteigeerlaubnis via Exotablet beantragen.","Mecha-Einsatz beginnt in Kürze.<hex:02100103>Bodenunterstützung bitte unverzüglich zum Einsatzort.",404,5,0,11925434,11841658,11925435,60493,11841657,11925436,60492,600,20173,20171,60809,63889,11911477,12,13,14,0,7,8,1420,1422,6,4259924,4259925,4259926,4259927,4259928,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343
