key,0,1,2,3,4,5,6,7,8,9
#,Masculine,Feminine,Hp,Mp,STR,VIT,DEX,INT,MND,PIE
offset,0,4,8,9,10,11,12,13,14,15
Int32,String,String,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8
0,"","",0,0,0,0,0,0,0,0
1,"Wiesländer","Wiesländer",0,0,2,0,-1,3,-1,0
2,"Hochländer","Hochländer",0,0,3,2,0,-2,0,0
3,"Erlschatten","Erlschatten",0,0,0,-1,3,2,-1,0
4,"Dunkelalb","Dunkelalb",0,0,0,-1,0,3,1,0
5,"Halmling","Halmling",0,0,-1,-1,3,2,0,0
6,"Sandling","Sandling",0,0,-1,-2,1,2,3,0
7,"Goldtatze","Goldtatze",0,0,2,0,3,-1,-1,0
8,"Mondstreuner","Mondstreuner",0,0,-1,-2,2,1,3,0
9,"Seewolf","Seewolf",0,0,2,3,-1,-2,1,0
10,"Lohengarde","Lohengarde",0,0,0,3,-2,0,2,0
11,"Raen","Raen",0,0,-1,-1,2,0,3,0
12,"Xaela","Xaela",0,0,3,2,0,0,-2,0
13,"Helion","Helion",0,0,3,3,-3,-3,3,0
14,"Losgesagter","Losgesagte",0,0,3,3,-3,-3,3,0
15,"Rava","Rava",0,0,0,-2,3,1,1,0
16,"Veena","Veena",0,0,-1,-1,0,3,2,0
