key,0,1,2,3,4,5,6
#,,,,,,,
offset,8,12,16,20,24,0,4
Int32,Int32,Int32,Int32,Int32,Int32,String,String
0,0,0,0,0,0,"無効","無効"
1,100,200,300,400,500,"Segen","Eine unbeschreiblich große Menge Glück erwartet dich!"
2,1100,1200,1300,1400,1500,"Großes Glück","Eine beachtliche Menge Glück erwartet dich!"
3,2100,2200,2300,2400,2500,"Glück","Eine durchschnittliche Menge Glück erwartet dich."
4,3100,3200,3300,3400,3500,"Kleines Glück","Eine kleine, aber nicht zu verachtende Menge Glück erwartet dich."
5,4100,4200,4300,4400,4500,"Unglück","Unglück und Gegenwind erwarten dich."
6,5100,5200,5300,5400,5500,"Großes Unglück","Eine große Menge Unglück und Schwierigkeiten erwarten dich ..."
