key,0,1
#,Item,Name
offset,4,0
Int32,Int32,String
0,0,""
1,7778,"Der Meister-Zimmerer I"
2,7779,"Der Meister-Grobschmied I"
3,7780,"Der Meister-Plattner I"
4,7781,"Der Meister-Goldschmied I"
5,7782,"Der Meister-Gerber I"
6,7783,"Der Meister-Weber I"
7,7784,"Der Meister-Alchemist I"
8,7785,"Der Meister-Gourmet I"
9,7786,"Der Meister-Zimmerer: Projektionen"
10,7787,"Der Meister-Grobschmied: Projektionen"
11,7788,"Der Meister-Plattner: Projektionen"
12,7789,"Der Meister-Goldschmied: Projektionen"
13,7790,"Der Meister-Gerber: Projektionen"
14,7791,"Der Meister-Weber: Projektionen"
15,7792,"Der Meister-Alchemist: Projektionen"
16,7793,"Der Meister-Gourmet: Projektionen"
17,8135,"Der Meister-Zimmerer: Demimateria"
18,8136,"Der Meister-Grobschmied: Demimateria"
19,8137,"Der Meister-Plattner: Demimateria"
20,8138,"Der Meister-Goldschmied: Demimateria"
21,8139,"Der Meister-Gerber: Demimateria"
22,8140,"Der Meister-Weber: Demimateria"
23,8141,"Der Meister-Alchemist: Demimateria"
24,9336,"Der Meister-Zimmerer II"
25,9337,"Der Meister-Grobschmied II"
26,9338,"Der Meister-Plattner II"
27,9339,"Der Meister-Goldschmied II"
28,9340,"Der Meister-Gerber II"
29,9341,"Der Meister-Weber II"
30,9342,"Der Meister-Alchemist II"
31,9343,"Der Meister-Gourmet II"
32,12244,"Der Meister-Zimmerer III"
33,12245,"Der Meister-Grobschmied III"
34,12246,"Der Meister-Plattner III"
35,12247,"Der Meister-Goldschmied III"
36,12248,"Der Meister-Gerber III"
37,12249,"Der Meister-Weber III"
38,12250,"Der Meister-Alchemist III"
39,12251,"Der Meister-Gourmet III"
40,14126,"Der Meister-Zimmerer IV"
41,14127,"Der Meister-Grobschmied IV"
42,14128,"Der Meister-Plattner IV"
43,14129,"Der Meister-Goldschmied IV"
44,14130,"Der Meister-Gerber IV"
45,14131,"Der Meister-Weber IV"
46,14132,"Der Meister-Alchemist IV"
47,14133,"Der Meister-Gourmet IV"
48,17869,"Der Meister-Zimmerer V"
49,17870,"Der Meister-Grobschmied V"
50,17871,"Der Meister-Plattner V"
51,17872,"Der Meister-Goldschmied V"
52,17873,"Der Meister-Gerber V"
53,17874,"Der Meister-Weber V"
54,17875,"Der Meister-Alchemist V"
55,17876,"Der Meister-Gourmet V"
56,22309,"Der Meister-Zimmerer VI"
57,22310,"Der Meister-Grobschmied VI"
58,22311,"Der Meister-Plattner VI"
59,22312,"Der Meister-Goldschmied VI"
60,22313,"Der Meister-Gerber VI"
61,22314,"Der Meister-Weber VI"
62,22315,"Der Meister-Alchemist VI"
63,22316,"Der Meister-Gourmet VI"
64,24266,"Der Meister-Zimmerer VII"
65,24267,"Der Meister-Grobschmied VII"
66,24268,"Der Meister-Plattner VII"
67,24269,"Der Meister-Goldschmied VII"
68,24270,"Der Meister-Gerber VII"
69,24271,"Der Meister-Weber VII"
70,24272,"Der Meister-Alchemist VII"
71,24273,"Der Meister-Gourmet VII"
72,29484,"Der Meister-Zimmerer VIII"
73,29485,"Der Meister-Grobschmied VIII"
74,29486,"Der Meister-Plattner VIII"
75,29487,"Der Meister-Goldschmied VIII"
76,29488,"Der Meister-Gerber VIII"
77,29489,"Der Meister-Weber VIII"
78,29490,"Der Meister-Alchemist VIII"
79,29491,"Der Meister-Gourmet VIII"
80,35618,"Der Meister-Zimmerer IX"
81,35619,"Der Meister-Grobschmied IX"
82,35620,"Der Meister-Plattner IX"
83,35621,"Der Meister-Goldschmied IX"
84,35622,"Der Meister-Gerber IX"
85,35623,"Der Meister-Weber IX"
86,35624,"Der Meister-Alchemist IX"
87,35625,"Der Meister-Gourmet IX"
88,37734,"Der Meister-Zimmerer X"
89,37735,"Der Meister-Grobschmied X"
90,37736,"Der Meister-Plattner X"
91,37737,"Der Meister-Goldschmied X"
92,37738,"Der Meister-Gerber X"
93,37739,"Der Meister-Weber X"
94,37740,"Der Meister-Alchemist X"
95,37741,"Der Meister-Gourmet X"
96,44123,"Der Meister-Zimmerer XI"
97,44124,"Der Meister-Grobschmied XI"
98,44125,"Der Meister-Plattner XI"
99,44126,"Der Meister-Goldschmied XI"
100,44127,"Der Meister-Gerber XI"
101,44128,"Der Meister-Weber XI"
102,44129,"Der Meister-Alchemist XI"
103,44130,"Der Meister-Gourmet XI"
104,46314,"Der Meister-Zimmerer XII"
105,46315,"Der Meister-Grobschmied XII"
106,46316,"Der Meister-Plattner XII"
107,46317,"Der Meister-Goldschmied XII"
108,46318,"Der Meister-Gerber XII"
109,46319,"Der Meister-Weber XII"
110,46320,"Der Meister-Alchemist XII"
111,46321,"Der Meister-Gourmet XII"
