key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,,MinLevel,BeastRankBonus,IconReputation,Icon,MaxRank,Expansion,IntersocietalQuest,Level,CurrencyItem,DisplayOrder,Name,Adjective,Plural,PossessivePronoun,StartsWithVowel,Pronoun,Article,DEF,NameRelation
offset,45,40,41,20,24,42,43,28,32,36,44,0,12,4,13,14,15,16,17,8
Int32,PackedBool0,UInt8,UInt8,UInt32,UInt32,UInt8,UInt8,UInt32,UInt32,UInt32,UInt8,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String
0,False,0,0,0,0,0,0,0,0,0,0,"",0,"",0,0,0,0,0,""
1,True,0,0,61901,65016,4,0,0,4496854,21076,1,"Amalj'aa",3,"Amalj'aa",1,0,1,0,0,"Verbundenheit zu den Amalj'aa"
2,True,0,0,61902,65017,4,0,0,4494851,21075,2,"Sylphe",3,"Sylphen",1,0,1,1,0,"Verbundenheit zu den Sylphen"
3,True,0,0,61904,65019,4,0,0,4618734,21078,3,"Kobold",4,"Kobolde",2,0,1,0,0,"Verbundenheit zu den Kobolden"
4,True,0,0,61905,65020,4,0,0,4618738,21077,4,"Sahagin",3,"Sahagin",1,0,1,0,0,"Verbundenheit zu den Sahagin"
5,False,50,0,61903,65018,7,0,0,4889077,21073,5,"Ixal",3,"Ixal",1,0,1,0,0,"Verbundenheit zu den Ixal"
6,False,0,1,61906,65036,8,1,67921,6085422,21074,1,"Vanu Vanu",3,"Vanu Vanu",1,0,1,0,0,"Verbundenheit zu den Vanu Vanu"
7,False,0,1,61907,65037,8,1,67921,6209461,21079,2,"Gnath",3,"Gnath",1,0,1,0,0,"Verbundenheit zu den Gnath"
8,False,60,2,61908,65039,8,1,67921,6254017,21080,3,"Mogry",4,"Mogrys",1,0,1,0,0,"Verbundenheit zu den Mogrys"
9,False,0,3,61910,65048,8,2,68700,7091589,21081,1,"Kojin",3,"Kojin",1,0,1,0,0,"Verbundenheit zu den Kojin"
10,False,0,3,61909,65047,8,2,68700,7186922,21935,2,"Ananta",3,"Ananta",1,0,1,1,0,"Verbundenheit zu den Ananta"
11,False,70,4,61911,65063,8,2,68700,7380346,22525,3,"Namazuo",3,"Namazuo",1,0,1,0,0,"Verbundenheit zu den Namazuo"
12,False,0,5,61912,65072,8,3,0,8141642,28186,1,"Pixie",3,"Pixies",1,0,1,1,0,"Verbundenheit zu den Pixies"
13,False,80,6,61913,65076,8,3,0,8261555,28187,2,"Qitari",3,"Qitari",1,0,1,0,0,"Verbundenheit zu den Qitari"
14,False,80,7,61914,65079,8,3,0,8368176,28188,3,"Zwerg",4,"Zwerge",2,0,1,0,0,"Verbundenheit zu den Zwergen"
15,False,0,8,61915,65092,8,4,70324,9160152,36657,1,"Arkasodara",3,"Arkasodara",1,0,1,0,0,"Verbundenheit zu den Arkasodara"
16,False,90,9,61916,65093,8,4,70324,9308276,37854,2,"Omikron",4,"Omikron",1,0,1,0,0,"Verbundenheit zu den Omikron"
17,False,90,10,61917,65101,8,4,70324,9527714,38952,3,"Loporrit",3,"Loporrit",1,0,1,0,0,"Verbundenheit zu den Loporrit"
18,False,0,11,61918,65113,8,5,0,10958050,44472,3,"Pelupelu",3,"Pelupelu",1,0,1,0,0,"Verbundenheit zu den Pelupelu"
19,False,100,12,61919,65115,8,5,0,11400860,48084,2,"Mamool Ja",3,"Mamool Ja",1,0,1,1,0,"Verbundenheit zu den Mamool Ja"
20,False,100,13,61990,65131,8,5,0,11859412,46178,1,"Yok Huy",3,"Yok Huy",1,0,1,1,0,"Verbundenheit zu den Yok Huy"
