key,0,1,2
#,,Name,
offset,8,0,4
Int32,UInt32,String,String
0,0,"",""
1,0,"",""
2,5,"INFO","- Archive"
3,6,"NEUES SPIEL+",""
4,13,"VERSCHOLLENE KOMMANDOS",""
5,21,"PORTRAITS",""
6,22,"ABENTEURERPASS",""
7,23,"INSELPARADIES",""
8,24,"INSELATELIER-LEITFADEN",""
9,25,"TIEFES GEWÖLBE",""
10,26,"TIEFES GEWÖLBE",""
11,27,"TIEFES GEWÖLBE",""
12,28,"MODEACCESSOIRES",""
13,29,"AUSRÜSTUNGSSETS",""
14,19,"PvP",""
15,3,"STAHLSCHWINGEN",""
16,7,"PvP-FRONT",""
17,20,"CRYSTALLINE CONFLICT",""
18,30,"MOG MOG-KOLLEKTION",""
19,32,"MODEFUNKTIONEN",""
20,33,"KAMPF",""
21,2,"DOMANISCHES MAHJONG",""
22,37,"TIEFES GEWÖLBE",""
23,35,"KRESZENTIA",""
24,36,"KOSMO-ERKUNDUNG",""
25,38,"STRATEGIEBRETTER",""
26,40,"EORZEA INCOGNITA",""
27,41,"WUNSCHLIEFERUNGEN",""
28,0,"",""
