key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,EventType,EnemyType,MaxParticipants,Duration,,LGBEventObject,LGBMapRange,Quest,,SingleBattle,Announce,Name,Description,,,,IconObjective0,IconObjective1,
offset,38,39,40,41,45,8,12,16,42,43,20,0,4,32,34,36,24,28,44
Int32,UInt8,UInt8,UInt8,UInt8,PackedBool0,UInt32,UInt32,UInt32,UInt8,UInt8,UInt32,String,String,Int16,Int16,Int16,UInt32,UInt32,UInt8
0,0,0,0,0,True,0,0,0,0,0,0,"","",0,0,0,0,0,0
1,1,4,48,20,True,8373717,8511877,69477,0,0,0,"Peeriefool, das faule Gemüse","Die schillernde Clarricie vom Bestientrupp hat faulendes Gemüse auf dem Schlachtfeld ausgesetzt. Räume den Unrat weg.",0,0,0,0,0,0
2,1,2,48,20,True,8374110,8511881,69477,0,0,0,"Die drei Mäuler des Canis dirus","Um Chaos in den Kampfreihen zu stiften, hat das Spezialbataillon einen dreiköpfigen Hund losgelassen. Besiege den Kläffer.",0,0,0,0,0,0
3,1,1,48,20,True,8367113,8511882,69477,0,0,0,"Vigil, Feuerkraft hoch zehn","Magitek-Soldat Dabog steuert ein neues Modell des Wachskorpions aufs Schlachtfeld. Schicke es unverzüglich zurück.",0,0,0,0,0,0
4,2,3,1,20,True,8367033,8511886,69477,0,1,0,"Gabriel, die stählerne Schwinge","Magitek-Soldat Dabog steuert eine neuartige Flugmaschine aufs Schlachtfeld. Bringe sie zu Fall.",0,0,0,0,0,0
5,1,4,48,20,True,8342248,8511887,69477,0,0,0,"Akbaba, Tod von oben","Abgerichtete Flugungeheuer reißen tiefe Lücken in die Reihen des Widerstands. Besiege das schrecklichste von ihnen: Akbaba.",0,0,0,0,0,0
6,1,5,48,20,True,8367316,8511891,69481,0,0,0,"Spartoi der Gefürchtete","Llofii, Elitesoldatin und Überläuferin, hat ihr Monozeros aus den Laboren der Garlear gerettet. Besiege den gefürchteten Geist Spartoi, der sich ihnen in den Weg stellt.",0,0,0,0,0,0
7,1,4,48,20,True,8374867,8511892,69481,0,0,0,"Der Rote Meteor und seine Meute","Eine Meute roter Chocobos macht sich an der Front breit. Besiege das Leittier, den Roten Meteor.",0,0,0,0,0,0
8,2,3,1,20,True,8374963,8511893,69481,0,2,0,"Lyon der Bestienkönig","Lyon, Anführer des Bestientrupps, fordert dich zum Duell heraus.",0,0,0,0,0,0
9,3,2,24,20,True,8375462,8511895,69481,0,0,0,"Die Flammenden Hundert","Die Flammenden Hundert stürmen über das Schlachtfeld und haben Pyroboli dabei! Besiege die Einheit und halte den Ansturm auf.",0,0,0,0,0,0
10,1,1,48,20,True,8374781,8511898,69481,0,0,0,"Verteidigungsmaschine Patriot","Die mobile Infanterie hat ihre Verteidigung mit einer neuartigen Konstruktion befestigt. Zerstöre die Patriot-Maschine.",0,0,0,0,0,0
11,1,2,24,20,True,8377121,8511901,69484,0,0,0,"Die bösen Blicke der Eale","Die Magier des Spezialbataillons haben eine mysteriöse Kreatur beschworen. Besiege die Eale, doch hüte dich vor ihren Blicken!",0,0,0,0,0,0
12,2,3,1,20,True,8374538,8511905,69484,0,3,0,"Sartauvoir Eisenfeuer","Sartauvoir quo Soranus, hochrangiger Anführer des Spezialbataillons, spielt mit dem Feuer. Fordere ihn zum Duell heraus.",0,0,0,0,0,0
13,1,1,48,20,True,8367337,8511910,69484,0,0,0,"Dáinsleif, Bestie aus Eisen","Magitechnicus Sicinius von der mobilen Infanterie hat einen neuen Prototypen in den Kampf geschickt. Besiege Dáinsleif, die Bestie aus Eisen.",0,0,0,0,0,0
14,1,1,48,20,True,8377886,8511912,69484,0,0,0,"Im Schatten von Modell X","Magitechnicus Sicinius von der mobilen Infanterie hat die Arbeitsmaschine Modell X zu einer riesigen Waffe umfunktioniert. Verwandle sie in Altmetall.",0,0,0,0,0,0
15,1,5,48,20,True,8367328,8511913,69484,0,0,0,"Der untote Chlevnik","Mit einer geheimen Tinktur hat der Bestientrupp ein totes Ungeheuer zum Leben erweckt. Töte den gehörnten Chlevnik ein weiteres Mal!",0,0,0,0,0,0
16,4,6,48,20,True,0,0,69487,1,0,9626,"Sturm auf Castrum Lacus Litore","Die Zeit ist reif: Erobere den Stützpunkt der IV. Legion und verjage die garleischen Besatzer aus Bozja!",0,0,0,0,0,0
17,3,2,48,20,True,8664684,8664761,69620,0,0,0,"Der Geistertrupp","Eine neue Spezialeinheit der IV. Legion ist auf dem Schlachtfeld erschienen! Die Magier des Geistertrupps kontrollieren Zirnitras und müssen schnellstens in ihre Schranken gewiesen werden.",0,0,0,0,0,0
18,1,1,48,20,True,8664685,8664762,69629,0,0,0,"Schwarzbrands Testflug","Gerüchteweise ist dieser Prototyp einer fliegenden Magitek-Maschine ein Nebenprodukt aus der Entwicklungsarbeit zum Höllentaucher. Bereite dem Testflug ein jähes Ende!",0,0,0,0,0,0
19,2,3,1,20,True,8664686,8664763,69620,0,4,0,"Hyper-Dabog, Stärkster unter Stärksten","Der Ehrgeiz der garleischen Ingenieure kennt keine Grenzen. Wieder haben sie den Magitek-Soldaten Dabog einer Überarbeitung unterzogen. Kann die Hypervariante überhaupt besiegt werden?",0,0,0,0,0,0
20,1,8,48,20,True,8664687,8664764,69620,0,0,0,"Shemhazai der Verräter","Die Jünger, eine ketzerische Randgruppe der IV. Legion, haben ihr Leben riskiert und die Macht eines Auracitensplitters entfesselt. Das Ergebnis dieses Frevels darf nicht länger existieren.",0,0,0,0,0,0
21,1,4,48,20,True,8664688,8664765,69620,0,0,0,"Hedetet, Stachel des Karglands","Ein mutiger Bändiger des Bestientrupps hat im Kargland einen außergewöhnlichen Fang gemacht. Mach dem Skorpionweibchen klar, dass es in Zadnor nicht willkommen ist.",0,0,0,0,0,0
22,3,7,48,20,True,8664689,8664766,69628,0,0,0,"Halb Pferd, halb Garlear","Die Magitek-Reiter, automatische Waffen aus den Schmieden der Legionsingenieure, galoppieren über das Schlachtfeld und müssen dringend aufgehalten werden.",0,0,0,0,0,0
23,2,3,1,20,True,8664690,8664767,69628,0,5,0,"Menenius, Tribunus der IV. Legion","Der Kommandant der garleischen Besatzungsmacht schreitet über bozianischen Boden, als sei es sein Geburtsrecht. Zeige ihm, was der Widerstand von seiner Anwesenheit hält!",0,0,0,0,0,0
24,1,2,48,20,True,8664691,8664768,69628,0,0,0,"Hanbi, König im Exil","Unausprechliche Rituale des Spezialbataillons haben einen König aus dem Nichts gerufen, der nur einen Tribut kennt: Blut. Schicke den ungebetenen Gast zurück in seine Dimension. ",0,0,0,0,0,0
25,1,2,48,20,True,8664692,8664769,69628,0,0,0,"Eiswolf Hrodvitnir","Die Beschwörer des Spezialbataillons haben den grimmigen Eiswolf in einer frostigen Nacht gerufen. Bereite ihm ein heißes Abschiedsfest.",0,0,0,0,0,0
