key,0,1,2
#,,,
offset,8,0,4
Int32,PackedBool0,String,String
0,False,"無効","無効"
100,True,"Abenteuer","Reise ohne Sorge, wohin auch immer deine Füße dich tragen mögen."
101,True,"","Bisher unbesuchte Orte seien dein nächstes Ziel."
102,True,"","Öffne deinen Reiseführer, eine Rückkehr an Orte reich an Erinnerungen sei dein Ziel."
103,True,"","Gesegnet seien deine Reisen von einem wolkenfreien Himmel."
104,True,"","Glück wartet in jenen Städten, in welchen reges Treiben herrscht."
105,True,"","Dein Glück ist mit einer Begegnung in einem entfernten Teehaus verbunden."
106,True,"","Sei der Idee nicht abgeneigt, mit denjenigen zu interagieren, die von großer Gestalt sind."
200,True,"Beziehungen","Erfülle die dir auferlegten Erwartungen. Erlange Vertrauen und Ehre gebührend eines Helden."
201,True,"","Richte deinen Blick auf den Ewigen Bund und das Glück soll dir hold sein."
202,True,"","Zeige jenen Dankbarkeit, die dich auf deinen Reisen unterstützen."
203,True,"","Ein sternengeleiteter Partner befindet sich in nächster Nähe."
204,True,"","Glück sei jenen hold, die im Einklang mit ihren Kameraden voranschreiten."
205,True,"","Deine Gefährten stehen unerschütterlich an deiner Seite. Geh ohne Furcht in das große Unbekannte."
206,True,"","Brich Brot mit vielen verschiedenen Völkern, dann wird deine Tafel gedeckt sein mit goldenem Glück."
300,True,"Vermögen","Beute von unschätzbarem Wert sei denen beschert, die sich ihrer Gier entledigen."
301,True,"","Die Sterne stehen günstig für schnellen Reichtum. Der goldene Palast des Vergnügens sei dein Ziel."
302,True,"","Entfalte eine Schatzkarte und begib dich auf die Suche, Glück wartet am Ende der Reise."
303,True,"","Reise nach Herzenslust, doch öffne jegliche Truhen, die du finden mögest."
304,True,"","Gibst du dich dem Handel mit ganzem Herzen hin, so wird dir der Profit sicher sein."
305,True,"","Aus dauerhaften Freund<hex:02160103>schaften erwachsen große Belohnungen."
306,True,"","Ein seltener Preis wird dein sein. Bedanke dich bei deinen Gehilfen."
400,True,"Konflikte","Du wirst im Kampf mit Mächtigen wachsen. Stelle dich Heraus<hex:02160103>forde<hex:02160103>rungen ohne Angst."
401,True,"","Nur stetes Üben kann die wahre Macht deiner Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten offenbaren."
402,True,"","Richte deinen Blick auf deine Mitstreiter, sie werden zu deinem Wachstum beitragen."
403,True,"","Erlerne Künste und Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten einer neuen Zunft. Große Fortschritte stehen dir bevor."
404,True,"","Nur wiederholtes Ausführen von Fä<hex:02160103>hig<hex:02160103>kei<hex:02160103>ten kann deren wahre Macht offenbaren."
405,False,"",""
406,False,"",""
500,True,"Schicksal","Fülle dein Herz mit Kampfgeist gleich Halone, so sei der Sieg in jeglichem Gefecht gewiss."
501,True,"","Fülle dein Herz mit Zuneigung gleich Menphina, so sei auch dir die Zuneigung anderer gewiss."
502,True,"","Entflamme dein Herz in Inbrunst gleich Azeyma, so sei der kürzeste Weg zu deinem Ziel hell erleuchtet."
503,True,"","Fülle deinen Geist mit Ent<hex:02160103>schlos<hex:02160103>sen<hex:02160103>heit gleich Llymlaen, so mögen die Winde deinen Fortschritt begünstigen."
504,True,"","Fülle deinen Geist mit Neugier gleich Oschon, so sei dir an jedem deiner Reiseziele Freude gewiss."
505,False,"",""
506,False,"",""
1100,True,"Abenteuer","Weggefährten sind nicht stets vonnöten. Genieße ab und an die Ruhe der einsamen Reise."
1101,True,"","Begib dich erneut auf die Suche, neue Entdeckungen warten auf dich."
1102,True,"","Der Wechsel der Jahreszeiten ist Grund zur Freude, Feierlichkeiten aller Art seien dein Ziel."
1103,True,"","Leihe ein Ohr den Landsleuten, unbekannte Geschichten mögen sich so offenbaren."
1104,True,"","Reise in unerforschte Lande, unvorstellbare Entdeckungen warten dort."
1105,True,"","Bleibe deinem Namen treu, und du wirst neue Be<hex:02160103>kannt<hex:02160103>schaften machen."
1106,True,"","An einem Ort der Lichtfülle erwarten dich spannende Abenteuer."
1200,True,"Beziehungen","Sei vorbereitet, eine Begegnung jenseits jeglicher Vorstellung steht bevor."
1201,True,"","Auch einmalige Begegnungen können die Saat für eine blühende Beziehung bilden."
1202,True,"","Übernimm die Führung und sammle deine Kameraden, ein perfekter Partner lässt sich so finden."
1203,True,"","Die Unterstützung deiner Gefährten sei dir gewiss, erwidere auch du sie im selben Maß."
1204,True,"","Aller Anfang ist schwer, doch sei gewiss: Eine gute Beziehung wartet auf dich."
1205,True,"","Ein neues Gefühl erwacht. Lausche dem Flüstern deines Herzens."
1206,True,"","Zusammenarbeit wird den Weg zu den Sternen ebnen."
1300,True,"Vermögen","Profite gigantischen Ausmaßes warten im goldenen Palast des Vergnügens auf jene, die sich in Geduld üben können."
1301,True,"","Große Fänge stehen in den Sternen, das nächstgelegene Schiff sei dein Ziel."
1302,True,"","Geschick im Hausbau sei dir vergönnt. Investiere und werde sesshaft."
1303,True,"","Eine Zeit des Umbruchs naht. Trenne dich von Altem und heiße Neues willkommen."
1304,True,"","Lerne, günstige Möglichkeiten zu erkennen, und Reichtum wird wie von selbst folgen."
1305,True,"","Begib dich unter dem Mond und den Sternen auf deinen Weg. In ihrer Führung liegt das Glück. "
1306,True,"","Statte deinen Kunden einen Besuch ab. Solide Gewinne erwarten dich."
1400,True,"Konflikte","Stürze dich in den hitzigen Wettstreit mit deinen Gefährten, euer Bund wird sich nur stärken."
1401,True,"","Gut gewählt ist deine Waffe, übe stetig und Ergebnisse werden bald eintreten."
1402,True,"","Die Steine sind dir wohlgesinnt. Das Talent eines Mahjong-Meisters ruht in dir."
1403,True,"","Fokussiere deine Jagd auf die berüchtigsten Bestien in allen Landen, so soll dir Glück beschert sein."
1404,True,"","Gut gewählt ist deine Waffe, übe stetig und Ergebnisse werden bald eintreten."
1405,False,"",""
1406,False,"",""
1500,True,"Schicksal","Fülle deinen Geist mit Weisheit gleich Nymeia, so wird sich dein Blatt stets zum Guten wenden."
