key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
offset,20,28,29,30,31,24,8,12,16,32,32,32,32,0,4
Int32,Int32,UInt8,UInt8,UInt8,UInt8,Int32,String,String,String,PackedBool0,PackedBool1,PackedBool2,PackedBool3,String,String
0,0,0,0,0,0,0,"","","",False,True,True,True,"",""
1,1,4,0,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Absteigen","Drück den Knopf, um hinunterzugelangen!"
2,2,5,23,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Entkommen","Drück den Knopf schnell in Folge, um auszuweichen!"
3,3,25,30,3,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Kräftemessen","Drück den Knopf schnell in Folge, um den Gegner zurückzudrängen!"
4,4,0,0,0,0,0,"","","",False,False,True,True,"",""
5,2,5,35,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Entkommen","Drück den Knopf schnell in Folge, um auszuweichen!"
6,2,5,10,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,True,True,True,"Entkommen","Drück den Knopf schnell in Folge, um auszuweichen!"
7,3,25,20,2,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Aufsitzen","Drück den Knopf schnell in Folge, um Halt zu finden!"
8,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",True,False,True,True,"Entkommen","Drück den Knopf schnell in Folge, um auszuweichen!"
9,2,15,45,0,0,88,"SE_Bt_Etc_QTE_Ready","SE_Bt_Etc_QTE_Success","SE_Bt_Etc_QTE_Fail",False,False,True,True,"Gefangen im Wind","Befreie dich!"
