key,0,1,2,3,4,5,6
#,Icon,Category,MainCommandCategory,SortID,,Name,Description
offset,8,12,13,15,14,0,4
Int32,Int32,UInt8,UInt8,Int8,UInt8,String,String
0,0,0,0,0,0,"",""
1,16,1,1,-5,1,"Initiative","Lässt den Charakter seine Waffe ziehen oder wegstecken."
2,1,6,1,0,6,"Charakter","Zeigt die Spielwerte des Charakters an. Du kannst z. B. neue Ausrüstung anlegen und Titel ändern."
3,4,2,1,-4,2,"Kommandoliste","Zeigt die Kommandos an, die der Charakter ausführen kann. Du kannst z. B. Kommandos im Kommandomenü anlegen und Rollenkommandos einrichten."
4,5,4,2,0,22,"Archiv","Zeigt aktive und abgeschlossene Aufträge und Freibriefe an. Du kannst z. B. die Aufgabenliste anpassen und Freibriefe beginnen oder entfernen."
5,47,13,2,9,31,"Timer","Zeigt die verbleibende Spielzeit, Vollmachten oder Wartezeit für verschiedene Inhalte, z. B. Freibriefe oder Aufträge der Freundesvölker an."
6,6,18,1,12,18,"Errungenschaften","Zeigt eine Liste der Errungenschaften an. Du kannst den Fortschritt und die Bedingungen einsehen."
7,23,4,3,1,35,"Sammler-Notizbuch","Zeigt eine Liste der Gegenstände an, die Sammler durch Abbauen, Herausbrechen, Abholzen und Abernten beschaffen sollen. Außerdem wird angezeigt, in welchen Gegenden diese Gegenstände zu finden sind."
8,21,1,3,-2,32,"Bestiarium","Zeigt eine Liste der Monster an, die Krieger und Magier erlegen sollen. Außerdem wird angezeigt, in welchen Gegenden die Monster zu finden sind und wie viel Routine man erhält."
9,22,3,3,0,34,"Handwerker-Notizbuch","Zeigt eine Liste der Gegenstände an, die Handwerker herstellen sollen sowie deren Syntheserezepte. Hier kannst du den Synthesevorgang starten."
10,2,8,1,2,8,"Inventar","Zeigt die Gegenstände und Kristalle in deinem Besitz an. Du kannst Gegenstände benutzen, umsortieren und mehr."
