key,0,1,2,3,4,5,6,7,8
#,Image,Icon,Category,UnlockCondition,,,,SortKey,Name
offset,4,8,22,12,14,16,18,20,0
Int32,Int32,Int32,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,String
0,0,82092,0,0,0,0,0,0,"Nichts"
1,191001,82092,1,1,0,0,0,1,"Nichts"
2,191002,82092,1,1,0,0,0,3,"Abgestuftes Schwarz"
3,191003,82092,1,1,0,0,0,2,"Abgestuftes Weiß"
4,191004,82092,1,1,0,0,0,7,"Schlichtes Weiß"
5,191005,82092,1,1,0,0,0,5,"Schlichtes Silber"
6,191006,82092,1,1,0,0,0,4,"Schlichtes Gold"
7,191007,82092,1,1,0,0,0,10,"Archiv"
8,191008,82092,1,1,0,0,0,8,"Schlichtes Beige"
9,191009,82092,1,1,0,0,0,9,"Schlichte Prägung"
10,191010,82092,1,1,0,0,0,20,"Antik"
11,191011,82092,1,1,0,0,0,21,"Verzierte Ecken"
12,191301,82092,2,124,0,0,0,2150,"Paladin"
13,191302,82092,2,125,0,0,0,2151,"Krieger"
14,191303,82092,2,126,0,0,0,2152,"Dunkelritter"
15,191304,82092,2,127,0,0,0,2153,"Revolverklinge"
16,191305,82092,2,128,0,0,0,2154,"Weißmagier"
17,191306,82092,2,129,0,0,0,2155,"Gelehrter"
18,191307,82092,2,130,0,0,0,2156,"Astrologe"
19,191308,82092,2,131,0,0,0,2157,"Weiser"
20,191309,82092,2,132,0,0,0,2158,"Mönch"
21,191310,82092,2,133,0,0,0,2159,"Dragoon"
22,191311,82092,2,134,0,0,0,2160,"Ninja"
23,191312,82092,2,135,0,0,0,2161,"Samurai"
24,191313,82092,2,136,0,0,0,2162,"Schnitter"
25,191314,82092,2,137,0,0,0,2165,"Barde"
26,191315,82092,2,138,0,0,0,2166,"Maschinist"
27,191316,82092,2,139,0,0,0,2167,"Tänzer"
28,191317,82092,2,140,0,0,0,2168,"Schwarzmagier"
29,191318,82092,2,141,0,0,0,2169,"Beschwörer"
30,191319,82092,2,142,0,0,0,2170,"Rotmagier"
31,191401,82092,10,143,0,0,0,3000,"Team Astra"
32,191402,82092,10,144,0,0,0,3001,"Team Umbra"
33,191403,82092,5,145,0,0,0,3200,"Kristallkönig (1. Saison)"
34,191404,82092,5,146,0,0,0,3201,"Kristallfürst (1. Saison)"
35,191405,82092,5,147,0,0,0,3202,"Kristallkämpfer (1. Saison)"
36,191406,82092,5,148,0,0,0,3208,"Crystalline Conflict: Bronze (1. Saison)"
37,191407,82092,5,149,0,0,0,3207,"Crystalline Conflict: Silber (1. Saison)"
38,191408,82092,5,150,0,0,0,3206,"Crystalline Conflict: Gold (1. Saison)"
39,191409,82092,5,151,0,0,0,3205,"Crystalline Conflict: Platin (1. Saison)"
40,191410,82092,5,152,0,0,0,3204,"Crystalline Conflict: Diamant (1. Saison)"
41,191411,82092,5,153,0,0,0,3203,"Crystalline Conflict: Kristall (1. Saison)"
42,191901,82092,7,154,1032,1034,1036,4000,"Companion-App 1"
43,191902,82092,7,155,1033,1035,1037,4001,"Companion-App 2"
44,191701,82092,4,319,0,0,0,2500,"Endlose Schatten von Bahamut (fatal)"
45,191702,82092,4,320,0,0,0,2501,"Heldenlied von Ultima (fatal)"
46,191703,82092,4,321,0,0,0,2502,"Alexander (fatal)"
47,191704,82092,4,322,0,0,0,2503,"Drachenkrieg (fatal)"
48,191412,82092,5,323,0,0,0,3209,"Kristallkönig (2. Saison)"
49,191413,82092,5,324,0,0,0,3210,"Kristallfürst (2. Saison)"
50,191414,82092,5,325,0,0,0,3211,"Kristallkämpfer (2. Saison)"
51,191415,82092,5,326,0,0,0,3217,"Crystalline Conflict: Bronze (2. Saison)"
52,191416,82092,5,327,0,0,0,3216,"Crystalline Conflict: Silber (2. Saison)"
53,191417,82092,5,328,0,0,0,3215,"Crystalline Conflict: Gold (2. Saison)"
54,191418,82092,5,329,0,0,0,3214,"Crystalline Conflict: Platin (2. Saison)"
55,191419,82092,5,330,0,0,0,3213,"Crystalline Conflict: Diamant (2. Saison)"
56,191420,82092,5,331,0,0,0,3212,"Crystalline Conflict: Kristall (2. Saison)"
57,191421,82092,5,332,0,0,0,3218,"Kristallkönig (3. Saison)"
58,191422,82092,5,333,0,0,0,3219,"Kristallfürst (3. Saison)"
59,191423,82092,5,334,0,0,0,3220,"Kristallkämpfer (3. Saison)"
60,191424,82092,5,335,0,0,0,3226,"Crystalline Conflict: Bronze (3. Saison)"
61,191425,82092,5,336,0,0,0,3225,"Crystalline Conflict: Silber (3. Saison)"
62,191426,82092,5,337,0,0,0,3224,"Crystalline Conflict: Gold (3. Saison)"
63,191427,82092,5,338,0,0,0,3223,"Crystalline Conflict: Platin (3. Saison)"
64,191428,82092,5,339,0,0,0,3222,"Crystalline Conflict: Diamant (3. Saison)"
65,191429,82092,5,340,0,0,0,3221,"Crystalline Conflict: Kristall (3. Saison)"
66,191430,82092,10,341,0,0,0,3002,"Crystalline Conflict: Blau"
67,191431,82092,10,342,0,0,0,3003,"Crystalline Conflict: Rot"
68,191705,82092,4,343,0,0,0,2400,"Unstetes Gewölbe: Die Unterstadt von Sil'dih"
69,191016,82092,1,1,0,0,0,32,"Comic"
70,191019,82092,1,1,0,0,0,6,"Metallbogen"
71,191020,82092,1,1,0,0,0,33,"Film"
72,191012,82092,1,1,0,0,0,31,"Konzentrationslinien"
73,191013,82092,1,1,0,0,0,30,"Schwarzer Dunst"
74,191017,82092,1,1,0,0,0,22,"Schwarze Spitze"
75,191018,82092,1,1,0,0,0,23,"Weiße Spitze"
76,191014,82092,1,1,0,0,0,11,"NQ-Gegenstand "
77,191015,82092,1,1,0,0,0,12,"HQ-Gegenstand"
78,191432,82092,5,409,0,0,0,3227,"Kristallkönig (4. Saison)"
79,191433,82092,5,410,0,0,0,3228,"Kristallfürst (4. Saison)"
80,191434,82092,5,411,0,0,0,3229,"Kristallkämpfer (4. Saison)"
81,191440,82092,5,412,0,0,0,3230,"Crystalline Conflict: Kristall (4. Saison)"
82,191439,82092,5,413,0,0,0,3231,"Crystalline Conflict: Diamant (4. Saison)"
83,191438,82092,5,414,0,0,0,3232,"Crystalline Conflict: Platin (4. Saison)"
84,191437,82092,5,415,0,0,0,3233,"Crystalline Conflict: Gold (4. Saison)"
85,191436,82092,5,416,0,0,0,3234,"Crystalline Conflict: Silber (4. Saison)"
86,191435,82092,5,417,0,0,0,3235,"Crystalline Conflict: Bronze (4. Saison)"
87,191441,82092,5,418,0,0,0,3236,"Kristallkönig (5. Saison)"
88,191442,82092,5,419,0,0,0,3237,"Kristallfürst (5. Saison)"
89,191443,82092,5,420,0,0,0,3238,"Kristallkämpfer (5. Saison)"
90,191449,82092,5,421,0,0,0,3239,"Crystalline Conflict: Kristall (5. Saison)"
91,191448,82092,5,422,0,0,0,3240,"Crystalline Conflict: Diamant (5. Saison)"
92,191447,82092,5,423,0,0,0,3241,"Crystalline Conflict: Platin (5. Saison)"
93,191446,82092,5,424,0,0,0,3242,"Crystalline Conflict: Gold (5. Saison)"
94,191445,82092,5,425,0,0,0,3243,"Crystalline Conflict: Silber (5. Saison)"
95,191444,82092,5,426,0,0,0,3244,"Crystalline Conflict: Bronze (5. Saison)"
96,191450,82092,10,427,0,0,0,3004,"Falken"
97,191451,82092,10,428,0,0,0,3005,"Raben"
98,191706,82092,4,434,0,0,0,2504,"Omega (fatal)"
99,191707,82092,3,467,0,0,0,2251,"Die vier Tierheiligen"
100,191708,82092,8,468,0,0,0,2340,"Inselparadies 1"
101,191709,82092,8,469,0,0,0,2341,"Inselparadies 2"
102,191452,82092,5,502,0,0,0,3245,"Kristallkönig (6. Saison)"
103,191453,82092,5,503,0,0,0,3246,"Kristallfürst (6. Saison)"
104,191454,82092,5,504,0,0,0,3247,"Kristallkämpfer (6. Saison)"
105,191460,82092,5,505,0,0,0,3248,"Crystalline Conflict: Kristall (6. Saison)"
106,191459,82092,5,506,0,0,0,3249,"Crystalline Conflict: Diamant (6. Saison)"
107,191458,82092,5,507,0,0,0,3250,"Crystalline Conflict: Platin (6. Saison)"
108,191457,82092,5,508,0,0,0,3251,"Crystalline Conflict: Gold (6. Saison)"
109,191456,82092,5,509,0,0,0,3252,"Crystalline Conflict: Silber (6. Saison)"
110,191455,82092,5,510,0,0,0,3253,"Crystalline Conflict: Bronze (6. Saison)"
111,191461,82092,5,511,0,0,0,3254,"Kristallkönig (7. Saison)"
112,191462,82092,5,512,0,0,0,3255,"Kristallfürst (7. Saison)"
113,191463,82092,5,513,0,0,0,3256,"Kristallkämpfer (7. Saison)"
114,191469,82092,5,514,0,0,0,3257,"Crystalline Conflict: Kristall (7. Saison)"
115,191468,82092,5,515,0,0,0,3258,"Crystalline Conflict: Diamant (7. Saison)"
116,191467,82092,5,516,0,0,0,3259,"Crystalline Conflict: Platin (7. Saison)"
117,191466,82092,5,517,0,0,0,3260,"Crystalline Conflict: Gold (7. Saison)"
118,191465,82092,5,518,0,0,0,3261,"Crystalline Conflict: Silber (7. Saison)"
119,191464,82092,5,519,0,0,0,3262,"Crystalline Conflict: Bronze (7. Saison)"
120,191470,82092,10,520,0,0,0,3006,"Aramitama"
121,191471,82092,10,521,0,0,0,3007,"Nigimitama"
122,191320,82092,2,522,0,0,0,2172,"Blaumagier"
123,191710,82092,7,523,0,0,0,3950,"10. Jubiläum"
124,191711,82092,4,528,0,0,0,2401,"Unstetes Gewölbe: Der Rokkon"
125,191712,82092,8,529,0,0,0,2347,"Fischer auf großer Fahrt"
126,191713,82092,8,530,0,0,0,2348,"Kapitalbeschaffung"
127,191714,82092,8,531,0,0,0,2350,"Mahjong-Profi"
128,191715,82092,3,527,0,0,0,2250,"Das Ende einer Ära"
129,191490,82092,10,578,0,0,0,3008,"Die Palästra"
130,191491,82092,10,579,0,0,0,3009,"Wolke Sieben"
131,191472,82092,5,580,0,0,0,3263,"Kristallkönig (8. Saison)"
132,191473,82092,5,581,0,0,0,3264,"Kristallfürst (8. Saison)"
133,191474,82092,5,582,0,0,0,3265,"Kristallkämpfer (8. Saison)"
134,191480,82092,5,583,0,0,0,3266,"Crystalline Conflict: Kristall (8. Saison)"
135,191479,82092,5,584,0,0,0,3267,"Crystalline Conflict: Diamant (8. Saison)"
136,191478,82092,5,585,0,0,0,3268,"Crystalline Conflict: Platin (8. Saison)"
137,191477,82092,5,586,0,0,0,3269,"Crystalline Conflict: Gold (8. Saison)"
138,191476,82092,5,587,0,0,0,3270,"Crystalline Conflict: Silber (8. Saison)"
139,191475,82092,5,588,0,0,0,3271,"Crystalline Conflict: Bronze (8. Saison)"
140,191481,82092,5,589,0,0,0,3272,"Kristallkönig (9. Saison)"
141,191482,82092,5,590,0,0,0,3273,"Kristallfürst (9. Saison)"
142,191483,82092,5,591,0,0,0,3274,"Kristallkämpfer (9. Saison)"
143,191489,82092,5,592,0,0,0,3275,"Crystalline Conflict: Kristall (9. Saison)"
144,191488,82092,5,593,0,0,0,3276,"Crystalline Conflict: Diamant (9. Saison)"
145,191487,82092,5,594,0,0,0,3277,"Crystalline Conflict: Platin (9. Saison)"
146,191486,82092,5,595,0,0,0,3278,"Crystalline Conflict: Gold (9. Saison)"
147,191485,82092,5,596,0,0,0,3279,"Crystalline Conflict: Silber (9. Saison)"
148,191484,82092,5,597,0,0,0,3280,"Crystalline Conflict: Bronze (9. Saison)"
149,191492,82092,5,598,0,0,0,3281,"Kristallkönig (10. Saison)"
150,191493,82092,5,599,0,0,0,3282,"Kristallfürst (10. Saison)"
151,191494,82092,5,600,0,0,0,3283,"Kristallkämpfer (10. Saison)"
152,191500,82092,5,601,0,0,0,3284,"Crystalline Conflict: Kristall (10. Saison)"
153,191499,82092,5,602,0,0,0,3285,"Crystalline Conflict: Diamant (10. Saison)"
154,191498,82092,5,603,0,0,0,3286,"Crystalline Conflict: Platin (10. Saison)"
155,191497,82092,5,604,0,0,0,3287,"Crystalline Conflict: Gold (10. Saison)"
156,191496,82092,5,605,0,0,0,3288,"Crystalline Conflict: Silber (10. Saison)"
157,191495,82092,5,606,0,0,0,3289,"Crystalline Conflict: Bronze (10. Saison)"
158,191718,82092,3,572,0,0,0,2252,"Mythen Eorzeas"
159,191719,82092,4,574,0,0,0,2402,"Unstetes Gewölbe: Aloalo"
160,191716,82092,8,570,0,0,0,2351,"Khloes Abenteueralbum"
161,191717,82092,8,571,0,0,0,2352,"Traumtafel"
162,191720,82092,7,575,0,0,0,3951,"Stolperville 1"
163,191721,82092,7,576,0,0,0,3952,"Stolperville 2"
164,191722,82092,7,577,0,0,0,3953,"Stolperville 3"
165,191723,82092,7,607,0,0,0,3954,"Yo-kai Watch"
166,191321,82092,2,681,0,0,0,2163,"Viper"
167,191322,82092,2,682,0,0,0,2171,"Piktomant"
168,191501,82092,10,683,0,0,0,3010,"Herz des Vulkans"
169,191502,82092,10,684,0,0,0,3011,"Mechanische Menagerie"
170,191503,82092,5,685,0,0,0,3290,"Kristallkönig (11. Saison)"
171,191504,82092,5,686,0,0,0,3291,"Kristallfürst (11. Saison)"
172,191505,82092,5,687,0,0,0,3292,"Kristallkämpfer (11. Saison)"
173,191511,82092,5,688,0,0,0,3293,"Crystalline Conflict: Kristall (11. Saison)"
174,191510,82092,5,689,0,0,0,3294,"Crystalline Conflict: Diamant (11. Saison)"
175,191509,82092,5,690,0,0,0,3295,"Crystalline Conflict: Platin (11. Saison)"
176,191508,82092,5,691,0,0,0,3296,"Crystalline Conflict: Gold (11. Saison)"
177,191507,82092,5,692,0,0,0,3297,"Crystalline Conflict: Silber (11. Saison)"
178,191506,82092,5,693,0,0,0,3298,"Crystalline Conflict: Bronze (11. Saison)"
179,191662,82092,9,701,0,0,0,1036,"Tuliyollal 1"
180,191663,82092,9,702,0,0,0,1037,"Tuliyollal 2"
181,191664,82092,9,699,0,0,0,1038,"Lösung Neun 1"
182,191665,82092,9,700,0,0,0,1039,"Lösung Neun 2"
