key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,RequiredFlag,UnlockFlag,RequiredLevel,RequiredSeals,RewardExperience,PercentBase,,GcArmyExpeditionType,Name,Description,ExpeditionParams[0].RewardItem,ExpeditionParams[1].RewardItem,ExpeditionParams[2].RewardItem,ExpeditionParams[3].RewardItem,ExpeditionParams[4].RewardItem,ExpeditionParams[5].RewardItem,ExpeditionParams[0].RewardQuantity,ExpeditionParams[1].RewardQuantity,ExpeditionParams[2].RewardQuantity,ExpeditionParams[3].RewardQuantity,ExpeditionParams[4].RewardQuantity,ExpeditionParams[5].RewardQuantity,ExpeditionParams[0].RequiredPhysical,ExpeditionParams[1].RequiredPhysical,ExpeditionParams[2].RequiredPhysical,ExpeditionParams[3].RequiredPhysical,ExpeditionParams[4].RequiredPhysical,ExpeditionParams[5].RequiredPhysical,ExpeditionParams[0].PercentPhysicalMet,ExpeditionParams[1].PercentPhysicalMet,ExpeditionParams[2].PercentPhysicalMet,ExpeditionParams[3].PercentPhysicalMet,ExpeditionParams[4].PercentPhysicalMet,ExpeditionParams[5].PercentPhysicalMet,ExpeditionParams[0].RequiredMental,ExpeditionParams[1].RequiredMental,ExpeditionParams[2].RequiredMental,ExpeditionParams[3].RequiredMental,ExpeditionParams[4].RequiredMental,ExpeditionParams[5].RequiredMental,ExpeditionParams[0].PercentMentalMet,ExpeditionParams[1].PercentMentalMet,ExpeditionParams[2].PercentMentalMet,ExpeditionParams[3].PercentMentalMet,ExpeditionParams[4].PercentMentalMet,ExpeditionParams[5].PercentMentalMet,ExpeditionParams[0].RequiredTactical,ExpeditionParams[1].RequiredTactical,ExpeditionParams[2].RequiredTactical,ExpeditionParams[3].RequiredTactical,ExpeditionParams[4].RequiredTactical,ExpeditionParams[5].RequiredTactical,ExpeditionParams[0].PercentTacticalMet,ExpeditionParams[1].PercentTacticalMet,ExpeditionParams[2].PercentTacticalMet,ExpeditionParams[3].PercentTacticalMet,ExpeditionParams[4].PercentTacticalMet,ExpeditionParams[5].PercentTacticalMet,ExpeditionParams[0].PercentAllMet,ExpeditionParams[1].PercentAllMet,ExpeditionParams[2].PercentAllMet,ExpeditionParams[3].PercentAllMet,ExpeditionParams[4].PercentAllMet,ExpeditionParams[5].PercentAllMet
offset,110,111,112,108,104,113,114,115,0,4,8,24,40,56,72,88,18,34,50,66,82,98,12,28,44,60,76,92,19,35,51,67,83,99,14,30,46,62,78,94,20,36,52,68,84,100,16,32,48,64,80,96,21,37,53,69,85,101,22,38,54,70,86,102
Int32,UInt8,UInt8,UInt8,UInt16,UInt32,UInt8,UInt8,UInt8,String,String,Int32,Int32,Int32,Int32,Int32,Int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8
0,0,0,0,0,0,0,0,0,"","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,8,1,0,7500,100,0,1,"Patrouille des Stadtgebiets","Mehrere Bewohner <hex:020927E802FF0F>Limsa Lominsas<hex:FF0A>Gridanias<hex:FF08>Ul'dahs<hex:03> haben verdächtig aussehende Landstreicher gesichtet. Der Befehl lautet: Das Stadtgebiet patrouillieren und für Sicherheit sorgen!",0,0,0,0,0,0,0,0,0,0,0,0,145,145,145,145,145,145,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,140,140,140,140,140,140,20,20,20,20,20,20,20,20,20,20,20,20
2,8,0,1,500,7500,20,0,1,"Lieferung an einen Außenposten","Das Personal <hex:020942E802FF1A>am De Nevelle-Grenzposten<hex:FF0B>am Stubben<hex:FF17>am Sagolii-Grenzposten<hex:03> wartet auf neue Marschbefehle. Der Befehl lautet: Die Dokumente sicher ans Ziel bringen!",0,0,0,0,0,0,0,0,0,0,0,0,165,165,165,150,160,150,20,20,20,20,20,20,160,160,170,170,150,160,20,20,20,20,20,20,160,160,150,165,175,175,20,20,20,20,20,20,20,20,20,20,20,20
3,8,0,1,500,9000,20,0,1,"Sicherung der Verkehrswege","Gefährliche Kreaturen attackieren Reisende und Händler <hex:020942E802FF17>im zentralen La Noscea<hex:FF0F>im Tiefen Wald<hex:FF16>im zentralen Thanalan<hex:03>. Der Befehl lautet: Die wichtigsten Verkehrswege sichern!",0,0,0,0,0,0,0,0,0,0,0,0,245,245,150,195,155,195,20,20,20,20,20,20,155,200,255,255,195,155,20,20,20,20,20,20,200,155,195,150,250,250,20,20,20,20,20,20,20,20,20,20,20,20
4,8,0,5,500,10500,20,0,1,"Auskundschaften des Wilden Stammes","Augenzeugen melden eine Anrottung von <hex:02091DE802FF09>Kobolden<hex:FF05>Ixal<hex:FF09>Amalj'aa<hex:03> <hex:02093DE802FF15>im unteren La Noscea<hex:FF0C>im Südwald<hex:FF16>im zentralen Thanalan<hex:03>. Der Befehl lautet: Die Ansammlung finden und die feindlichen Aktivitäten beobachten!",0,0,0,0,0,0,0,0,0,0,0,0,150,195,155,245,245,195,20,20,20,20,20,20,255,155,195,200,155,255,20,20,20,20,20,20,195,250,250,155,200,150,20,20,20,20,20,20,20,20,20,20,20,20
5,8,0,10,500,12000,20,0,1,"Geleit eines Versorgungszugs","Ein Feuer hat die Vorräte der Einheit <hex:020949E802FF14>in Camp Schädeltal<hex:FF19>an Amarissaixes Wachturm<hex:FF16>in Camp Knochenbleich<hex:03> zerstört. Der Befehl lautet: Den Versorgungszug begleiten und beschützen!",0,0,0,0,0,0,0,0,0,0,0,0,210,125,305,305,210,115,20,20,20,20,20,20,125,210,210,130,320,320,20,20,20,20,20,20,310,310,130,210,115,210,20,20,20,20,20,20,20,20,20,20,20,20
6,8,0,15,500,13500,20,0,1,"Schutz von Siedlern","Siedler <hex:020942E802FF17>im zentralen La Noscea<hex:FF0F>im Tiefen Wald<hex:FF16>im zentralen Thanalan<hex:03> werden von ungewöhnlich aggressiven <hex:02092FE802FF08>Goobbue<hex:FF0D>Baumschraten<hex:FF14>Riesenschildkröten<hex:03> heimgesucht. Der Befehl lautet: Die Bedrohung für die Siedler beseitigen!",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,140,225,320,320,130,225,20,20,20,20,20,20,225,140,145,225,335,335,20,20,20,20,20,20,325,325,225,145,225,130,20,20,20,20,20,20,20,20,20,20,20,20
