key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Description,DescriptionEnhanced,Tooltip,SpecialActionName,SpecialActionDescription,Attack,Defense,Speed,HasAreaAttack,StrengthGate,StrengthEye,StrengthShield,StrengthArcana,MinionSkillType
offset,0,4,8,12,16,20,21,22,24,24,24,24,24,23
Int32,String,String,String,String,String,UInt8,UInt8,UInt8,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4,UInt8
0,"","","","","",100,100,3,False,False,False,False,False,0
1,"Du rufst deinen Kirschbomber als Begleiter herbei. Garantie gegen Selbstzerstöung, ansonsten Gil zurück.","Um die weißglühenden Temperaturen in ihren Kernen aufrechtzuerhalten, verschlingen die Bomber so gut wie jedes brennbare Material, einschließlich Holz, Kohle, Feuerkristalle und sogar Drachenpfeffer.","Bald ist eure Zeit zur Explosion gekommen! Hihi! Das wird schön ...<hex:02100103><hex:021A020203>Ba Go, Akolyth des 789. Ordens<hex:021A020103>","Selbstzerstörung","Führt eine Attacke mit Attacke-Wert 300 auf die Gegner in der Nähe aus, aber die ausführenden Trabanten werden weggeschickt.",30,40,2,False,False,True,True,False,1
2,"Du rufst deine Marionette Nr. 001 als Begleiter herbei. Eine voll funktionstüchtige Puppe, die in Zusammenarbeit der Alchemisten mit der Gold<hex:02160103>schmiede<hex:02160103>gilde erschaffen wurde.","Das Standardmodell 001 ist nicht nur ein Verkaufs- schlager, sondern auch die Vorlage, auf der alle anderen Uhrwerk-Diener basieren.","Marionetten haben auch Gefühle.<hex:02100103><hex:021A020203>Serendipity<hex:021A020103>","Demontage","Entfernt eine vom Gegner aufgestellte Falle.",25,45,1,False,True,True,False,True,6
3,"Du rufst dein Chocobo-Küken als Begleiter herbei. Solange es seine Mutter nicht findet, musst du als Ersatz herhalten.","Selbst wenn dieser Waisenvogel zufällig auf seine Eltern träfe, würde er sie höchst<hex:02160103>wahr<hex:02160103>scheinlich nicht zur Kenntnis nehmen. Schließlich ist bekannt, dass Chocobos das erste Lebewesen, das sie erblicken, als ihre Mutter annehmen<hex:021D0103>- und das wärest somit du.","Ein wilder Bengel, aber er ist der Stolz unseres Gestüts.<hex:02100103><hex:021A020203>Keitha<hex:021A020103>","Chocoboogie","Fügt Gegnern in der Nähe eine Schwäche gegen Tiere zu.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Dauer:<hex:0249020103><hex:0248020103> 15 Sekunden",60,30,3,False,True,True,False,False,4
4,"Du rufst deine Cait Sith-Puppe als Begleiter herbei. Der extra lange Schwanz hilft dem Kätzchen dabei, das Gleichgewicht zu halten.","Die Uhrwerk-Ausgabe eines schillernden Katzen-<hex:02100103>geistes aus der Mythologie der Wiesländer. Die Gildenmeisterin der Goldschmiede, Serendipity, hat diese lebensechte Figur angefertigt, um den Kindern, die durch die Katastrophe zu Waisen wurden, eine Freude zu machen.","Im Kämpfen war ich immer eine Niete.<hex:02100103><hex:021A020203>Cait Sith<hex:021A020103>","Spielzeugsoldat","Erhöht die Technikpunkte eigener Trabanten in der Nähe um 10, außer wenn sie ebenfalls diesen Effekt verursachen können.",55,65,2,False,True,False,True,False,3
5,"Du rufst deinen Baby-Behemoth als Begleiter herbei. Hoffentlich sucht seine Mutter nicht schon nach ihm.","Da sie auf dem Saphirstraßenmarkt für nicht mehr als eine Handvoll Gil feilgeboten wird, ist die Abstamm-<hex:02100103>ung dieser kleinen Bestie äußerst fraglich. Sie trägt zwar Züge, die einem Behemoth ähneln, aber ihr ständiges Gequieke erinnert dann doch eher an ein Wildschweinchen.","Tja, so läuft's halt manchmal im Leben. Mal verspeist<hex:02100103>man den Behemoth, und manchmal wird man vom<hex:02100103>Behemoth verspeist ...<hex:02100103><hex:021A020203>Wymond<hex:021A020103>","Wildes Horn","Führt eine Attacke mit Attacke-Wert 230 auf die Gegner in der Nähe aus.",45,30,3,True,False,False,False,False,1
6,"Du rufst deine Marionette Nr. 003L als Begleiter herbei. Eine voll funktionstüchtige Puppe, die für den Mahlstrom gebaut wurde.","Diese handgefertigten Marionetten sollten eigentlich als Flaggenträger bei Paraden des Mahlstroms dienen. Sie wurden jedoch schnell wieder außer Dienst gestellt, da aufgrund ihrer kleinen Statur niemand die Flaggen sehen konnte.","Marionetten haben auch Gefühle.<hex:02100103><hex:021A020203>Serendipity<hex:021A020103>","Mahlstrom-Standarte","Verringert die ABW von Gegnern in der Nähe um 50 %.<hex:02100103><hex:024804F201F803><hex:024904F201F903>Dauer:<hex:0249020103><hex:0248020103> 15 Sekunden",30,45,1,False,True,False,True,True,4
