key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
#,Name,Announce,HowToPagePC[0],HowToPagePC[1],HowToPagePC[2],HowToPagePC[3],HowToPagePC[4],HowToPageController[0],HowToPageController[1],HowToPageController[2],HowToPageController[3],HowToPageController[4],Category,Sort
offset,0,26,4,6,8,10,12,14,16,18,20,22,25,24
Int32,String,PackedBool0,Int16,Int16,Int16,Int16,Int16,Int16,Int16,Int16,Int16,Int16,Int8,UInt8
0,"",False,0,0,0,0,0,0,0,0,0,0,0,0
1,"Grundlagen der Spielsteuerung",False,1,0,0,0,0,2,0,0,0,0,2,1
2,"Fortschritt während Aufträgen",True,5,0,0,0,0,6,0,0,0,0,5,1
3,"Auflistung der Aufgaben",False,60,61,0,0,0,60,62,0,0,0,5,3
4,"Navigation mithilfe der Karte",True,30,31,0,0,0,32,33,0,0,0,5,4
5,"Schlüsselgegenstände",True,65,0,0,0,0,66,0,0,0,0,5,11
6,"Interaktion mit Objekten",True,70,0,0,0,0,71,0,0,0,0,5,12
7,"Kämpfe",True,150,151,152,153,0,190,191,192,193,153,4,1
8,"Routine",True,1200,0,0,0,0,0,0,0,0,0,4,2
9,"Gegenstände übergeben",True,200,0,0,0,0,201,0,0,0,0,5,13
10,"Wechsel der Klasse",True,110,111,0,0,0,0,0,0,0,0,2,9
11,"Belohnungen erhalten",False,15,0,0,0,0,16,0,0,0,0,5,5
12,"Aufträge annehmen",False,10,0,0,0,0,11,0,0,0,0,5,2
13,"Rückführung",True,25,26,0,0,0,27,28,0,0,0,3,1
14,"Hauptmenü",True,20,21,22,0,0,0,0,0,0,0,2,2
15,"Ätheryten und Teleport",True,50,51,52,0,0,0,0,0,0,0,3,2
16,"Kampfunfähigkeit",True,90,91,0,0,0,0,0,0,0,0,4,2
17,"Kontaktkreise",True,290,291,0,0,0,0,0,0,0,0,2,11
18,"Ausrüstung",True,35,36,0,0,0,37,36,0,0,0,7,1
19,"Ätherytennetz",True,45,0,0,0,0,0,0,0,0,0,3,3
20,"Händler",True,135,136,0,0,0,137,136,0,0,0,6,6
21,"Kostbarkeitenkabinett",True,1320,1321,0,0,0,0,0,0,0,0,7,11
22,"Mogry-Post",True,40,41,0,0,0,40,42,0,0,0,2,8
23,"Nutzbäume finden",True,890,891,892,0,0,890,893,894,0,0,13,3
24,"Rohstoffe sammeln",True,900,901,902,0,0,0,0,0,0,0,13,4
25,"Sammler-Notizbuch",True,910,911,912,0,0,0,0,0,0,0,13,5
26,"Verstohlenheit",True,920,0,0,0,0,0,0,0,0,0,13,10
27,"Abernten",True,930,931,0,0,0,0,0,0,0,0,13,16
28,"Handwerker-Notizbuch",True,700,701,702,0,0,0,0,0,0,0,12,1
29,"Synthese",True,710,711,712,713,0,714,711,712,713,0,12,2
30,"Qualität von Gegenständen erhöhen",True,720,721,722,0,0,720,723,722,0,0,12,3
31,"Ausrüstungszustand",True,750,751,752,0,0,0,0,0,0,0,7,5
32,"Ausrüstung reparieren",True,760,761,0,0,0,0,0,0,0,0,7,6
33,"Freibriefe annehmen",True,500,501,0,0,0,0,0,0,0,0,9,1
34,"Freibriefe beginnen",True,510,511,512,0,0,513,514,515,0,0,9,2
35,"Schwierigkeit von Freibriefen",True,520,521,0,0,0,0,0,0,0,0,9,3
36,"Ruhebereiche",True,170,171,172,173,0,0,0,0,0,0,2,7
37,"Arsenal",True,160,161,162,0,0,160,161,163,0,0,7,3
38,"Klassenwechsel",True,115,116,0,0,0,0,0,0,0,0,2,4
39,"Emotes",True,80,81,82,0,0,80,83,0,0,0,2,3
40,"",False,0,0,0,0,0,0,0,0,0,0,0,0
41,"",False,0,0,0,0,0,0,0,0,0,0,0,0
42,"Freibrief-Aufgaben",True,530,531,0,0,0,0,0,0,0,0,9,4
43,"Freibrief-Belohnungen abholen",True,540,0,0,0,0,0,0,0,0,0,9,5
44,"Freibriefe erneut versuchen",True,550,0,0,0,0,551,0,0,0,0,9,6
45,"Das Bestiarium",True,400,401,402,0,0,403,404,405,0,0,4,9
46,"Begleiter",True,940,941,942,943,0,940,944,945,943,0,2,12
47,"Der Markt",True,800,801,802,0,0,0,0,0,0,0,6,11
48,"Gegenstände auf dem Markt suchen",True,810,811,812,813,0,0,0,0,0,0,6,12
49,"Auf dem Markt einkaufen",True,820,821,0,0,0,0,0,0,0,0,6,13
50,"Auf dem Markt verkaufen",True,830,831,832,0,0,0,0,0,0,0,6,14
51,"Gehilfen",True,840,841,0,0,0,0,0,0,0,0,6,21
52,"Einen Gehilfen anstellen",True,850,851,0,0,0,0,0,0,0,0,6,22
53,"Was ein Gehilfe kann",True,860,861,0,0,0,0,0,0,0,0,6,23
54,"Merkmale von Sammelstellen",True,870,871,0,0,0,0,0,0,0,0,13,22
55,"Unbekannte Orte",True,1000,1001,1002,0,0,0,0,0,0,0,13,30
56,"",False,0,0,0,0,0,0,0,0,0,0,0,0
57,"Dungeons stürmen",True,105,106,107,0,0,0,0,0,0,0,8,4
58,"Zustände bei der Synthese",True,730,731,0,0,0,0,0,0,0,0,12,4
59,"",False,0,0,0,0,0,0,0,0,0,0,0,0
60,"Gegenstände hoher Qualität",True,770,771,0,0,0,0,0,0,0,0,6,2
61,"Einzigartige Gegenstände",True,780,0,0,0,0,0,0,0,0,0,6,3
62,"Bindende Gegenstände",True,790,791,0,0,0,0,0,0,0,0,7,2
63,"Suche nach Charakteren",True,210,211,212,213,214,210,211,215,213,216,2,13
64,"Stell dich dem FATE",True,610,611,612,613,0,0,0,0,0,0,8,1
