key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
#,,Category,,,Icon,AltIcon,,,Name,,,,,,,,,,,,,
offset,54,52,12,36,4,8,38,40,0,16,20,24,28,32,42,44,46,48,50,54,54,53
Int32,PackedBool0,UInt8,Int32,UInt16,UInt32,UInt32,UInt16,UInt16,String,Int32,Int32,Int32,Int32,Int32,Int16,Int16,Int16,Int16,Int16,PackedBool1,PackedBool2,Int8
0,False,0,0,0,0,0,0,0,"",0,0,0,0,0,255,255,255,255,255,False,False,-1
1,False,1,0,999,81000,0,256,256,"円形白無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
2,False,1,0,999,81000,0,256,256,"円形白タイルフィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
3,False,1,0,999,81000,0,256,256,"円形グレー無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
4,True,1,0,1,240001,0,256,256,"Rundes Schachbrett",1,2,3,0,0,255,255,255,255,255,False,False,-1
5,False,1,0,999,81000,0,256,256,"四角形白無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
6,False,1,0,999,81000,0,256,256,"四角形白タイルフィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
7,False,1,0,999,81000,0,256,256,"四角形グレー無地フィールド",1,2,3,0,0,255,255,255,255,255,True,True,-1
8,True,1,0,2,240002,0,256,256,"Eckiges Schachbrett",1,2,3,0,0,255,255,255,255,255,False,False,-1
9,True,6,0,101,240212,0,512,512,"Kreisförmiger Flächenangriff",12,2,3,0,0,255,255,255,255,255,False,False,-1
10,True,6,0,102,240212,0,512,512,"Fächerförmiger Flächenangriff",12,2,3,6,0,255,255,255,255,255,True,True,-1
11,True,6,0,103,240303,0,128,128,"Geradliniger Flächenangriff",4,5,2,3,0,255,255,255,255,255,False,False,10
12,True,4,0,999,240305,0,256,6,"Geradliniger Angriff",2,3,11,0,0,255,255,6,255,255,False,False,10
13,True,6,0,105,240201,0,128,128,"Blick-Angriff",1,2,3,0,0,255,255,255,255,255,False,False,-1
14,True,6,0,106,240202,0,128,128,"Stapelattacke ",1,2,3,0,0,255,255,255,255,255,False,False,-1
15,True,6,0,107,240204,0,128,128,"Geradlinige Stapelattacke",1,2,3,8,0,255,255,255,255,255,False,True,-1
16,True,6,0,108,240205,0,256,256,"Proximitätsangriff",1,2,3,0,0,255,255,255,255,255,False,False,-1
17,True,6,0,109,240218,0,512,512,"Ringförmiger Angriff",12,2,3,6,7,255,255,30,360,255,True,True,-1
18,True,2,1,200,230904,0,32,32,"Gladiator",1,2,3,0,0,255,255,255,255,255,False,False,-1
19,True,2,2,203,230905,0,32,32,"Faustkämpfer",1,2,3,0,0,255,255,255,255,255,False,False,-1
