key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,EventParameters[0].Turn,EventParameters[1].Turn,EventParameters[2].Turn,EventParameters[3].Turn,EventParameters[4].Turn,EventParameters[5].Turn,EventParameters[6].Turn,EventParameters[7].Turn,EventParameters[0].Gesture,EventParameters[1].Gesture,EventParameters[2].Gesture,EventParameters[3].Gesture,EventParameters[4].Gesture,EventParameters[5].Gesture,EventParameters[6].Gesture,EventParameters[7].Gesture,EventParameters[0].LipSync,EventParameters[1].LipSync,EventParameters[2].LipSync,EventParameters[3].LipSync,EventParameters[4].LipSync,EventParameters[5].LipSync,EventParameters[6].LipSync,EventParameters[7].LipSync,EventParameters[0].Facial,EventParameters[1].Facial,EventParameters[2].Facial,EventParameters[3].Facial,EventParameters[4].Facial,EventParameters[5].Facial,EventParameters[6].Facial,EventParameters[7].Facial,EventParameters[0].Shape,EventParameters[1].Shape,EventParameters[2].Shape,EventParameters[3].Shape,EventParameters[4].Shape,EventParameters[5].Shape,EventParameters[6].Shape,EventParameters[7].Shape,EventParameters[0].IsAutoShake,EventParameters[1].IsAutoShake,EventParameters[2].IsAutoShake,EventParameters[3].IsAutoShake,EventParameters[4].IsAutoShake,EventParameters[5].IsAutoShake,EventParameters[6].IsAutoShake,EventParameters[7].IsAutoShake,EventParameters[0].WidgetType,EventParameters[1].WidgetType,EventParameters[2].WidgetType,EventParameters[3].WidgetType,EventParameters[4].WidgetType,EventParameters[5].WidgetType,EventParameters[6].WidgetType,EventParameters[7].WidgetType,Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
offset,16,36,56,76,96,116,136,156,0,20,40,60,80,100,120,140,4,24,44,64,84,104,124,144,8,28,48,68,88,108,128,148,12,32,52,72,92,112,132,152,18,38,58,78,98,118,138,158,17,37,57,77,97,117,137,157,160,164,168,172,176,180,184,188
Int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,String,String,String,String,String,String,String,String
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,3,0,0,0,0,0,0,"Kannst du mir vielleicht bei der Ernte zur Hand gehen? Wenn wir uns nicht beeilen, fressen die Opo-Opos alle Früchte auf.","Willst du dich als Erntehelfer betätigen?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","","","Worauf wartest du?","","Pah, ich finde schon jemand anderen, keine Sorge.",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"果実を持ってきてくれたのかい？","","","","ありがとう！","","おや、違うのかい。",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"果実を集めて持ってきてくれ！","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Ihr haltet euch wohl für besonders schlau? Wir werden euch das Wildern schon austreiben!","Komm schon, hilf uns! Nimm diesen Dreckskerlen Beweise ab, dass sie unerlaubt Tiere jagen!","Bist du bereit, Beweise zu sammeln?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","","Sehr gut! Dann los!","","Mist! Dann müssen wir die Sache selbst erledigen!",""
8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Hast du Beweise für das Wildern gefunden?","","","","Ausgezeichnet! Das lob ich mir. Immer weiter so, je mehr Beweise, desto besser.","","Hmpf. Falls du ganz zufällig doch auf was stößt, bring es mir. Je mehr Beweise, desto besser.",""
9,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Beweise brauchen wir, verstehst du? Sonst können wir diese Wilderer nicht überführen.","","","","","","",""
10,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Diese verdammten Gnome! Dass uns die Goblins die gesamte Ware abjagen würden!","He! Lass mal deine Abenteuer ruhen und hilf uns, unsere Waren zurückzuholen!","Beschaffst du die Waren wieder?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","","Recht so. Nur nicht zimperlich sein - die sind es schließlich auch nicht.","","Dein Gesicht merke ich mir, nur dass du's weißt.",""
11,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Was ist mit unserer Ware? Alles gesichert?","","","","Gut! Das ist aber noch nicht alles. Such weiter.","","Du traust dich mit leeren Händen zu mir? Allerhand.",""
12,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hol die gestohlenen Waren von den Goblins zurück!","","","","","","",""
13,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Du hast da aber einen interessanten Stein. Würdest du ihn mir überlassen?","Gibst du das Steinstück her?","","","Oh ja, das ist ein perfektes Stück von einem Golem. Sag, könntest du mir noch mehr bringen?","","Das ist wirklich schade. Du weißt gar nicht, wie sehr du der Wissenschaft mit den Golemsteinen helfen würdest!",""
14,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Steine aus dem Körper eines Golems ... Es muss Spuren der Veränderung geben, die der Funke des Lebens in dem einst toten Gestein hinterließ. Wenn ich sie fände ...!","Das Geheimnis des Lebens! Nur einige Golemsteine noch, und ich werde die Schöpfung verstehen. Hilf mir dabei!","","","","","",""
15,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Das dürfte ausreichen.","","","","","","",""
16,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hervorragend. Das müsste genug sein. Vielen Dank!","","","","","","",""
17,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Eins ... zwei ... Ist das alles? Na gut.","","","","","","",""
18,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Ja ... Das ist genau, was ich brauche. Es wird gelingen ...","","","","","","",""
19,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Darf ich dich kurz stören? ","Wir haben da bald so ein Training, und äh, wir müssen Gruppen bilden ... und gegen den Ausbilder antreten. Ein sadistischer Wahnsinniger! ","Und ... ich bin irgendwie übrig geblieben, und jetzt bräuchte ich unbedingt einen Partner, sonst kann ich mein Testament schreiben. Hilfst du mir ...?","Stellst du dich als Übungspartner zur Verfügung?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","","","Ach ... Wenn es doch diese blöden Gruppenübungen nicht geben würde! Ich bin geliefert.",""
20,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Die Baumschnecken in dieser Gegend machen den Honigbienen das Leben schwer.","Sie fressen alle Blüten ab und vermehren sich rasant! Sie werden gleich wieder hier einfallen, du wirst sehen.","Du fürchtest dich doch sicher nicht vor ein paar Schnecken, oder?","Willst du helfen, die Schnecken zu bekämpfen?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","Ah, vielen Dank. Ich wusste, dass du Mut hast. Uah, da glitschen sie schon heran ...!","","Wenn wir nichts unternehmen, ist der Bienenbestand ernsthaft gefährdet!",""
21,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Beseitige die Baumschnecken!","","","","","","",""
22,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Ah! Die Rettung! Du kommst gerade recht!","Spenser, dieser Trunkenbold, schlägt hier noch alles kurz und klein. Da wankt er eben noch ganz friedlich herum, und plötzlich rastet er aus!","Einen kleinen Stoß in die Rippen kann ich ja vertragen, aber langsam platzt mir die Hutschnur. Irgendwer muss dem Rüpel Manieren beibringen!","Willst du den Trunkenbold Spenser in die Schranken weisen?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","Ah, du bist ein Goldschatz! Pass auf, da kommt er schon! ","","Na ja, ist ja auch nicht dein Bier ... Bis er dich mal am Kragen hat! Du wirst schon sehen!",""
23,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Bring diesen Säufer zur Vernunft! ","","","","","","",""
24,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,3,0,0,0,0,0,0,0,"Willst du das Rotbauch-Nest betreten?","Eintreten?","","","","","",""
25,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Wir sind zur Bekämpfung von Wilderern hier. Anscheinend hatte die Bande, hinter der wir her sind, einen Handel mit den Goblins vor - an einem Lagerplatz südlich von hier.","Aber offenbar haben sie sich in die Haare gekriegt, hehe. Das ist die Gelegenheit zum Zuschlagen!","Und weil du nun schon hier bist, kannst du dich auch nützlich machen. Hilf uns, das ganze Pack zu beseitigen - Wilderer und Goblins.","Hilfst du mit?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>Empfohlene Stufe: <hex:022003E80203><hex:0249020103><hex:0248020103>","Das ist ein Wort! Los geht's!","","Für euch Abenteurer sind Recht und Ordnung Fremdwörter, was?",""
26,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Befrei den Wald von diesen üblen Subjekten!","","","","","","",""
27,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"調子にのったキキルンの闇商人どもが偽造品を売り歩いているらしい。（仮）","これ以上被害者を増やさないためにも、やつらが持っている偽造品を回収してきてくれないか？（仮）","偽造品を回収してきますか？（仮）","","よし、頼んだぞ！（仮）","","仕方ない、残念だ。（仮）",""
28,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"やつらから偽造品を回収してきたのか？（仮）","","","","よくやった。また見つけたら持ってきてくれ。（仮）","","そうか、見つけたらすぐ持ってきてくれ。（仮）",""
29,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"闇商人どもが持っている偽造品を回収してきてくれ！（仮）","","","","","","",""
