key,0,1,2,3
#,ClassSingular,Name,VoiceLine,ClassPlural
offset,12,0,8,4
Int32,String,String,UInt32,String
0,"","",0,""
1,"Academician","Alphinaud",8202013,"Akademiker"
2,"Red Mage","Alisaie",8202035,"Rotmagierin"
3,"Gunbreaker","Thancred",8202055,"Revolverklinge"
4,"Oracle of Light","Minfilia",8202072,"Orakel des Lichts"
5,"Astrologian","Urianger",8202092,"Astrologe"
6,"Sorceress","Y'shtola",8202105,"Hexe"
7,"Oracle of Light","Ryne",8202072,"Orakel des Lichts"
8,"Guard Captain","Lyna",8202146,"Kommandantin"
9,"All-Rounder","Kristallexarch",8202128,"Allrounder"
10,"All-Rounder","G'raha Tia",8202346,"Allrounder"
11,"Sage","Alphinaud",8203013,"Weiser"
12,"Dragoon","Estinien",8203064,"Dragoon"
13,"Lithomancer","Urianger",8202092,"Signa-Deuter"
14,"All-Rounder","Venat",8203122,"Allrounder"
15,"The Third Seat","Emet-Selch",8203219,"Der Dritte Sitz"
16,"Soulseer","Hythlodaeus",8203239,"Seelenseher"
17,"Marauder","Kühner Marodeur",0,"Marodeur"
18,"Lancer","Kühne Pikenierin",0,"Pikenierin"
19,"Thaumaturge","Kühne Thaumaturgin",0,"Thaumaturgin"
20,"Conjurer","Kühner Druide",0,"Druide"
21,"Marauder","Marodeur der Morgenröte",0,"Marodeur"
22,"Lancer","Pikenierin der Morgenröte",0,"Pikenierin"
23,"Thaumaturge","Thaumaturgin der Morgenröte",0,"Thaumaturgin"
24,"Conjurer","Druide der Morgenröte",0,"Druide"
25,"Marauder","Mahlstrom-Marodeur",0,"Marodeur"
26,"Lancer","Bruderschaftspikenierin",0,"Pikenierin"
27,"Thaumaturge","Legionsthaumaturgin",0,"Thaumaturgin"
28,"Conjurer","Bruderschaftsdruide",0,"Druide"
29,"Satrap","Varshahn",8203440,"Magistrat"
30,"Oracle of Frost","Ysayle",0,"Eisherz"
31,"Temple Knight","Tempelritter",0,"Ritter"
32,"Temple Banneret","Tempelritter-Bannerherr",0,"Bannerherr"
33,"Temple Chirurgeon","Tempelritter-Wundarzt",0,"Wundarzt"
34,"Chivalric Knight","Haurchefant",0,"Galanter Ritter"
35,"Poroggo","Pero Roggo",0,"Poroggo"
36,"Lord Commander","Aymeric",0,"Großmeister"
37,"Knight","Fortemps-Ritter",0,"Ritter"
38,"Banneret","Fortemps-Bannerherr",0,"Bannerherr"
39,"Archer","Fortemps-Bogenschützin",0,"Bogenschützin"
40,"Archon","Thancred",0,"Exeget"
41,"Memoriate","Zero",8203467,"Memoria-Erwählte"
42,"Archon","Y'shtola",0,"Exegetin"
43,"Marauder","Carvallain",0,"Marodeur"
44,"Pugilist","Lyse",0,"Faustkämpferin"
45,"Samurai","Gosetsu",0,"Samurai"
46,"Samurai","Hien",0,"Samurai"
47,"Shaman","Junge Mol",0,"Schamanin"
48,"Ninja","Yugiri",0,"Ninja"
49,"Samurai","Domanische Befreierin",0,"Samurai"
50,"Fushi","Domanischer Priester",0,"Priester"
51,"Gladiator","Befreiungskämpfer",0,"Gladiator"
52,"Pikedancer","Befreiungsarmee-Pikenier",0,"Pikenier"
53,"Gladiator","Arenvald",0,"Gladiator"
54,"Pugilist","Lyse",0,"Faustkämpferin"
55,"Champion Gladiator","Raubahn",0,"Gladiator"
56,"Lancer","J'moldva",0,"Pikenierin"
57,"Intrepid","Wuk Lamat",8205048,"Kriegerin"
58,"Viper","Zoraal Ja",8205115,"Viper"
59,"Innovator","Koana",8205098,"Reformator"
60,"Pictomancer","Krile",8205029,"Piktomantin"
61,"Zoemancer","Sphene",8206020,"Pneumantin"
