key,0,1
#,Slowly,Dialogue
offset,4,0
Int32,PackedBool0,String
0,False,""
1,False,""
2,False,"Kommt her, kommt alle!"
3,True,"Wir haben die besten<hex:02100103>Preise weit und breit!"
4,True,"Zzz ..."
5,False,"Gibt es Neuigkeiten<hex:02100103>aus dem Kaiserreich?"
6,False,"Unsere Späher sollten<hex:02100103>bald zurück sein."
7,False,"Eines Tages wird<hex:02100103>all dies mir gehören!"
8,False,"Dieser Wald ...<hex:02100103>Er beobachtet uns!"
9,False,"Nun spann mich nicht<hex:02100103>so auf die Folter."
10,False,"Dieser hier. Wir werden<hex:02100103>mit diesem beginnen."
11,False,"Du kannst dich nun ausruhen."
12,False,"Kweh! Kweeeh!"
13,False,"Gut gemacht.<hex:02100103>Erstatte umgehend der<hex:02100103>Waldschanze Bericht."
14,False,"Das müssen die<hex:02100103>Ixal gewesen sein."
15,False,"Die Markierungen<hex:02100103>stimmen überein."
16,False,"Erlaubt mir, Euch zu<hex:02100103>helfen, guter Herr."
17,False,"Ich muss bei Sonnen-<hex:02100103>untergang zurück in<hex:02100103>Limsa sein."
18,False,"Wo bei den Sieben Höllen<hex:02100103>ist diese Frau?"
19,False,"..."
20,False,"..."
21,False,"Zzz ..."
22,False,"Die Fremden können uns gestohlen bleiben. Die machen doch nur Ärger ..."
23,False,"Wo in Oschons Namen<hex:02100103>sind diese verdammten Ixal?"
24,False,"Das sind ein paar<hex:02100103>wirklich feine Vögel."
25,False,"Die Marktstände sind<hex:02100103>hinter dieser Passage."
26,False,"Kweh! Kweeeh!"
27,False,"Du schaffst es, Mädchen!<hex:02100103>Jetzt drrrücken!"
28,False,"Und wenn wir die<hex:02100103>Gebieter anflehen würden?"
29,False,"Lässt du dir etwa noch<hex:02100103>von deiner Mutter den<hex:02100103>Hintern abwischen?"
30,False,"Ihr wollt sicher wissen,<hex:02100103>wie ich hier<hex:02100103>rrraufgekommen bin,<hex:02100103>nicht wahr? "
31,False,"Stillstand reinigt den<hex:02100103>Geist von Unrat."
32,False,"Kweh! Kweh!"
33,False,"Was ist los, Mädchen?"
34,False,"Eins, zwei ..."
35,False,"Eure Worte sind mein<hex:02100103>Leben, Meister!"
36,False,"Zzz ..."
37,False,"Mein ganzer Körper stinkt<hex:02100103>nach Gizar-Blättern!"
38,False,"Aber der Wald war einst<hex:02100103>voll von ihnen!"
39,False,"Tut mir leid, meine Dame.<hex:02100103>Wir haben keine Walnüsse<hex:02100103>mehr."
40,False,"Bei den Göttern,<hex:02100103>mein Rücken!"
41,False,"Mützen rrrot,<hex:02100103>so gut wie tot.<hex:02100103>Mützen weiß,<hex:02100103>schmecken heiß!"
42,False,"Im Umgang mit den<hex:02100103>Sägen kann man gar nicht<hex:02100103>vorsichtig genug sein."
43,False,"Ein bisschen hier ab,<hex:02100103>ein bisschen dort ab ..."
44,False,"Du hast hier hinten<hex:02100103>nichts verloren, du!"
45,False,"Das wird eine gute<hex:02100103>Ernte dieses Jahr!"
46,False,"Ich schaffe es, ich<hex:02100103>sag's dir! Pass nur auf!"
47,False,"Du wirst wieder reinfallen."
48,False,"Folgt immer den Gebietern, meine Kinder."
49,False,"Aber wie soll ich ihnen<hex:02100103>folgen, wenn ich sie<hex:02100103>nicht hören kann?"
50,False,"♪♪♪"
51,False,"Was gäbe ich nur für einen<hex:02100103>guten Schluck Honigwein."
52,False,"Möge die Matrone diese<hex:02100103>fleißigen Bienen segnen."
53,False,"Nur noch ein paar<hex:02100103>Sonnenrunden jetzt."
54,False,"Ich hab dir doch gesagt,<hex:02100103>bleib in der Nähe!"
55,False,"Aber Mama!"
56,False,"Kommt schon, kommt alle!"
57,False,"Wir haben die besten<hex:02100103>Preise weit und breit!"
58,False,"Wir dürfen uns davon<hex:02100103>nicht beeindrucken lassen."
59,False,"Ich nehme an, du hast<hex:02100103>Recht."
60,False,"Alle Reisenden sind hier<hex:02100103>willkommen. Sogar du."
61,False,"Kweh ..."
62,False,"Verzeiht, mein Herr!<hex:02100103>Es wird nicht wieder<hex:02100103>vorkommen."
63,False,"Das will ich doch hoffen!"
64,False,"Einfach unglaublich!"
65,False,"Ruhe! Ihr stört<hex:02100103>die Zeremonie."
66,False,"Aufstehen!<hex:02100103>Wir sind noch nicht ferrrtig!"
67,False,"Aber meine Beine ...<hex:02100103>Sie sind ganz wabbelig!"
68,False,"Gnarr! Ha!"
69,False,"Vielleicht nimmt er<hex:02100103>es zu ernst ..."
70,False,"Knie gestreckt!<hex:02100103>Rücken gerade!"
71,False,"Jawohl, Sir!"
72,False,"Stirb, garstiger Ixal!"
73,False,"Arrrrgh! Ooooh!"
74,False,"Wie lange denn noch?<hex:02100103>Mir reicht's so langsam."
75,False,"Verschwindet, ihr<hex:02100103>widerlichen Geister!"
76,False,"Nun, es scheint ihr<hex:02100103>gut zu gehen."
77,False,"Sie hat die Seuche,<hex:02100103>ich sag's dir!"
78,False,"Ja, ich glaube, wir<hex:02100103>brauchen mehr Salz."
79,False,"Schneiden oder stechen?<hex:02100103>Ich kann mich nicht<hex:02100103>entscheiden!"
80,False,"Hört ihr beiden<hex:02100103>überhaupt zu?"
81,False,"..."
82,False,"...?"
83,False,"Dieser hier hütet<hex:02100103>die Flammen."
84,False,"♪ Das süße Lächeln der Sonne, die sanfte Brise der See ♪"
85,False,"♪♪♪"
86,False,"Hm, was sollte ich als<hex:02100103>Nächstes pflanzen ...?"
87,False,"Dieses Jahr habe ich<hex:02100103>die Formel geändert!"
88,False,"Ich wusste doch, dass<hex:02100103>die Blätter grüner aussehen!"
89,False,"Beta funktioniert viel<hex:02100103>besser als Alpha!"
90,False,"Der Vorarbeiter schaut<hex:02100103>noch immer her?<hex:02100103>Verdammt ..."
91,False,"Ich glaube, du hast dich<hex:02100103>für heute genug ausgeruht."
92,False,"Nur noch ein paar<hex:02100103>Minuten, ich schwöre!"
93,False,"Was denkst du denn!?"
94,False,"Warum hast du mich<hex:02100103>gefesselt?"
95,False,"91"
96,False,"Es ist der Wille des Waldes."
97,False,"Aber das ist nicht richtig!"
98,False,"Das arme Mädchen hat<hex:02100103>erst zwölf Sommer gesehen!"
99,False,"Ich flehe dich an ...<hex:02100103>Du musst etwas tun ..."
100,False,"Der Wald wacht über<hex:02100103>uns alle."
101,False,"Ob die Gebieter wohl mein<hex:02100103>Geschäft segnen würden?"
102,False,"Wir müssen uns beeilen!"
103,False,"Ich gehe nirgendwo hin,<hex:02100103>ehe ich etwas zu Trinken<hex:02100103>bekommen habe."
104,False,"Aber wir sind gerade<hex:02100103>erst angekommen!"
105,False,"..."
106,False,"Wir haben nichts getan,<hex:02100103>womit wir dieses Schicksal<hex:02100103>verdient hätten!"
107,False,"Was sagen die Gebieter<hex:02100103>zu der Ernte?"
108,False,"Warum lässt Gridania<hex:02100103>uns im Stich?"
109,False,"Mögen deine Wunden heilen."
110,False,"Vielen Dank, meine Dame!"
111,False,"Das ist ja furchtbar!"
112,False,"Coeurl sind hier<hex:02100103>eingedrungen und haben<hex:02100103>all unsere Küken gefressen!"
113,False,"Zehn Ponzen Mehl,<hex:02100103>vier Drachenschoten ..."
114,False,"Genau wie deine Augen,<hex:02100103>meine Liebste."
115,False,"Dieser Honigwein hier<hex:02100103>ist wahrlich göttlich."
116,False,"Wir können trotzdem<hex:02100103>Freunde bleiben, oder?"
117,False,"Ähm<hex:021D0103>... Denke schon, ja<hex:021D0103>..."
118,False,"<gähn>"
119,False,"Ich sage, lasst uns alle<hex:02100103>Fremden verbannen!"
120,False,"Die Saatseher sagen, wir<hex:02100103>müssen sie akzeptieren."
121,False,"Lass mich allein ..."
