key,0
#,
offset,0
Int32,String
0,""
1,"Unbekannte Gewässer erreicht. Nehme Kurs auf: <hex:02281AFF15>SubmarineExploration<hex:E8020103>."
2,"<hex:02281AFF15>SubmarineExploration<hex:E8020103> erreicht. Beginne die Erstuntersuchung."
3,"<hex:02281AFF15>SubmarineExploration<hex:E8020103> erreicht. Beginne die Unter<hex:02160103>such<hex:02160103>ung."
4,"Gewässer ruhig, Bedingungen optimal. <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103> der <hex:021A020203><hex:022903EA0203><hex:021A020103> ist ausreichend für die Erkundung des Zielorts. "
5,"Starke Strömung entdeckt. <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103> des Tauchboots ausreichend, aber eine Beeinträchtigung der Erkundung ist möglich."
6,"Submaritime vulkanische Aktivität entdeckt. <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103> des Tauchboots ausreichend, aber eine starke Beeinträchtigung der Erkundung ist wahrscheinlich."
7,"Gewässer ruhig. <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103> des Tauchboots ist im Normalbereich."
8,"Starke Strömung entdeckt. <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103> des Tauchboots ausreichend, aber eine starke Beeinträchtigung der Erkundung ist wahrscheinlich."
9,"<hex:02281BFF16>SubmarineSpecCategory<hex:E8030103> des Tauchboots sinkend. Setze Erkundung bis zum Erreichen des Grenzwerts fort."
10,"Hochwertige <hex:02320DFF05>Item<hex:06E80203050203> entdeckt. Beginne Extraktion nach Auswahl der optimalen Probe."
11,"Hochwertige <hex:02320DFF05>Item<hex:06E80203050203> entdeckt. Beginne Extraktion."
12,"<hex:022B13FF11><hex:02320DFF05>Item<hex:06E80203050203><hex:03> entdeckt. Beginne Extraktion."
13,"Vorzügliche <hex:02320DFF05>Item<hex:06E80203050203> entdeckt. Beginne Extraktion."
14,"Hervorragende Ausbeute aufgrund optimaler <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103>!"
15,"Unterdurchschnittliche Ausbeute aufgrund niedriger <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103>."
16,"Verschwindend geringe Ausbeute aufgrund minimaler <hex:02281BFF16>SubmarineSpecCategory<hex:E8030103>."
17,"<hex:024804F201F403><hex:024904F201F503><hex:022B14FF12><hex:02320EFF05>Item<hex:02E802E803050203><hex:03> erhalten!<hex:0249020103><hex:0248020103>"
18,"Vielversprechende Auffälligkeiten registriert. Setze Erkundung fort."
19,"Vielversprechende Auffälligkeiten registriert. Zustand des Tauchboots erlaubt jedoch keine weitere Erkundung. Kehre zur Werkstätte zurück."
20,"Keine weiteren Auffälligkeiten in diesem Gebiet gefunden."
21,"Unter<hex:02160103>such<hex:02160103>ung von Zielort „<hex:02281AFF15>SubmarineExploration<hex:E8020103>“ abgeschlossen. Die Leistung der <hex:021A020203><hex:022903EA0303><hex:021A020103> wurde als optimal bewertet!"
22,"Unter<hex:02160103>such<hex:02160103>ung von Zielort „<hex:02281AFF15>SubmarineExploration<hex:E8020103>“ abgeschlossen. Die Leistung der <hex:021A020203><hex:022903EA0303><hex:021A020103> wurde als gut bewertet!"
23,"Unter<hex:02160103>such<hex:02160103>ung von Zielort „<hex:02281AFF15>SubmarineExploration<hex:E8020103>“ abgeschlossen. Die Leistung der <hex:021A020203><hex:022903EA0303><hex:021A020103> wurde als zufriedenstellend bewertet."
24,"Unter<hex:02160103>such<hex:02160103>ung von Zielort „<hex:02281AFF15>SubmarineExploration<hex:E8020103>“ abgeschlossen. Die Leistung der <hex:021A020203><hex:022903EA0303><hex:021A020103> wurde als nicht ausreichend bewertet. Austausch von Bauteilen empfohlen."
25,"Unter<hex:02160103>such<hex:02160103>ung von Zielort „<hex:02281AFF15>SubmarineExploration<hex:E8020103>“ abgeschlossen. Die Leistung der <hex:021A020203><hex:022903EA0303><hex:021A020103> wurde als äußerst unzufriedenstellend bewertet."
26,"<hex:024804F201F603><hex:024904F201F703><hex:021A020203><hex:022903EA0203><hex:021A020103> hat <hex:022003E80303><hex:020814E4E80401FF01><hex:FF0C> (+<hex:022003E80403>%)<hex:03> Routine erhalten.<hex:0249020103><hex:0248020103>"
27,"Nehme Kurs auf nächsten Zielort: <hex:02281AFF15>SubmarineExploration<hex:E8020103>."
28,"Alle Zielorte untersucht. Kehre zur Werkstätte zurück."
29,"<hex:024804F201F603><hex:024904F201F703>Neuen potenziellen Zielort entdeckt: <hex:02281AFF15>SubmarineExploration<hex:E8020103>!<hex:0249020103><hex:0248020103>"
30,"<hex:024804F201F603><hex:024904F201F703>Erlaubnis zur Registrierung eines weiteren Tauchboots erhalten!<hex:0249020103><hex:0248020103>"
31,"<hex:024804F201F603><hex:024904F201F703>Neue Seekarte entdeckt: <hex:022812FF0D>SubmarineMap<hex:E8020103>!<hex:0249020103><hex:0248020103>"
