key,0,1
#,,
offset,4,0
Int32,UInt32,String
0,0,""
1,0,""
2,2,"Finde jemanden, der den Poncho gebrauchen könnte!"
3,3,"Begutachte die Säulen der Tuliyollal-Sage!"
4,4,"Begutachte die Säulen der Tuliyollal-Sage!"
5,5,"Was darf es Leckeres sein?"
6,0,""
7,7,"Sprich mit den Auktionsteilnehmern!"
8,8,"Hilf Picot dabei, in seine Rolle als Prinz Schwalbenschwanz zu schlüpfen!"
9,9,"Schau dich in Weddingways Traugarten um!"
10,10,"Erzähle Sphene mehr über die Stadt!"
11,11,"Gib die richtige Zahlenkombination ein!"
12,12,"Untersuche die Edelstein-Platte!"
13,13,"Bestaune die Natur um die Schillerstufen!"
14,0,""
15,15,"Sieh dich in den Gemächern um!"
16,16,"Sieh dich auf der Schattenflotte um!"
17,17,"Sieh dich in den Gemächern um!"
