key,0,1,2,3,4,5,6,7,8,9
#,Singular,Adjective,Plural,PossessivePronoun,StartsWithVowel,Countability,Pronoun,Article,NameRank,
offset,0,16,4,17,18,19,20,21,8,12
Int32,String,Int8,String,Int8,Int8,Int8,Int8,Int8,String,String
0,"",0,"",0,0,0,0,0,"",""
1,"Legionärin 3. Klasse",3,"Legionärinnen 3. Klasse",1,0,1,1,0,"Legionärin","Legionärin 3. Klasse"
2,"Legionärin 2. Klasse",3,"Legionärinnen 2. Klasse",1,0,1,1,0,"Legionärin","Legionärin 2. Klasse"
3,"Legionärin 1. Klasse",3,"Legionärinnen 1. Klasse",1,0,1,1,0,"Legionärin","Legionärin 1. Klasse"
4,"Phönixlegionärin",3,"Phönixlegionärinnen",1,0,1,1,0,"Phönixlegionärin","Phönixlegionärin"
5,"Legionsgefreite 3. Klasse",8,"Legionsgefreite 3. Klasse",2,0,1,1,0,"Legionsgefreite","Legionsgefreite 3. Klasse"
6,"Legionsgefreite 2. Klasse",8,"Legionsgefreite 2. Klasse",2,0,1,1,0,"Legionsgefreite","Legionsgefreite 2. Klasse"
7,"Legionsgefreite 1. Klasse",8,"Legionsgefreite 1. Klasse",2,0,1,1,0,"Legionsgefreite","Legionsgefreite 1. Klasse"
8,"Phönixgefreite",8,"Phönixgefreite",2,0,1,1,0,"Phönixgefreite","Phönixgefreite"
9,"Zweiter Legionsfähnrich",4,"Zweite Legionsfähnriche",2,0,1,0,0,"Legionsfähnrich","Zweiter Legionsfähnrich"
10,"Erster Legionsfähnrich",4,"Erste Legionsfähnriche",2,0,1,0,0,"Legionsfähnrich","Erster Legionsfähnrich"
11,"Phönixfähnrich",4,"Phönixfähnriche",2,0,1,0,0,"Phönixfähnrich","Phönixfähnrich"
12,"Zweite Legionshauptmann",3,"Zweite Legionshauptmänner",1,0,1,1,0,"Legionshauptmann","Zweite Legionshauptmann"
13,"Erste Legionshauptmann",3,"Erste Legionshauptmänner",1,0,1,1,0,"Legionshauptmann","Erste Legionshauptmann"
14,"Phönixhauptmann",3,"Phönixhauptmänner",1,0,1,1,0,"Phönixhauptmann","Phönixhauptmann"
15,"Major der Legion",4,"Majore der Legion",2,0,1,0,0,"Major","Major der Legion"
16,"Oberst der Legion",4,"Obersts der Legion",1,0,1,0,0,"Oberst","Oberst der Legion"
17,"Generalmajor der Legion",4,"Generalmajore der Legion",2,0,1,0,0,"Generalmajor","Generalmajor der Legion"
18,"General der Legion",4,"Generäle der Legion",2,0,1,0,0,"General","General der Legion"
19,"Phönixgeneral",4,"Phönixgeneräle",2,0,1,0,0,"Phönixgeneral","Phönixgeneral"
