key,0,1,2,3
#,Category,,Level,Description
offset,12,4,8,0
Int32,UInt8,UInt32,UInt32,String
0,0,5,0,"Nach dem Abschluss von mindestens zwei Dungeons aus dem neuesten Patch verfügbar."
1,0,8,0,""
2,0,1,0,""
3,1,1252,0,""
4,2,1281,11875001,"Nach dem Abschluss des entsprechenden Tiefen Gewölbes und dem Fortschreiten in den Nebenaufträgen des Crystariums verfügbar."
5,2,1311,11875001,"Nach dem Freischalten des obigen Inhalts und dem Abschluss des zugehörigen Auftrags verfügbar."
6,3,1315,0,"Nach dem Fortschreiten durch den entsprechenden Auftrag in Alt-Sharlayan verfügbar."
7,3,1316,0,"Nach dem Abschluss des obigen Inhalts und dem Sprechen mit dem entsprechenden NPC verfügbar."
8,3,1317,0,"Nach dem Abschluss des obigen Inhalts und dem Sprechen mit dem entsprechenden NPC verfügbar."
9,4,1320,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar."
10,4,1322,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar."
11,4,1324,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar."
12,4,1326,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des entsprechenden Raids verfügbar."
13,4,1321,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar."
14,4,1323,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar."
15,4,1325,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar."
16,4,1327,0,"Nach dem Fortschreiten durch die Chroniken der neuen Ära von „Dawntrail“ und dem Freischalten des epischen Raids bei dem entsprechenden NPC verfügbar."
17,5,1308,0,"Nach dem Fortschreiten durch das Hauptszenario von „Dawntrail“, dem Abschluss der Prüfung und dem Freischalten der entsprechenden schwierigen Prüfung bei dem Fahrenden Sänger verfügbar."
18,6,1187,0,""
19,6,1188,0,""
20,6,1189,0,""
21,6,1190,0,""
22,6,1191,0,""
23,6,1192,0,""
