key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
#,Level,MinLevel,MaxLevel,Emote,IsInitial,,MinTime,MaxTime,PlaceName,IconList,IconDiscovered,IconUndiscovered,,Name,Impression,Description
offset,12,16,42,36,43,44,38,40,20,24,28,32,45,0,4,8
Int32,Int32,Int32,UInt8,UInt16,UInt8,UInt8,UInt16,UInt16,Int32,Int32,Int32,Int32,PackedBool0,String,String,String
2162688,4876856,0,0,22,1,2,800,1159,27,81501,81001,81451,True,"Barrakuda-Pier","Zu Füßen dieses Händlers liegen drei Kriegsschiffe. Mit ihren leuchtend roten Segeln verkörpern sie die geballte Kampfkraft der Meeresmetropole.","So stolze Schiffe wie die <hex:021A020203>Triumph<hex:021A020103>, Flaggschiff der Kriegsflotte des Mahlstroms und Stolz von Limsa Lominsa, liegen hier vor Anker. Nicht für jedermann zugänglich, aber umso malerischer."
2162689,4876859,0,0,22,1,1,1800,459,27,81502,81002,81451,True,"Die <hex:021A020203>Astalicia<hex:021A020103>","Frei wie ein Freibeuter! Mit einem kräftigen Schluck gestärkt ist auch der ungebärdigste Kontrahent auf See nur ein kleines Blättchen im Ozean - doch Hochmut kommt vor dem Fall. Vielleicht schon am nächsten Morgen.","Die Galeone der berüchtigten „Henkershorde“. Obgleich als Handelsschiff von Übersee getarnt, ist es ein offenes Geheimnis, dass dies Hyllfyrs Hauptquartier und Treffpunkt von Piraten aller Lager ist. "
2162690,4876905,0,0,58,0,7,500,759,30,81503,81003,81451,True,"Monument in der Klagegrotte","Das tägliche Ritual des Fischers vor der ersten Ausfahrt im kühlen Dämmerlicht der Höhle - ein stilles Gedenken an die verunglückten Kameraden, die begleitet vom Widerhall der Wassertropfen in das Requiem der Seeleute einzustimmen scheinen.","Ich bin die Welle, die mich auf dem Rücken trägt, ich bin der Wind, der Gischt auf alle Wellen schlägt. Ich bin die tausend Sterne hoch am Firmament, das Morgenrot, dem Meer geboren, bis es mich im Tod umfängt."
2162691,4876907,0,0,22,1,2,1200,1659,30,81504,81004,81451,True,"Himmelszug","Das Verladen der Waren ist Knochenarbeit. In einer kleinen Pause lässt der Arbeiter gerne die Gedanken schweifen - in die Ferne, vorbei an den Lastenballons im blauen Himmel, bis an den Horizont und weiter, immer weiter.","Der durch die Siebte Katastrophe aufgebrochene „Abstieg“ teilt La Noscea quer von Norden nach Süden. Ohne den Lastenheber des Himmelszugs wäre die gigantische Felswand für schwere Lasten kaum zu überwinden."
2162692,4876912,0,0,22,0,3,800,1159,30,81505,81005,81451,True,"La Thagran-Landstraße","Ein Wachsoldat in einem kurzen Moment der Muße. Gerade wenn der graue Himmel aufs Gemüt drückt, soll man sich hohe Ziele für den Tag stecken. Der Blick auf die alte Straße ruft die enorme Leistung der Pioniere in Erinnerung, die diese Route einst erschlossen.","Diese Fernstraße vom zentralen ins östliche La Noscea ist nach dem früheren Seefahrer Guy La Thagran benannt, der in der Siedlerzeit gemeinsam mit seinem Kameraden Jean De Nevelle Vylbrand erforschte und vermaß."
2162693,4876920,0,0,22,1,2,1800,459,31,81508,81008,81451,True,"Salzstrand","Ein Fischer hat unter dem Schutz Oschons, des Wanderers, noch immer seine Leine ausgeworfen. Zu seinen Füßen erstreckt sich die bizarre Salzwüste, die an die große Tragödie vor fünf Jahren gemahnt.","Dalamud-Fragmente durchtrennten hier beim Einschlag große Äther-Adern, wodurch denaturierte Kristalle entstanden, die mit dem Meerwasser reagierten und mannigfaltige Salzformationen entstehen ließen."
2162694,4876921,0,0,22,0,4,500,759,31,81509,81009,81451,True,"Felder der Gockelburg","Der frühe Morgen ist des Feldarbeiters Mittag. Von oberhalb des Tores die geheimnisvoll verschleierten Felder zu überblicken, erfrischt den Geist und die Glieder wie nichts anderes.","Die Gockelburg ist ein Versuchsbauernhof, der sich der Veredelung von Feldfrüchten und der Dodo- und Schafzucht verschrieben hat. Der Name stammt von den Hahnenkämpfen, die wie Ritterturniere aufgezogen wurden."
2162695,4876926,0,0,22,1,2,500,759,33,81513,81013,81451,True,"Leuchtturm Braubake","Azurblauer Himmel, tiefblaues Meer: Das ist die majestätische Kulisse, die sich dem Wärter darbietet, sobald die Arbeit getan und das Leuchtfeuer gelöscht ist. Sind die Schiffe sicher vorüber, gibt es nichts Schöneres als ein Bier vor diesem atemberaubenden Ausblick.","Braubake - der Name deutet die Zugehörigkeit zu Bierhafen an - wurde nach dem Einsturz des Tölpelturms errichtet. Von hoch oben blickt man auf die Wellenbrecher, die die Küste vor Flutwellen schützen."
2162696,4868036,0,0,22,0,3,1200,1659,39,81527,81027,81452,True,"Gerbergilde","Von diesem hohen Beobachtungsposten aus hatte der Gerber als Kind das Tun in der Werkstatt bestens im Blick. Besonders stimmungsvoll fand er es hier, wenn sich draußen der Himmel mit Wolken zuzog.","Die gridanischen Gerber verarbeiten mit hoher Kunst<hex:02160103>fer<hex:02160103>tig<hex:02160103>keit die Materialien, die der Wald ihnen bietet, und verkaufen ihre Waren im Atelier Fen-Yll. Für die beliebtesten Stücke gibt es Wartelisten, so groß ist der Andrang."
2162697,4876928,0,0,22,1,1,1800,459,39,81528,81028,81452,True,"Apkallu-Fälle","Manchmal, wenn er eigentlich im Bett sein müsste, stiehlt sich der Dreikäsehoch aus dem Haus, rennt den geheimen Weg entlang und betrachtet den Wasserfall von oben, wo kein Erwachsener sich je hinaufbegeben würde.","Der beschauliche Wasserfall hat seinen Namen von den ersten Siedlern, die hier Apkallu-Vögel züchteten. Der Ort ist dafür bekannt, dass der Weise Louisoix sich gerne zum Nachdenken hierher zurückzog."
