key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
offset,11,23,35,47,59,71,8,20,32,44,56,68,0,12,24,36,48,60,9,21,33,45,57,69,10,22,34,46,58,70,4,16,28,40,52,64,72,76,80,84,88,92
Int32,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int32,Int32,Int32,Int32,Int32,Int32,String,String,String,String,String,String
0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,False,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Hast du die Ware?","Danke sehr!","Hm ...","0","0","0"
2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Hallihallo! Hast du die Lieferung fertig? Immer her mit dem Zeug.","Besten Dank!","Dann mal los!","Könnte ich noch mehr davon bekommen?","Na gut. Aber sag Bescheid, wenn du es dir anders überlegst.","Vielen Dank für alles!"
3,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Bist du nicht das Handwerker-Genie, dem ich letzthin einen Freibrief übertragen habe? Dann gib mal her, was du fabriziert hast.","Huh, erstaunlich. Auf dich ist ja Verlass. Dann nimm, was du dir verdient hast. Hier, bitte.","Kann man sich auf gar nichts mehr verlassen? Ich habe geduldig auf deine Lieferung gewartet, und was hab ich davon?","0","0","0"
4,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, da kommt ja meine Lieferung! Ein Glück! Hast du auch alles dabei?","Vielen Dank. Du hast mir einen großen Gefallen getan. Hier, dein Lohn.","Noch nicht? Bitte beeil dich, es ist wirklich dringend.","0","0","0"
5,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, dein Kommen wurde mir schon angekündigt. Hast du mitgebracht, was ich benötige?","Hervorragende Arbeit. Wirklich hervorragend.","Sicher haben dich dringliche An<hex:02160103>ge<hex:02160103>legen<hex:02160103>heiten von der Ausführung des Auftrags abgehalten. Wenn du Zeit findest, bitte denk an uns.","Könntest du womöglich noch etwas Zeit für uns erübrigen? Ich würde ja gerne noch etwas in Auftrag geben ...","Es gibt Abenteuer, die auf dich warten? Dann komm bitte wieder, wenn du mehr Zeit hast, ja?","Ich danke dir von ganzem Herzen. Hoffentlich kreuzen sich unsere Pfade bald wieder."
6,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Du bist wegen des Auftrags hier? Gut. Dann zeig mir die Ware.","Lass mal sehen ...<hex:02100103>Hmm ... Ja, das wird wohl genügen. Hier hast du deine Bezahlung.","Solange du hier nicht mit der bestellten Ware aufkreuzt, haben wir nichts zu besprechen.","Wenn du nach mehr Arbeit suchst, könntest du noch mehr für mich herstellen. Interesse?","Also gut. Du weißt ja, wo du mich finden kannst.","Ich habe zu danken. Du warst mir tatsächlich eine große Hilfe."
