key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,Name,,,,OutputType,,,,BalloonTime,IsBalloonSlow,BattleTalkTime,,,Text,
offset,12,26,26,26,22,23,16,4,8,26,26,24,25,0,20
Int32,UInt32,PackedBool0,PackedBool1,PackedBool2,UInt8,UInt8,UInt32,Float32,Float32,PackedBool3,PackedBool4,UInt8,UInt8,String,UInt16
0,0,False,False,False,1,0,0,0,1,False,False,1,25,"0",0
1,0,False,False,False,3,0,0,0,1,False,False,1,25,"0",0
2,0,False,False,False,3,0,0,0,5,False,False,1,25,"0",0
3,0,False,False,False,3,0,0,0,5,False,False,1,25,"Psst! Die Anolis kommen immer näher ...!",0
4,0,False,False,False,3,0,0,0,5,False,False,1,25,"Kein einziger Imp darf entkommen!",0
5,0,False,False,False,3,0,0,0,5,False,False,1,25,"Verdammt, es sind zu viele!",0
6,0,False,False,False,3,0,0,0,5,False,False,1,25,"Die Schnaken! Sie sind überall!",0
7,0,False,False,False,3,0,0,0,5,False,False,1,25,"Die Sylphen kommen, haltet euch bereit!",0
8,0,False,False,False,3,0,0,0,5,False,False,1,25,"Oh nein, es werden immer mehr!",0
9,0,False,False,False,3,0,0,0,5,False,False,1,25,"Wir werden für Sicherheit auf den Straßen sorgen!",0
10,0,False,False,False,3,0,0,0,5,False,False,1,25,"Denen werden wir's zeigen ... ",0
11,0,False,False,False,3,0,0,0,5,False,False,1,25,"Sie sind hinter den Bohnen her!",0
12,0,False,False,False,3,0,0,0,5,False,False,1,25,"Die Ixal! Zu Hilfe!",0
13,0,False,False,False,3,0,0,0,5,False,False,1,25,"Seit wann kommen die Ziz in diese Gegend?!",0
14,0,False,False,False,3,0,0,0,5,False,False,1,25,"Da kommen sie schon wieder!",0
15,0,False,False,False,3,0,0,0,5,False,False,1,25,"Sieh dich vor, die Opo-Opos drehen durch!",0
16,0,False,False,False,3,0,0,0,5,False,False,1,25,"Bei den Höllen ... Zeit, die Taktik zu ändern!",0
17,0,False,False,False,3,0,0,0,5,False,False,1,25,"Bringt sie um! ",0
18,0,False,False,False,3,0,0,0,5,False,False,1,25,"Kann uns vielleicht jemand helfen?!",0
19,0,False,False,False,3,0,0,0,5,False,False,1,25,"Meine Waren! Die Goblins haben meine Waren!",0
20,0,False,False,False,3,0,0,0,5,False,False,1,25,"Sieh dir all diese Golems an!",0
21,0,False,False,False,3,0,0,0,5,False,False,1,25,"Noch mehr Imps. Das gibt's doch nicht!",0
22,0,False,False,False,3,0,0,0,5,False,False,1,25,"Wenn das so weitergeht, sind bald gar keine Blüten mehr übrig!",0
23,0,False,False,False,3,0,0,0,5,False,False,1,25,"Haltet sie auf!",0
24,0,False,False,False,3,0,0,0,5,False,False,1,25,"Schaff mir einer diesen Typen vom Hals!",0
25,0,False,False,False,3,0,0,0,5,False,False,1,25,"Aus dem Weeeg!",0
26,0,False,False,False,2,0,0,0,5,False,False,1,25,"Ngaaah!",0
27,0,False,False,False,2,0,0,0,5,False,False,1,25,"Haah!",0
28,0,False,False,False,2,0,0,0,5,False,False,1,25,"Stirb schon!",0
29,0,False,False,False,2,0,0,0,5,False,False,1,25,"Hngg ...",0
30,0,False,False,False,2,0,0,0,5,False,False,1,25,"Versuch das nicht<hex:02100103>noch mal, du ...!",0
31,0,False,False,False,2,0,0,0,5,False,False,1,25,"Du gehörst mir!",0
32,0,False,False,False,2,0,0,0,5,False,False,1,25,"Na los, wer will es mit mir aufnehmen?!",0
33,0,False,False,False,2,0,0,0,5,False,False,1,25,"Was ist, willst du mehr?",0
34,0,False,False,False,2,0,0,0,5,False,False,1,25,"Raaaaaaaah!",0
35,0,False,False,False,2,0,0,0,5,False,False,1,25,"Das war's, mieses Gesindel!",0
36,0,False,False,False,2,0,0,0,5,False,False,1,25,"Aus dem Weg!",0
37,0,False,False,False,2,0,0,0,5,False,False,1,25,"Ich mach dich fertig!",0
38,0,False,False,False,2,0,0,0,5,False,False,1,25,"Lass uns ein wenig Spaß haben!",0
39,0,False,False,False,2,0,0,0,5,False,False,1,25,"Du wünschst eine Audienz beim König der Könige?",0
40,0,False,False,False,2,0,0,0,3,False,False,1,25,"Knie nieder vor deinem König!",0
41,0,False,False,False,2,0,0,0,3,False,False,1,25,"Ich will dich singen hören!",0
42,0,False,False,False,2,0,0,0,3,False,False,1,25,"Komm doch näher!",0
43,0,False,False,False,2,0,0,0,5,False,False,1,25,"Du wagst es ...!",0
44,0,False,False,False,2,0,0,0,5,False,False,1,25,"Das ist höchst impertinent.",0
45,0,False,False,False,2,0,0,0,3,False,False,1,25,"Tanzt für euren König!",0
46,0,False,False,False,2,0,0,0,3,False,False,1,25,"Ist es das, was du willst?",0
47,0,False,False,False,2,0,0,0,3,False,False,1,25,"Sieh her ...",0
48,0,False,False,False,2,0,0,0,5,False,False,1,25,"Was gibbssa ssu tuscheln, ihr Baum...sschnecken!",0
49,0,False,False,False,2,0,0,0,5,False,False,1,25,"Ssswerden wir schonnichs ... letzte Mal, kapiert?! Hick!",0
50,0,False,False,False,2,0,0,0,5,False,False,1,25,"Gahahah! Hick! Wer will als Nächssses?",0
51,0,False,False,False,2,0,0,0,5,False,False,1,25,"Kann man hier nicht mal in Frieden seinen Met trinken?",0
52,0,False,False,False,2,0,0,0,3,False,False,1,25,"Hassu ... 'n Prolll...Bl...Prollem?! Was?",0
53,0,False,False,False,2,0,0,0,3,False,False,1,25,"Heilllle Scheiße! Hick!",0
54,0,False,False,False,2,0,0,0,5,False,False,1,25,"Die Meinige ist bereit!",0
55,0,False,False,False,2,0,0,0,5,False,False,1,25,"Es geht los!",0
