key,0,1,2
#,Image,Name,Text
offset,8,0,4
Int32,UInt32,String,String
0,0,"",""
1,0,"",""
2,0,"",""
3,0,"",""
4,0,"",""
5,0,"",""
6,0,"",""
7,0,"",""
8,0,"",""
9,0,"",""
10,0,"",""
11,86902,"What Transporting Entails","Certain duties require the transporting of items to a designated location.<hex:02100103><hex:02100103>While carrying out such tasks, use of actions will be restricted, and you will be granted the <hex:024804F201FA03><hex:024904F201FB03>Transporting<hex:0249020103><hex:0248020103> status effect.<hex:02100103><hex:02100103>You must be wary of attacks, as they will sap your strength."
12,86903,"Losing the Transporting Status","You will lose the Transporting status when the effect duration expires or you change areas. In such cases, you may return to the starting location and begin anew."
13,86904,"What Transparent Entails","During certain duties, you may gain the <hex:024804F201FA03><hex:024904F201FB03>Transparent<hex:0249020103><hex:0248020103> status effect, which restricts available actions but allows you to pass by most enemies undetected. Use this invisible state to reach your destination before the effect expires."
14,86905,"Losing the Transparent Status","You will lose the Transparent status when the effect duration expires or you change areas, causing nearby enemies to detect you and preventing quest progression.<hex:02100103><hex:02100103>You may return to the starting location at any time to refresh the duration of the Transparent status. If it has already expired, it will be granted anew."
15,86906,"What Escorting Entails","Certain duties require that one or more NPCs accompany you in order to proceed with quest objectives.<hex:02100103><hex:02100103>You must keep them at your side and make your way to a designated location."
16,86906,"What Escorting Entails","So long as you remain in the same area, NPCs accompanying you will remain at your side even when using Teleport or the Aethernet.<hex:02100103><hex:02100103>It is possible to ride mounts or swim while escorting NPCs. Please note, however, they will not appear at your side until you dismount or leave the water."
17,86907,"What Escorting Entails","You may also speak with NPCs while escorting them. Furthermore, you may encounter “conversation points” along the way which offer additional topics of discussion. These points will also be indicated on your map."
18,86908,"Parting Ways with NPCs","When speaking with NPCs, you will be given the option to part ways. You will also part ways automatically when changing areas.<hex:02100103><hex:02100103>If you part ways with an NPC, you may return to the starting point and speak with them to try again."
19,86909,"What Following Entails","Certain duties require you to follow an NPC to a designated location. Should you fall too far behind, the NPC will return to the starting point, and you must speak with them to try again."
20,86910,"What Sneaking Entails","Certain duties require you to follow an NPC and approach without being seen. Should you be detected, you must return to the starting point and try again."
21,86911,"Avoiding Detection","The indicator shown in the image above indicates that you risk being seen should the NPC you're following turn around."
22,86912,"Avoiding Detection","The indicator shown in the image above indicates that you risk being seen should you be standing too close to the NPC."
23,86913,"What Transformation Entails","Certain duties require you to transform into creatures or other people, restricting available actions. These transformations only last a limited time, indicated by the <hex:024804F201FA03><hex:024904F201FB03>Transfiguration<hex:0249020103><hex:0248020103> status effect."
24,86914,"Losing the Transfiguration Status","Should the Transfiguration status effect expire, or you stray too far from the objective, you will be returned to your original form.<hex:02100103><hex:02100103>You may return to the starting location at any time to refresh the duration of the Transfiguration status. If it has already expired, it will be granted anew."
25,86915,"What Guises Entail","Certain duties require you to don a disguise to complete quest objectives. You may only remain disguised for a limited time, indicated by the <hex:024804F201FA03><hex:024904F201FB03>Guise<hex:0249020103><hex:0248020103> status effect."
26,86916,"Losing the Guise Status","Should the Guise status effect expire, or you stray too far from the objective, you will lose your disguise.<hex:02100103><hex:02100103>You may return to the starting location at any time to refresh the duration of the Guise status. If it has already expired, it will be granted anew."
27,86917,"What Guarding Entails","Certain duties require that you escort an NPC to a designated location while guarding them from enemy attacks. Should you stray too far from the NPC or they are attacked, they will stop moving."
28,86918,"Failing to Guard an NPC","The escort attempt will fail if the NPC is incapacitated, you stray too far from them, or you change areas. In the event of failure, you may return to the starting point and try again."
29,86919,"Step One: Accumulate 100 TP","To grasp the fundamentals of working with familiars, first try to complete an instinctual combo with your Cu Sith.<hex:02100103><hex:02100103>Familiars accumulate TP via their auto-attacks, and beastmasters accumulate TP by completing weaponskill combos. Once you and your Cu Sith each have 100 TP, you are ready to perform an instinctual combo."
30,86920,"Step Two: Complete the Instinctual Combo","Order your Cu Sith to perform its <hex:024804F201F403><hex:024904F201F503>Trick<hex:0249020103><hex:0248020103>. Then, <hex:024804F201FA03><hex:024904F201FB03>within seven seconds<hex:0249020103><hex:0248020103>, execute the beastmaster action <hex:024804F201F403><hex:024904F201F503>Avalanche Axe<hex:0249020103><hex:0248020103>. This will complete a <hex:024804F201FA03><hex:024904F201FB03>Rampant<hex:0249020103><hex:0248020103> instinctual combo!<hex:02100103><hex:02100103>You may complete instinctual combos with any familiar, and may trigger different actions depending on the skills used."
31,86920,"Working in Tandem","By working together, a beastmaster and their familiar can chain <hex:024804F201FA03><hex:024904F201FB03>instinctual skills<hex:0249020103><hex:0248020103>, which expend TP, to complete special combos that deal additional damage. Either a beastmaster or their familiar can be first to strike, but the combo must be completed <hex:024804F201FA03><hex:024904F201FB03>within seven seconds<hex:0249020103><hex:0248020103>."
32,86920,"That Striking Dummy's Always Looking at Me...","Attacking a striking dummy will pull its attention and engage you in combat. When you have finished practice, target the striking dummy and select <hex:024804F201F403><hex:024904F201F503>Reset Striking Dummy Enmity<hex:0249020103><hex:0248020103> via the subcommand menu to put it to rest."
33,86919,"Step One: Accumulate 100 TP","To extend your knowledge of working with familiars, first try to complete an intentional combo with your Cu Sith.<hex:02100103><hex:02100103>As with instinctual combos, beastmasters and their familiars will each need to accumulate 100 TP. Complete beastmaster weaponskill combos and let your Cu Sith auto-attack until you both have 100 TP."
