key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,Pet,,,,,Action,LocationKey,Location,,,,,,,,,,,,,,,,,,,
offset,16,24,25,26,12,20,27,22,0,4,8,33,34,35,36,37,38,39,40,41,42,43,28,29,30,31,32
Int32,Int32,UInt8,UInt8,UInt8,UInt32,UInt16,UInt8,UInt16,String,String,String,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,Bool,UInt8,UInt8,UInt8,UInt8,UInt8
0,0,0,0,1,0,0,0,0,"","","",False,False,False,False,False,False,False,False,False,False,False,0,0,0,0,0
1,47,1,42,3,242001,45187,0,0,"イルサバード大陸原産の肉食獣。かつてはランディス地方に大きな生息圏が存在したが、ガレマール帝国の統治下で急激に個体数を減らし、今では幻と呼ばれるほど。同地では、仲間への愛情深き獣として知られている。","物理斬属性ダメージ","敵に6回攻撃物理斬属性ダメージ",False,False,False,False,False,False,False,False,False,False,False,100,91,100,79,100
2,48,1,35,3,242002,48643,1,54,"世界各地に分布する、発達した門歯を持つゲッ歯類。基本的には果樹園や穀倉を荒らす害獣だが、地神ノフィカのしもべとして庶民に親しまれており、絵画や木彫り細工のモチーフとしてもよく用いられているようだ。","魔法火属性ダメージ","味方にヘイスト",False,False,False,False,False,False,False,False,False,False,False,91,100,91,91,91
3,49,1,21,4,242003,45188,1,30,"大氷雪時代に家畜化された羊。品種改良が重ねられた結果、綿花のように丸々と毛を蓄えるようになっており、家畜として確固たる地位を築いている。首にベルを下げていたなら、それは牧場から逃げ出した個体だろう。","物理打属性ダメージ","敵に睡眠＋味方に睡眠耐性向上",False,False,False,False,False,False,False,True,False,False,False,82,82,82,82,82
4,50,5,45,2,242004,48648,1,30,"ガス嚢で身体を浮かせ、大きなヒレで掻くようにして進むことで、水辺に進出した陸魚。河川に棲む魚を捕らえるために、細長い口吻を持つ。縄張り意識が強いため、漁場と定めた場所からは決して逃げ出さない。","魔法水属性ダメージ","味方に被魔法ダメージ軽減＋麻痺耐性向上",False,False,False,False,False,False,False,False,False,False,False,100,100,100,100,100
5,52,1,18,3,242005,49696,1,57,"森林地帯に棲息する猿。ボスを中心に数十頭からなるコロニーを築く、社会性を持ち合わせている。非常に賢いため、作物を狙われる農家からするとやっかいな相手である一方、飼い慣らせば心強い友となるだろう。","物理打属性ダメージ","敵に魔法無属性ダメージ＋麻痺",False,False,True,False,False,False,False,False,False,False,False,97,97,97,97,76
6,53,3,5,2,242006,48647,1,31,"マズラヤ島を原産地とする、飛翔力のない大型鳥。食用に向き、特に胸肉が美味だが、毒性の分泌物を噴出するため、飼育の際には毒腺を切除する必要がある。各地に広がる過程で、羽毛の色が異なる品種が派生した。","魔法土属性ダメージ＋暗闇","味方に土属性耐性アップ＋暗闇耐性向上",False,False,False,False,True,False,False,False,False,False,False,91,91,100,100,100
