key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Name,NameShort,NameFemale,Description,NameEnglish,LevelMax,JobIndex,LevelUnlock[0],Action[0],LevelUnlock[1],Action[1],LevelUnlock[2],Action[2],LevelUnlock[3],Action[3],LevelUnlock[4],Action[4]
offset,0,4,8,12,16,40,41,42,20,43,24,44,28,45,32,46,36
Int32,String,String,String,String,String,UInt8,UInt8,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32,UInt8,UInt32
0,"サポートすっぴん","Ph. Freelancer","","ある冒険者の出発点にして終着点の記憶。
探索に便利なサポートアクションを修得する。","Phantom Freelancer",24,24,5,41650,10,41651,15,46606,20,49102,0,0
1,"サポートナイト","Ph. Knight","","ある騎士の忠誠心と名誉の記憶。
味方の被害を減らすサポートアクションを修得する。","Phantom Knight",6,1,1,41588,2,41589,3,41590,6,41591,0,0
2,"サポートバーサーカー","Ph. Berserker","","ある狂戦士の蛮勇と熱狂の記憶。
ハイリスクハイリターンなサポートアクションを修得する。","Phantom Berserker",3,7,1,41592,2,41594,0,0,0,0,0,0
3,"サポートモンク","Ph. Monk","","ある僧侶の修行と瞑想の記憶。
攻撃に長けたサポートアクションを修得する。","Phantom Monk",6,2,1,41595,2,41596,3,41597,5,41598,0,0
4,"サポート狩人","Ph. Ranger","","ある狩人の誇りと慈愛の記憶。
動物たちの力を借りるサポートアクションを修得する。","Phantom Ranger",6,8,1,41599,2,41600,4,41601,6,41602,0,0
5,"サポート侍","Ph. Samurai","","ある侍の武士道と鍛錬の記憶。
一撃必殺のサポートアクションを修得する。","Phantom Samurai",5,6,1,41603,2,41604,3,41605,4,41606,0,0
6,"サポート吟遊詩人","Ph. Bard","","ある吟遊詩人の詩想と熱唱の記憶。
多彩な歌のサポートアクションを修得する。","Phantom Bard",4,18,1,41608,2,41609,3,41607,4,41610,0,0
7,"サポート風水士","Ph. Geomancer","","ある風水士の自然と理気の記憶。
天候で効果が変わるサポートアクションを修得する。","Phantom Geomancer",5,17,1,41611,2,41612,3,41619,4,41620,0,0
8,"サポート時魔道士","Ph. Time Mage","","ある時魔道士の法則と定理の記憶。
時間を操る時魔法のサポートアクションを修得する。","Phantom Time Mage",5,12,1,41621,2,41623,3,41624,4,41622,5,41625
9,"サポート砲撃士","Ph. Cannoneer","","ある砲撃士の弾道学と戦術の記憶。
様々な効果の弾を放つサポートアクションを修得する。","Phantom Cannoneer",6,22,1,41626,2,41627,3,41628,4,41629,6,41630
10,"サポート薬師","Ph. Chemist","","ある薬師の調合と薬効の記憶。
高効果の薬品を用いたサポートアクションを修得する。","Phantom Chemist",4,16,1,41631,2,41633,3,41634,4,41635,0,0
11,"サポート予言士","Ph. Oracle","","ある予言士の霊感と啓示の記憶。
時間差で効果が現れるサポートアクションを修得する。","Phantom Oracle",5,21,1,41636,2,41641,3,41642,4,41643,5,41644
12,"サポートシーフ","Ph. Thief","","ある盗賊の義侠心と特技の記憶。
特殊な探索術を含むサポートアクションを修得する。","Phantom Thief",6,3,1,41646,2,41645,3,41647,4,41648,5,41649
13,"サポート魔法剣士","Ph. Mystic Knight","","ある魔法剣士の研鑽と術技の記憶。
武器に魔法を宿らせるサポートアクションを修得する。","Phantom Mystic Knight",4,9,1,46591,2,46590,3,46592,4,46593,0,0
14,"サポート剣闘士","Ph. Gladiator","","ある剣闘士の戦いと不撓心の記憶。
攻防兼ね備えた戦技のサポートアクションを修得する。","Phantom Gladiator",4,23,1,46594,2,46595,3,46596,4,46597,0,0
15,"サポート踊り子","Ph. Dancer","","ある踊り子の誇りと高揚の記憶。
多彩な効果を生む踊りのサポートアクションを修得する。","Phantom Dancer",4,19,1,46598,2,46603,3,46604,4,46605,0,0
16,"サポート忍者","Ph. Ninja","","ある忍者の暗躍と忍耐の記憶。
あらゆる場面で役立つ忍術のサポートアクションを修得する。","Phantom Ninja",6,5,1,49062,2,49063,3,49064,4,49065,6,49066
17,"サポート白魔道士","Ph. White Mage","","ある白魔道士の献身と治癒の記憶。
癒やしの力を生む白魔法のサポートアクションを修得する。","Phantom White Mage",5,10,1,49067,2,49068,3,49069,4,49070,5,49071
18,"サポート黒魔道士","Ph. Black Mage","","ある黒魔道士の研究と検証の記憶。
破壊の力を生む黒魔法のサポートアクションを修得する。","Phantom Black Mage",5,11,1,49072,2,49073,3,49074,4,49075,5,49076
19,"サポート竜騎士","Ph. Dragoon","","ある竜騎士の修験と遍歴の記憶。
身軽に跳躍し敵を貫くサポートアクションを修得する。","Phantom Dragoon",4,4,1,49077,2,49078,3,49079,0,0,0,0
20,"サポート召喚士","Ph. Summoner","","ある召喚士の研究と実践の記憶。
攻防に活躍する幻獣を喚び出すサポートアクションを修得する。","Phantom Summoner",5,13,1,49080,2,49081,3,49082,4,49083,5,49084
21,"サポート青魔道士","Ph. Blue Mage","","ある呪い師の見聞と偏執の記憶。
魔物の力を呪いとして用いるサポートアクションを修得する。","Phantom Blue Mage",3,14,1,49085,1,49086,1,49087,2,49088,3,49090
22,"サポート赤魔道士","Ph. Red Mage","","ある赤魔道士の放浪と機知の記憶。
白黒の魔法を器用に扱うサポートアクションを修得する。","Phantom Red Mage",6,15,1,49092,2,49093,3,49094,4,49095,5,49096
23,"サポートネクロマンサー","Ph. Necromancer","","ある死霊使いの冒涜と執念の記憶。
死を超えて戦うサポートアクションを修得する。","Phantom Necromancer",5,20,1,49097,2,49098,3,49099,4,49100,5,49101
