key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
#,StageFull,Stage,IndexText2,IndexText,IndexNpc,LodestoneRank,,FestivalId,FestivalPhase,,Thumbnail,,,,,,,,,,,,,,,,
offset,0,4,8,12,16,40,55,36,41,38,20,32,24,28,42,43,44,45,46,47,48,49,50,51,52,53,54
Int32,String,String,String,String,String,UInt8,PackedBool0,UInt16,UInt8,UInt16,UInt32,Int32,UInt32,UInt32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8
0,"","","","","",0,False,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"「第一次基地拡張計画」　資材準備中<hex:02100103> <hex:024804F2023B03><hex:024904F2023C03>コスモミッションに参加して資材を集めよう！","「第一次基地拡張計画」　資材準備中","ムーンゲート基地を拡張するべく、一緒に資材を集めてほしいッスよー！<hex:02100103>資材調達のため、コスモミッションにご協力くださいッス！","いよいよッス！　ムーンゲート基地を拡張するべく、一緒に資材を集めてほしいッスよー！","サーチングウェイ",0,False,158,1,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
2,"「第一次基地拡張計画」　共同施工作業準備中<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>共同施工作業の開始に備えよう！","「第一次基地拡張計画」　共同施工作業準備中","ムーンゲート基地拡張のための、共同施工作業の開催時刻が決まったッス！<hex:02100103>開催時には、ぜひぜひ協力してほしいッスー！","ムーンゲート基地拡張のための、共同施工作業の開催時刻が決まったッス！　協力してほしいッスー！","サーチングウェイ",0,False,158,2,0,241001,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
3,"「第一次基地拡張計画」　共同施工作業実施中<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>共同施工作業に参加しよう！","「第一次基地拡張計画」　共同施工作業実施中","ムーンゲート基地拡張のための、共同施工作業を開催中ッス！<hex:02100103>ぜひぜひ参加してほしいッスー！","ムーンゲート基地拡張のための、共同施工作業を開催中ッス！　ぜひぜひ参加してほしいッスー！","サーチングウェイ",0,False,158,3,0,241001,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
4,"ムーンゲート基地「ベースキャンプII」　完工<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>次の作業を計画中、自由に過ごそう！","ムーンゲート基地「ベースキャンプII」　完工","ムーンゲート基地が、いい感じに拡張されたッス！<hex:02100103>探索活動もますます捗っていくはず……ご協力、ありがとうッスよー！","ムーンゲート基地が、いい感じに拡張されたッス！　ご協力、ありがとうッスよー！","サーチングウェイ",1,False,158,4,0,241002,1406,18,0,6,0,2,3,0,0,0,0,0,0,0,0,0
5,"「第一次コスモライナー敷設支援」　資材集積中<hex:02100103> <hex:024804F2023B03><hex:024904F2023C03>コスモミッションに参加して資材を集めよう！","「第一次コスモライナー敷設支援」　資材集積中","ムーンゲート基地付近に、移動のためのコスモライナーを敷設するッスよ！<hex:02100103>資材調達のため、コスモミッションにご協力くださいッス！","ムーンゲート基地付近に、移動のためのコスモライナーを敷設するッス！　一緒に資材を集めてほしいッスよー！","サーチングウェイ",1,False,158,5,0,241003,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
6,"「第一次コスモライナー敷設支援」　共同施工作業準備中<hex:02100103><hex:024804F2023B03><hex:024904F2023C03>共同施工作業の開始に備えよう！","「第一次コスモライナー敷設支援」　共同施工作業準備中","コスモライナー敷設のための、共同施工作業の開催時刻が決まったッス！<hex:02100103>開催時には、ぜひぜひ協力してほしいッスー！","コスモライナー敷設のための、共同施工作業の開催時刻が決まったッス！　協力してほしいッスー！","サーチングウェイ",1,False,158,6,0,241003,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
