key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
#,,Name,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
offset,164,0,4,8,12,16,20,24,28,32,36,60,204,200,64,68,72,168,76,80,172,202,176,180,184,188,84,88,92,96,100,104,108,192,196,112,40,44,48,52,56,116,120,124,128,132,136,140,144,148,152,156,160
Int32,Int32,String,String,String,String,String,String,String,String,String,String,UInt32,UInt8,UInt16,UInt32,UInt32,UInt32,Int32,UInt32,UInt32,Int32,UInt16,Int32,Int32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int32,Int32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32
0,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,"巨大偏属性クリスタル破壊指令","スクリーム・パフ付近で、セントラルクリスタルによる月面の環境制御から溢れた巨大偏属性クリスタルの大量発生が確認された。パワーローダーで現地に赴き、巨大偏属性クリスタルを粉砕し、属性変換用の資源として回収してもらいたい。","パワーローダーの装備を駆使し、<hex:02100103>巨大偏属性クリスタルを破砕せよ。","","","コスモドリルで小型の偏属性クリスタルを破砕せよ。<hex:02100103>獲得した資源は、フィールドサーチャーで分析にかけろ。","","","メカオペレーション「巨大偏属性クリスタル破壊指令」が発令されました。<hex:02100103>パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。<hex:02100103>サポーター参加希望者は、任務地点にお集まりください。",368,5,0,11502159,10921203,11482845,60493,10921201,11482848,60492,600,20172,20171,60809,63889,11759496,6,7,8,0,7,8,1420,1422,1,4259842,4259843,4259844,4259845,4259846,11629602,330,11532641,11532657,11532659,11532660,11532661,296,297,298,299,300
2,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,"","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,"有害菌床駆除指令","マッシュルーム・ルーム付近で、有害な異常胞子を放つミケナ・クロロフォス菌床が大量発生した事が確認された。基地内や星外搬出機材に胞子が付着した場合、今後の探索に大きな影響をもたらす可能性がある。ホイールローダーで現地に赴き、赤きミケナ・クロロフォスを残らず駆除して繁殖を抑えてもらいたい。","ホイールローダーの装備を駆使し、<hex:02100103>巨大な異常菌床を駆除せよ。","","","コスモフレイムスロアーで、小さな異常菌床を焼却せよ。<hex:02100103>焼却後に得られた灰は、フィールドサーチャーに納品し、<hex:02100103>分析にかけろ。","","","メカオペレーション「有害菌床駆除指令」が発令されました。<hex:02100103>パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。<hex:02100103>サポーター参加希望者は、任務地点にお集まりください。",378,5,0,11508987,11170532,11508985,60493,11170531,11508986,60492,600,20173,20171,60809,63889,11759498,9,10,11,0,7,8,1420,1422,5,4259862,4259863,4259864,4259865,4259866,11730314,333,11753130,11753131,11753132,11753133,11753134,301,302,303,304,305
6,3,"パエンナイト掘採指令","硝礫の川浜の地下にて、急速冷却され変質した火山ガラスの鉱床が発見されている。この有用な資源を我々は「パエンナイト」と命名、パワーローダーによる掘採計画を決定した。地下資源の獲得には多大な雷気イオンエネルギーを要するため、その大量発生時が掘採の好機だ。機体に増設したパワーゲイナーで必要なエネルギーを補給しつつ、任務に当たってくれ。","流砂の穴にトーウィングビームを使用し、<hex:02100103>地下のパエンナイトを回収せよ。<hex:02100103>トーウィングビームは、雷気イオンパワー10を<hex:02100103>消費することで使用可能。","","","コスモドリルで、地中に眠るパエンナイトを掘採せよ。<hex:02100103>獲得した資源は、フィールドサーチャーに納品し、<hex:02100103>分析にかけろ。","","","メカオペレーション「パエンナイト掘採指令」が発令されました。<hex:02100103>パイロット希望者は、エクスプローラータブレットから搭乗を申請してください。","まもなく、メカオペレーションが開始されます。<hex:02100103>サポーター参加希望者は、任務地点にお集まりください。",404,5,0,11925434,11841658,11925435,60493,11841657,11925436,60492,600,20173,20171,60809,63889,11911477,12,13,14,0,7,8,1420,1422,6,4259924,4259925,4259926,4259927,4259928,11939517,351,11939469,11939470,11939471,11939472,11939473,339,340,341,342,343
