key,0,1,2
#,DevelopmentLogText,DevelopmentLogName,DevelopmentLogDescription
offset,0,4,8
Int32,String,String,String
0,"","",""
1,"[第1報]","コスモエクスプローラー計画の始まり","わたくしめ、レポーティングウェイが筆を執り、このコスモエクスプローラー計画が辿りゆく探索の軌跡を記すことになりました。<hex:02100103>以後、どうぞお付き合いの程を。<hex:02100103><hex:02100103>さて、サーチングウェイ主任が図らった壮大な計画が遂に始動いたしました！<hex:02100103>月から外宇宙への港となるべく設置された「ムーンゲート基地」には、まだほんのわずかな機器類を持ち込んだのみです。<hex:02100103>月面、そしてやがては広大な異星の大地を駆るかもしれぬ重機類が待機するハンガーや、計画にご協力くださる皆様に向けた備品の取り扱い店といった機能を、まずは仮設ながら備えたというところですね。<hex:02100103><hex:02100103>むむ、しかしこの焦がれの入江には、稀に小隕石群も降り注ぐ様子……。<hex:02100103>星外活動での使用も想定した頑丈な布地を用いているとはいえ、仮設テントのままではどうにも心許ありません！<hex:02100103>ここはアーテリスからのご協力者の皆様のお力を借り、ぐんぐんと月面基地の整備を進めていきたいところです！"
2,"[第2報]","ムーンゲート基地の充実","アーテリスから続々と協力者の方々が到着しております！<hex:02100103>ラヴィリンソスにて方舟計画に携わっていた研究者や、シャーレアン魔法大学で最新の宇宙論に挑む教授陣、それに名うてのグリーナーや冒険者、職人たちなど、その顔ぶれは多彩！　彼らの尽力によって、ムーンゲート基地の基本施設も充実してきました！<hex:02100103><hex:02100103>仮設のテントも、今や立派な強化金属製の屋根に変化！　これで貴重な物資も落下物から守られるというもの。安心して今後の計画に邁進できますね。<hex:02100103><hex:02100103>皆様のおかげで、コスモエクスプローラー計画のすべり出しは順調そのものです。まずはこのムーンゲート基地周辺を足がかりに、焦がれの入江各方面へと探索を進めていきましょう。"
3,"[第3報]","コスモライナーの初開通","我々レポリットが永く暮らしてきた月面を、今さらこうして「探索」するというのも、もしかしたら奇妙に聞こえるかもしれませんね。<hex:02100103>ですが、この焦がれの入江での活動は外宇宙探査の出発地点を整備するという目的以外にも、異星進出後の演習も兼ねているのです。<hex:02100103><hex:02100103>このたび完成した「コスモライナー」も、異星での運用を想定した移動設備となるそうです。<hex:02100103>異星では地脈が安定しているとは限りませんから、転移魔法に頼らない高速移動手段が必要であろうとの判断とのこと。<hex:02100103>まずは焦がれの入江内の全域のカバーを目指し、コスモライナーを安定的に運用していければと思います。"
4,"[第4報]","居住モジュール・コスモポートの竣工","アーテリスからお越しいただいた協力者の皆様に提供する「居住モジュール」と、宇宙船発着場である「コスモポート」が竣工しました！<hex:02100103>どちらもまだ基礎的な機能が備わったのみですが、これからますます拡大していく計画なんですよ。<hex:02100103><hex:02100103>居住モジュールの建設にあたっては、楽園都市「スマイルトン」での失敗を活かしておりますから、生命の危険なく概ね快適に過ごすことができるはず！<hex:02100103><hex:02100103>それにコスモポートの設計には、最新のエーテル学の研究成果が活かされているんですよ。なんと宇宙船を確実に、宇宙空間での希薄なエーテルの流れ……いわゆる「宙脈」に導くという機能が備わっているのです。<hex:02100103>まだ基部が完成しただけですが、異星への旅が一歩近づいたわけですね！"
5,"[第5報]","ローダーハンガーの改良","異星における探索と各種作業を効率的に進めるため、我々レポリットとヒトの研究者が共同開発した秘密メカ……それが新型ローダーです！<hex:02100103><hex:02100103>すでにメカオペレーションで活躍しているローダーですが、これまでテントの下に保管されていたため、粉塵や落下物の影響で不具合が生じることもあったのだとか。<hex:02100103>しかし、コンテナ型のハンガーが完成したことで環境の影響を受けることもなくなりました。<hex:02100103>より高度な整備も可能になったと聞いていますから、稼働効率も改善されていくことでしょう！"
6,"[第6報]","北西エリアへのコスモライナー延伸","焦がれの入江北西の「キャラバシュ・コーヴ」エリアへ、コスモライナーが延伸しました！<hex:02100103><hex:02100103>加えて、中継地点には遠方エリアにおける探索の拠点となるよう、作業人員の休憩施設やローダーのエネルギー補給所としての各種設備も併設してあります。<hex:02100103>コスモライナーで各エリアへと立ち寄った際は、各拠点のそうした機能にも注目してみてくださいね！"
