key,0
#,Text
offset,0
Int32,String
0,""
1,"コスモミッションの目標を達成した！"
2,"コスモミッションの目標を達成した！"
3,"[コスモエクスプローラーのミッション専用アイテム]"
4,"<hex:02280EFF09>ClassJob<hex:E8020103>で現在進行可能な研究は、みんな完了したっショ！<hex:02100103>次の研究方針が定まるまで、待機しててくれるカナ？"
5,"<hex:02280EFF09>ClassJob<hex:E8020103>の研究データの分析が、十分進んできたみたいっショ！<hex:02100103>一度、惑星研究所へ来てくれるカナ～？"
6,"<hex:02280EFF09>ClassJob<hex:E8020103>のコスモリサーチへの貢献に関する、<hex:02100103>データ分析の進捗はこんな具合っショ！"
7,"ここが……こうなっていて……<hex:02100103>あれはきっと……ああなっていて……。"
8,"惑星研究所で使われている研究モジュールは、<hex:02100103>魔法大学のものをベースにしているっショ～。"
9,"コスモリサーチが進展すれば、<hex:02100103>もっともっと計画に役立つ道具が、作れるようになるはずっショ！"
10,"高度な研究には、より詳細なデータが必要になるんダナ～。<hex:02100103>ガンバってもらうことになるけど、よろしくたのむっショ～！"
11,"いろんな分野の研究を進めると、全体の効率があがるんダナ～！"
12,"ザザ……あれ……ザ……<hex:02100103>つなが……い……おかし、ショ……ザザザ……"
13,"惑星パエンナの資源は興味深いんダナ！<hex:02100103>研究が捗るっショ～！"
14,"惑星パエンナの植物には、独特の構造が見られるんダナ～。<hex:02100103>顕微鏡で見るとキラキラして、とっても綺麗なんダナ～……。"
15,"カプセル・カズムの、大穴の構造を計測してみたんダナ。<hex:02100103>重なった大球の下は底知れず……絶対落ちちゃダメっショ！"
16,"フュージングウェイ・ヴェントの真っ赤に煮立ったガラスも、<hex:02100103>冷えて固まると、とってもカラフルになるっショ～！"
17,"「<hex:02280AFF05>Fate<hex:E8020103>」着工予定地"
18,"ショーッ！？　研究資料が勝手に浮き上がるー！<hex:02100103>これが、重力の乱れなんダナ！？"
19,"浮いてる岩の近くで、ドリンクをこぼしちゃったっショ。<hex:02100103>そしたら飛沫が浮かんで飛んでって……びっくり体験談なんダナ！"
20,"グラビティジェネレーターに、ボクらの研究も使われてるっショ！<hex:02100103>ボクも、鼻タカダカなんダナ～。"
21,"この星に遺された文明の技術には、まだ未知な部分が多いんダナ。<hex:02100103>もっともっと調査して、コスモリサーチに役立てたいっショ！"
22,"先駆者たちは、高度な魔法で遺跡を動かしてたみたいっショ！<hex:02100103>ハイデリン様やボクらの力とは、また全然違うみたいなんダナ～！"
23,"キミのおかげで、この計画で目標としていた、<hex:02100103>全てのコスモリサーチが完了できたっショ！<hex:02100103>大感謝、大感激なんダナ！"
24,"<hex:02280EFF09>ClassJob<hex:E8020103>で現在進行可能な研究は、完全に完了したっショ～！<hex:02100103>これまでのご協力、とっても感謝なんダナ！"
25,"この星とアーテリスは、<hex:02100103>恒星との距離や大気組成がよく似てるんダナ。<hex:02100103>植物の在り方に類似点が多いのも、頷けるっショ。"
26,"この星の都市遺構は独特すぎるっショ！<hex:02100103>何万年も前に建てられたはずなのに木材が朽ちず、<hex:02100103>今も形を保っているなんて……すごい技術なんダナ！"
27,"この惑星で導入されたコスモ・ハーベスタは、<hex:02100103>これまで開発されてきた、ローダー技術の結晶っショ！<hex:02100103>アレロットさんも、チョー自慢していたんダナ。"
28,"都市機能を担う3つの塔も、有機体でできてるみたいっショ。<hex:02100103>どうも膨大な情報を集積して処理してるみたいだけど、<hex:02100103>その仕組は、まだサッパリなんダナ。"
29,"ついに、グランマ・ローレルを復旧させる事ができたんダナ。<hex:02100103>内部の解析が進めば、どんどんいろんなことがわかるはず……<hex:02100103>コスモエクスプローラー計画、最大の成果と言えるんダナ！"
