key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,ShopName,,,,,,,,,,,,,,,,,,
offset,0,4,12,20,28,36,44,52,60,8,16,24,32,40,48,56,64,68,68
Int32,String,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,UInt16,PackedBool0,PackedBool1
3473408,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473409,"Récupérateur",1,4,4,2,3,0,0,0,0,235,210,0,0,0,0,0,True,False
3473410,"Monétisation (chèques)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473411,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473412,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473413,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473414,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473415,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473416,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473417,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473418,"Monétisation (monnaie des peuples alliés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473419,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473420,"Échange de pages de notes (coffres verrouillés)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473421,"Échange de pages de notes (divers)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473422,"Échange de pages de notes (divers)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473423,"不用品の交換",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True,False
3473424,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473425,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473426,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473427,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473428,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
3473429,"Échanger des armes contre des avoirs de l'armée de libération",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473430,"Échanger des armures contre des avoirs de l'armée de libération",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473431,"Échanger des accessoires contre des avoirs de l'armée de libération",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473432,"Échanger des armes contre des avoirs rakshasa",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473433,"Échanger des armures contre des avoirs rakshasa",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473434,"Échanger des accessoires contre des avoirs rakshasa",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473435,"Échanger des armes contre des avoirs d'Eulmore I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473436,"Échanger des armures contre des avoirs d'Eulmore I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473437,"Échanger des accessoires contre des avoirs d'Eulmore I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473438,"Échanger des armes contre des avoirs d'Eulmore II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473439,"Échanger des armures contre des avoirs d'Eulmore II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473440,"Échanger des accessoires contre des avoirs d'Eulmore II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473441,"Échanger des armes contre des avoirs d'Eulmore III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473442,"Échanger des armures contre des avoirs d'Eulmore III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473443,"Échanger des accessoires contre des avoirs d'Eulmore III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473444,"Échanger des armes contre des avoirs de Radz-at-Han I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473445,"Échanger des armures contre des avoirs de Radz-at-Han I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473446,"Échanger des accessoires contre des avoirs de Radz-at-Han I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473447,"Échanger des armes contre des avoirs de Radz-at-Han II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473448,"Échanger des armures contre des avoirs de Radz-at-Han II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473449,"Échanger des accessoires contre des avoirs de Radz-at-Han II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473450,"Échanger des armes contre des avoirs de Radz-at-Han III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473451,"Échanger des armures contre des avoirs de Radz-at-Han III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473452,"Échanger des accessoires contre des avoirs de Radz-at-Han III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473453,"Échanger des armes contre des avoirs de l'Éternité I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473454,"Échanger des armures contre des avoirs de l'Éternité I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473455,"Échanger des accessoires contre des avoirs de l'Éternité I",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473456,"Échanger des armes contre des avoirs de l'Éternité II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473457,"Échanger des armures contre des avoirs de l'Éternité II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473458,"Échanger des accessoires contre des avoirs de l'Éternité II",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473459,"Échanger des armes contre des avoirs de l'Éternité III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473460,"Échanger des armures contre des avoirs de l'Éternité III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473461,"Échanger des accessoires contre des avoirs de l'Éternité III",1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,True,True
3473462,"",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False
