key,0,1
#,Prologue,Epilogue
offset,0,4
Int32,String,String
0,"",""
1,"Maître<hex:02080AE905FF04>sse<hex:FF01><hex:03>... j'étouffe... un peu...","Maître<hex:02080AE905FF04>sse<hex:FF01><hex:03>... j'étouffe... un peu..."
2,"Qu'en dites-vous, Maître<hex:02080AE905FF04>sse<hex:FF01><hex:03><hex:021D0103>?<hex:021D0103>... Je me suis épanoui, vous ne trouvez pas<hex:021D0103>?<hex:021D0103>...","Qu'en dites-vous, Maître<hex:02080AE905FF04>sse<hex:FF01><hex:03><hex:021D0103>?<hex:021D0103>... Je me suis épanouie, vous ne trouvez pas<hex:021D0103>?<hex:021D0103>..."
3,"Mais quel est ce pouvoir... que je ressens en moi<hex:021D0103>?<hex:021D0103>...","Mais quel est ce pouvoir... que je ressens en moi<hex:021D0103>?<hex:021D0103>..."
4,"Oooh<hex:021D0103>! Je ressens un pouvoir... plus grand que d'habitude...","Oooh<hex:021D0103>! Je ressens un pouvoir... plus grand que d'habitude..."
5,"Quelle formidable énergie<hex:021D0103>!<hex:021D0103>... M'est-elle destinée<hex:021D0103>?<hex:021D0103>...","Quelle formidable énergie<hex:021D0103>!<hex:021D0103>... M'est-elle destinée<hex:021D0103>?<hex:021D0103>..."
6,"Je me sens vraiment très... puissant aujourd'hui<hex:021D0103>!","Je me sens vraiment très... puissante aujourd'hui<hex:021D0103>!"
7,"J'ai comme une étrange sensation... Que cela peut-il bien être<hex:021D0103>?<hex:021D0103>...","J'ai comme une étrange sensation... Que cela peut-il bien être<hex:021D0103>?<hex:021D0103>..."
8,"Ce pouvoir... provient-il des cristaux<hex:021D0103>?<hex:021D0103>...","Ce pouvoir... provient-il des cristaux<hex:021D0103>?<hex:021D0103>..."
9,"J'ai vraiment du mal... à m'habituer à cette sensation...","J'ai vraiment du mal... à m'habituer à cette sensation..."
10,"Je ressens un nouvel éther... différent du vôtre, Maître<hex:02080AE905FF04>sse<hex:FF01><hex:03>...","Je ressens un nouvel éther... différent du vôtre, Maître<hex:02080AE905FF04>sse<hex:FF01><hex:03>..."
11,"Je sens bien de l'éther... mais d'où provient-il<hex:021D0103>?<hex:021D0103>...","Je sens bien de l'éther... mais d'où provient-il<hex:021D0103>?<hex:021D0103>..."
12,"À nouveau, de l'éther... entre en moi... ","À nouveau, de l'éther... entre en moi... "
