key,0
#,Text
offset,0
Int32,String
0,""
1,"Ordonne aux membres d'escouade d'engager le combat.<hex:02100103>* Utilisable uniquement en cours d'incursion d'escouade"
2,"Ordonne aux membres d'escouade d'effectuer un repli temporaire.<hex:02100103>* Utilisable uniquement en cours d'incursion d'escouade"
3,"Ordonne aux membres d'escouade de mettre fin au repli temporaire.<hex:02100103>* Utilisable uniquement en cours d'incursion d'escouade"
4,"Inflige d'importants dégâts à un ennemi.<hex:02100103>Augmente les dégâts infligés par les membres d'escouade dans un rayon de 20y.<hex:02100103><hex:024804F201FA03><hex:024904F201FB03>Condition<hex:021D0103>:<hex:0249020103><hex:0248020103> tous les membres d'escouades doivent être en vie.<hex:02100103>* Transcendance de niveau 1. Utilisable uniquement en cours d'incursion d'escouade."
5,"Affiche la barre de raccourcis des ordres.<hex:02100103>* Utilisable uniquement en cours d'incursion d'escouade"
6,""
