key,0
#,Text
offset,0
Int32,String
0,""
1,"Une fois placé, cet objet ne pourra plus être mis en vente.<hex:02100103>Voulez-vous continuer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103>"
2,"Une fois placé, cet objet ne peut plus être récupéré.<hex:02100103>Voulez-vous continuer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103>"
3,"Cet objet ne peut être ni mis en vente ni échangé.<hex:02100103>Voulez-vous le placer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>* Cet objet a été acheté sur la boutique en ligne ou obtenu grâce à un code.<hex:0249020103><hex:0248020103>"
4,"Une fois placé, cet objet ne peut plus être récupéré.<hex:02100103>Voulez-vous continuer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:0249020103><hex:0248020103>"
5,"Cet objet ne peut être ni mis en vente ni échangé.<hex:02100103>Voulez-vous le placer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103>"
6,"Cet objet ne peut être mis en vente.<hex:02100103>Voulez-vous le placer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103>"
7,"Cet objet ne peut être ni mis en vente ni échangé.<hex:02100103>En outre, il ne peut pas être remis dans l'inventaire après avoir été utilisé au moins une fois.<hex:02100103>Voulez-vous le placer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103><hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>* Cet objet a été acheté sur la boutique en ligne ou obtenu grâce à un code.<hex:0249020103><hex:0248020103>"
8,"Cet objet ne peut être ni mis en vente ni échangé.<hex:02100103>En outre, il ne peut pas être remis dans l'inventaire après avoir été utilisé au moins une fois.<hex:02100103>Voulez-vous le placer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103>"
9,"Une fois placé, cet objet ne pourra plus être mis en vente.<hex:02100103>En outre, il ne peut pas être remis dans l'inventaire après avoir été utilisé au moins une fois.<hex:02100103>Voulez-vous continuer<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201FC03><hex:024904F201FD03>En fonction du type de logement ou de meuble, il pourra également être perdu dans les cas suivants<hex:021D0103>:<hex:02100103> - Retrait par un autre joueur<hex:02100103> - Exclusion/démission de la compagnie libre<hex:02100103> - Annulation du partage de la maison<hex:02100103> - Cession du terrain<hex:0249020103><hex:0248020103>"
