key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Talk[0],Talk[1],Talk[2],Talk[3],Talk[4],Talk[5]
offset,11,23,35,47,59,71,8,20,32,44,56,68,0,12,24,36,48,60,9,21,33,45,57,69,10,22,34,46,58,70,4,16,28,40,52,64,72,76,80,84,88,92
Int32,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int8,Int32,Int32,Int32,Int32,Int32,Int32,String,String,String,String,String,String
0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0","0"
1,False,False,False,False,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,"Vous m'avez amené ce dont j'ai besoin<hex:021D0103>?","Merci<hex:021D0103>!","Dommage...","0","0","0"
2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Ah, voilà ce que je voulais<hex:021D0103>!","Super, merci<hex:021D0103>!","Je vois...","Oh, vous m'en ramenez encore<hex:021D0103>?","Bon, alors parlez-moi de nouveau si vous changez d'avis<hex:021D0103>!","Ça suffira. Merci<hex:021D0103>!"
3,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous l'artisan<hex:020808E905FF02>e<hex:FF01><hex:03> qui a pris en charge le mandat<hex:021D0103>?","Merci<hex:021D0103>! J'ai eu de la chance de tomber sur une personne fiable comme vous. Voici votre récompense.","Mince, voilà qui ne m'arrange pas... J'ai pourtant émis un mandat pour ce travail...","0","0","0"
4,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous l'artisan<hex:020808E905FF02>e<hex:FF01><hex:03> qui a accepté le mandat<hex:021D0103>? Vous avez préparé ce qui était demandé<hex:021D0103>?","Merci de m'avoir fourni ce dont j'avais besoin. Je vais vous donner votre récompense.","Ah, dommage... Je n'ai qu'à prendre mon mal en patience, alors.","0","0","0"
5,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Vous êtes l'artisan<hex:020808E905FF02>e<hex:FF01><hex:03> que la guilde m'envoie, n'est-ce pas<hex:021D0103>? Vous avez pu préparer ce que j'ai demandé<hex:021D0103>?","Quelle qualité<hex:021D0103>! Merci, j'accuse réception de la commande.","Je comprends, j'imagine que vous avez vos raisons. Une personne comme vous n'agirait pas de manière irresponsable.","Si vous avez encore un peu de temps à m'accorder, accepteriez-vous de me fournir une nouvelle fois<hex:021D0103>?","Il est normal qu'une personne de votre talent ne soit pas toujours disponible, bien sûr... Si jamais vous vous libériez, cependant, revenez me voir.","Merci beaucoup<hex:021D0103>!"
6,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, vous voilà enfin<hex:021D0103>! Je n'en pouvais plus d'attendre<hex:021D0103>! Vous avez ce que j'ai demandé<hex:021D0103>?","Oh, quel beau travail<hex:021D0103>! Très bien, voici la récompense.","Que quelqu'un vienne m'aider, et vite<hex:021D0103>! Si ce n'était pas urgent, je n'aurais pas émis un mandat exprès<hex:021D0103>!","J'ai demandé une nouvelle livraison, est-ce que vous voudriez bien m'aider à nouveau<hex:021D0103>? Je vois que vous savez travailler vite et bien...","Bien, n'hésitez pas à revenir une autre fois. Enfin, si c'est pour m'inviter, c'est à voir.","Merci<hex:021D0103>! Les aventuriers qui me rendent service comme vous sont toujours les bienvenus ici<hex:021D0103>!"
