key,0,1
#,,
offset,4,0
Int32,Int32,String
0,111106,"Toutes les opérations effectuées sur Sinus Ardorum en vue de la conquête spatiale sont enfin terminées !<hex:02100103>C'est grâce aux efforts assidus de tous ceux qui ont pris part au projet que nous pouvons à présent faire notre premier grand saut depuis la station sélenienne vers des terres inconnues.  Merci à vous, vous avez toute notre gratitude !<hex:02100103><hex:02100103>Nous espérons que vous resterez à nos côtés pour les futures activités du projet et pour découvrir avec nous d'autres astres inexplorés.<hex:02100103><hex:02100103>Avec tous nos re<hex:02160103>mer<hex:02160103>cie<hex:02160103>ments,<hex:02100103>Les Loporrites"
1,111107,"Tous les objectifs que nous avions fixés sur Phaenna sont désormais atteints<hex:021D0103>!<hex:02100103>C'est grâce aux efforts assidus de tous ceux qui ont pris part au projet que nous avons pu achever le Stellascope, instrument in<hex:02160103>dis<hex:02160103>pen<hex:02160103>sa<hex:02160103>ble à l'observation des étoiles les plus lointaines. Merci à vous, vous avez toute notre gratitude !<hex:02100103>Nous espérons que vous resterez à nos côtés pour les futures activités du projet et pour découvrir avec nous d'autres astres inexplorés.<hex:02100103><hex:02100103>Avec tous nos re<hex:02160103>mer<hex:02160103>cie<hex:02160103>ments,<hex:02100103>Les Loporrites"
2,0,""
3,0,""
4,0,""
5,0,""
6,0,""
7,0,""
8,0,""
