key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
#,EventParameters[0].Turn,EventParameters[1].Turn,EventParameters[2].Turn,EventParameters[3].Turn,EventParameters[4].Turn,EventParameters[5].Turn,EventParameters[6].Turn,EventParameters[7].Turn,EventParameters[0].Gesture,EventParameters[1].Gesture,EventParameters[2].Gesture,EventParameters[3].Gesture,EventParameters[4].Gesture,EventParameters[5].Gesture,EventParameters[6].Gesture,EventParameters[7].Gesture,EventParameters[0].LipSync,EventParameters[1].LipSync,EventParameters[2].LipSync,EventParameters[3].LipSync,EventParameters[4].LipSync,EventParameters[5].LipSync,EventParameters[6].LipSync,EventParameters[7].LipSync,EventParameters[0].Facial,EventParameters[1].Facial,EventParameters[2].Facial,EventParameters[3].Facial,EventParameters[4].Facial,EventParameters[5].Facial,EventParameters[6].Facial,EventParameters[7].Facial,EventParameters[0].Shape,EventParameters[1].Shape,EventParameters[2].Shape,EventParameters[3].Shape,EventParameters[4].Shape,EventParameters[5].Shape,EventParameters[6].Shape,EventParameters[7].Shape,EventParameters[0].IsAutoShake,EventParameters[1].IsAutoShake,EventParameters[2].IsAutoShake,EventParameters[3].IsAutoShake,EventParameters[4].IsAutoShake,EventParameters[5].IsAutoShake,EventParameters[6].IsAutoShake,EventParameters[7].IsAutoShake,EventParameters[0].WidgetType,EventParameters[1].WidgetType,EventParameters[2].WidgetType,EventParameters[3].WidgetType,EventParameters[4].WidgetType,EventParameters[5].WidgetType,EventParameters[6].WidgetType,EventParameters[7].WidgetType,Text[0],Text[1],Text[2],Text[3],Text[4],Text[5],Text[6],Text[7]
offset,16,36,56,76,96,116,136,156,0,20,40,60,80,100,120,140,4,24,44,64,84,104,124,144,8,28,48,68,88,108,128,148,12,32,52,72,92,112,132,152,18,38,58,78,98,118,138,158,17,37,57,77,97,117,137,157,160,164,168,172,176,180,184,188
Int32,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,UInt32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,Int32,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,PackedBool0,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,UInt8,String,String,String,String,String,String,String,String
0,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"","","","","","","",""
4,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,3,0,0,0,0,0,0,"La situation presse<hex:021D0103>! Nos précieux fruits vont être mangés par les galagos<hex:021D0103>! Si j'essaie de les récupérer, ils vont me charcuter<hex:021D0103>! Aidez-moi, je vous en prie<hex:021D0103>!","Aider le botaniste à récupérer les fruits<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>* Le niveau recommandé pour cet ALÉA est <hex:022003E80203>.<hex:0249020103><hex:0248020103>","","","Merci<hex:021D0103>! Je compte sur vous<hex:021D0103>!","","Vous n'êtes pas très sympa, dites donc.",""
5,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Vous m'apportez des prunes<hex:021D0103>?","","","","Merci<hex:021D0103>!","","Ah non<hex:021D0103>? Dommage.",""
6,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Récupérez les prunes qui jonchent le sol et apportez-les-moi<hex:021D0103>!","","","","","","",""
7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Maudits braconniers<hex:021D0103>! Ils essaient de cacher les fourrures qu'ils ont chassées pour les récupérer quand nous serons partis.","Nous devons les stopper à tout prix<hex:021D0103>! Je vous en prie, joignez-vous à moi<hex:021D0103>!","Récupérer les fourrures braconnées<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>* Le niveau recommandé pour cet ALÉA est <hex:022003E80203>.<hex:0249020103><hex:0248020103>","","Bonne chance, et que Nophica vous garde<hex:021D0103>!","","Bien, dans ce cas je me chargerai de cette tâche moi-même.",""
8,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Avez-vous pu reprendre des fourrures aux braconniers<hex:021D0103>?","","","","Je vous remercie, aventuri<hex:02080DE905FF05>ère<hex:FF03>er<hex:03>, mais il reste peut-être des braconniers dans les environs.","","La zone grouille encore de braconniers. Chargez-vous d'eux avant qu'ils ne s'enfuient<hex:021D0103>!",""
9,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Faites vite<hex:021D0103>! Nous devons récupérer les fourrures avant que les braconniers puissent les cacher<hex:021D0103>!","","","","","","",""
10,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0,0,"Ah, ces fichus Gobelins<hex:021D0103>! J'vous jure... Alors que je me soulageais en vitesse contre cet arbre, ces stupides créatures en ont profité pour me voler mes mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses.","Je ne suis qu'un modeste marchand<hex:021D0103>; la bagarre, c'est pas mon truc. Pourrais-je vous demander de récupérer mes biens<hex:021D0103>? Je vous récompenserai, bien entendu.","Aider le marchand à récupérer ses mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>* Le niveau recommandé pour cet ALÉA est <hex:022003E80203>.<hex:0249020103><hex:0248020103>","","Montrez-leur qu'on ne se moque pas d'un Uldien impunément<hex:021D0103>!","","Et moi qui croyais que les aventuriers étaient d'une nature généreuse, je me trompais...",""
11,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Mes mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses étaient-elles intactes<hex:021D0103>?","","","","Oui, mais il y en avait d'autres... Bien plus<hex:021D0103>! Je vous en supplie, retrouvez ce qui m'appartient<hex:021D0103>!","","Alors que faites-vous là<hex:021D0103>!? Du nerf, bon sang<hex:021D0103>! Vous devez récupérer mes mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses<hex:021D0103>!",""
12,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hâtez-vous avant que les Gobelins ne s'enfuient avec mes mar<hex:02160103>chan<hex:02160103>di<hex:02160103>ses<hex:021D0103>!","","","","","","",""
13,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,2,0,0,0,0,0,0,"Ce gros rocher que t'as là prend de la place dans ton sac. J'peux t'en débarrasser, si tu veux.","Donner le fragment de golem au prospecteur<hex:021D0103>?","","","Parfait. N'hésite pas à revenir me voir si jamais t'en trouves d'autres, je ne compte pas bouger d'ici.","","Tss... Quel<hex:020809E905FF03>le<hex:FF01><hex:03> radin<hex:020808E905FF02>e<hex:FF01><hex:03><hex:021D0103>! Et qu'est-ce que tu comptes faire de ce vieux rocher, de toute manière<hex:021D0103>? Le manger<hex:021D0103>!?",""
14,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Tu vois comme les pierres des golems s'attirent entre elles<hex:021D0103>? J'suis sûr qu'elles contiennent du métal.","Trouve-moi quelques fragments et je pourrai le prouver<hex:021D0103>!","","","","","",""
15,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Voilà qui devrait suffire.","","","","","","",""
16,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Mes éclaireurs n'ont pas repéré de braconniers dans les environs. Ça ira pour le moment. Je vous remercie.","","","","","","",""
17,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Un... deux... trois... J'aurais juré en avoir plus... Bon, tant pis. Je n'ai qu'à augmenter mes prix.","","","","","","",""
18,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Hé hé hé<hex:021D0103>! Je vais rapporter ces fragments dans ma cabine. Et que je ne te voie pas me suivre<hex:021D0103>!","","","","","","",""
19,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Je... euh... Je peux vous demander un service<hex:021D0103>?","Je dois participer à un exercice d'en<hex:02160103>traî<hex:02160103>ne<hex:02160103>ment des recrues de l'ordre des Deux Vipères, mais mon groupe a perdu... quelques membres.","Vous voulez bien vous joindre à moi<hex:021D0103>? Ça ne prendra pas longtemps.","Participer à l'exercice avec la recrue<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>* Le niveau recommandé pour cet ALÉA est <hex:022003E80203>.<hex:0249020103><hex:0248020103>","","","(soupire)... Si seulement je pouvais retrouver mon groupe...",""
20,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"J'espère ne plus jamais voir de limace arboricole<hex:021D0103>!","Ces répugnantes créatures descendent des hauteurs pour dévorer toutes les fleurs, puis dis<hex:02160103>pa<hex:02160103>rais<hex:02160103>sent avant qu'on ait pu leur couper la tête.","Je ne suis qu'un pauvre apiculteur, mais vous... Les limaces n'ont aucune chance contre votre ruse et vos compétences<hex:021D0103>! Qu'en dites-vous<hex:021D0103>?","Aider l'apiculteur<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>* Le niveau recommandé pour cet ALÉA est <hex:022003E80203>.<hex:0249020103><hex:0248020103>","Oh, vous tombez à point nommé. Regardez, les voilà<hex:021D0103>!","","Sans fleurs, comment nos abeilles vont-elles pouvoir fabriquer notre précieux miel, hein<hex:021D0103>!?",""
21,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Je vous en prie<hex:021D0103>! Tuez ces limaces<hex:021D0103>! Pensez aux pauvres abeilles<hex:021D0103>!","","","","","","",""
22,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,3,0,0,0,0,"Je vous en prie, aidez-moi<hex:021D0103>! Spenser, un habitué du bar, est devenu in<hex:02160103>con<hex:02160103>trô<hex:02160103>la<hex:02160103>ble.","Ce n'est pas pour rien qu'on l'appelle le “Boit-sans-soif”. Il ne sait pas s'arrêter, et il change du tout au tout quand il boit.","Ivre, il s'en prend à tous ceux qui passent par là, amis comme inconnus. Je vous en prie, maîtrisez-le<hex:021D0103>!","Maîtriser Spenser<hex:021D0103>?<hex:02100103><hex:02100103><hex:024804F201F403><hex:024904F201F503>* Le niveau recommandé pour cet ALÉA est <hex:022003E80203>.<hex:0249020103><hex:0248020103>","","","Pitié<hex:021D0103>! J'ai une femme et des enfants<hex:021D0103>! Vous devez m'aider<hex:021D0103>!!",""
23,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0,0,0,0,0,"Débarrassez-nous de ce sac à vin<hex:021D0103>!","","","","","","",""
24,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,3,0,0,0,0,0,0,0,"Entrer dans le Guêpier des Ventrerouge<hex:021D0103>?","Passer les portes<hex:021D0103>?","","","","","",""
