key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
#,Number,Icon,Stats,Description,LocationKey,Location,RequiredForQuest,PreviousQuest,TargetsEnemy,TargetsSelfOrAlly,CauseSlow,CausePetrify,CauseParalysis,CauseInterrupt,CauseBlind,CauseStun,CauseSleep,CauseBind,CauseHeavy,CauseDeath
offset,22,8,0,4,23,20,12,16,24,24,24,24,24,24,24,24,25,25,25,25
Int32,UInt8,UInt32,String,String,UInt8,UInt16,UInt32,UInt32,PackedBool0,PackedBool1,PackedBool2,PackedBool3,PackedBool4,PackedBool5,PackedBool6,PackedBool7,PackedBool0,PackedBool1,PackedBool2,PackedBool3
0,0,0,"","",0,0,0,0,False,False,False,False,False,False,False,False,False,False,False,False
1,25,72201,"<hex:024804F201F803><hex:024904F201F903>Type<hex:021D0103>: <hex:0249020103><hex:0248020103>Magique<hex:02100103><hex:024804F201F803><hex:024904F201F903>Élément<hex:021D0103>: <hex:0249020103><hex:0248020103>Vent<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang<hex:021D0103>: <hex:0249020103><hex:0248020103>★★★★<hex:02100103>","Technique secrète de maître Typhon.<hex:02100103>Cette puissante expulsion nasale permet de déchaîner des vents violents sur les ennemis devant soi. Ces derniers subissent bien sûr de multiples blessures, mais l'expérience les marque aussi psy<hex:02160103>cho<hex:02160103>lo<hex:02160103>gi<hex:02160103>quement.",4,81,0,0,True,False,False,False,False,False,False,False,False,False,False,False
2,26,72202,"<hex:024804F201F803><hex:024904F201F903>Type<hex:021D0103>: <hex:0249020103><hex:0248020103>Physique / Contondant<hex:02100103><hex:024804F201F803><hex:024904F201F903>Élément<hex:021D0103>: <hex:0249020103><hex:0248020103>Aucun<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang<hex:021D0103>: <hex:0249020103><hex:0248020103>★★★★<hex:02100103>","Technique spéciale d'Orthros.<hex:02100103>Ce sort permet de faire apparaître un poids venu de nulle part au-dessus de ses ennemis, puis la gravité fait le reste. Son nom parle de quatre tonz, mais personne ne l'a pesé pour en avoir le cœur net.",4,81,0,0,True,False,False,False,False,False,False,False,False,False,True,False
3,1,72203,"<hex:024804F201F803><hex:024904F201F903>Type<hex:021D0103>: <hex:0249020103><hex:0248020103>Magique<hex:02100103><hex:024804F201F803><hex:024904F201F903>Élément<hex:021D0103>: <hex:0249020103><hex:0248020103>Eau<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang<hex:021D0103>: <hex:0249020103><hex:0248020103>★<hex:02100103>","Sort appris sur un Kraken.<hex:02100103>Ce sort inflige des dégâts en projetant un jet d'eau sous haute pression sur sa cible. Le lanceur capte l'énergie éthérée en suspension, ce qui lui permet d'utiliser cette technique même dans les environnements dépourvus d'eau liquide.",3,0,0,0,True,False,False,False,False,False,False,False,False,False,False,False
4,9,72204,"<hex:024804F201F803><hex:024904F201F903>Type<hex:021D0103>: <hex:0249020103><hex:0248020103>Magique<hex:02100103><hex:024804F201F803><hex:024904F201F903>Élément<hex:021D0103>: <hex:0249020103><hex:0248020103>Aucun<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang<hex:021D0103>: <hex:0249020103><hex:0248020103>★★<hex:02100103>","Sort fétiche de la sirène.<hex:02100103>Cette incantation revient à entonner un chant nocif qui détériore la santé mentale de son adversaire. L'impact psychique est si néfaste que le corps est affecté et subit des lésions.",4,17,0,0,True,False,False,False,False,False,False,False,False,False,False,False
5,6,72205,"<hex:024804F201F803><hex:024904F201F903>Type<hex:021D0103>: <hex:0249020103><hex:0248020103>Magique<hex:02100103><hex:024804F201F803><hex:024904F201F903>Élément<hex:021D0103>: <hex:0249020103><hex:0248020103>Foudre<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang<hex:021D0103>: <hex:0249020103><hex:0248020103>★★★★<hex:02100103>","Technique de magie mécanique de l'empire d'Allag.<hex:02100103>Ce sort est le fruit des recherches conduites par les Allagois afin de permettre à leurs automates d'utiliser la magie. Il puise dans l'éther de foudre environnant pour libérer un courant de forte intensité autour de soi.",4,93,0,0,True,False,False,False,True,False,False,False,False,False,False,False
6,28,72206,"<hex:024804F201F803><hex:024904F201F903>Type<hex:021D0103>: <hex:0249020103><hex:0248020103>Magique<hex:02100103><hex:024804F201F803><hex:024904F201F903>Élément<hex:021D0103>: <hex:0249020103><hex:0248020103>Aucun<hex:02100103><hex:024804F201F803><hex:024904F201F903>Rang<hex:021D0103>: <hex:0249020103><hex:0248020103>★★★<hex:02100103>","Sort prin<hex:02160103>ci<hex:02160103>pa<hex:02160103>le<hex:02160103>ment utilisé par les morbols.<hex:02100103>La plus pestilentielle de toutes les incantations de magie bleue, selon les praticiens. Ces effluves buccaux malodorants sont obtenus en manipulant éther de vent et de terre afin de se rapprocher de l'énergie ombrale.",1,54,0,0,True,False,True,False,True,True,True,False,False,False,True,False
